code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
COMP 50,"  First-Year Seminar: Everyday Computing",3,"
The goal of this first-year seminar is to understand the use of computing technology in our daily activities.  In this course, we will study various examples of how computing solves problems in different aspects in our daily life. Honors version available",,"QI.",,"Letter grade.
"
COMP 60,"  First-Year Seminar: Robotics with LEGO®",3,"
This seminar explores the process of design and the nature of computers by designing, building, and programming LEGO robots.  Competitions to evaluate various robots are generally held at the middle and at the end of the semester.  Previous programming experience is not required. Honors version available",,"QI.",,"Letter grade.
"
COMP 65,"  First-Year Seminar: Folding, from Paper to Proteins",3,"
Explore the art of origami, the science of protein, and the mathematics of robotics through lectures, discussions, and projects involving artistic folding, mathematical puzzles, scientific exploration, and research. Honors version available",,"PL.",,"Letter grade.
"
COMP 80,"  First-Year Seminar: Enabling Technology--Computers Helping People",3,"
Service-learning course exploring issues around computers and people with disabilities. Students work with users and experts to develop ideas and content for new technologies. No previous computer experience required. Honors version available",,"EE- Service Learning, US.",,"Letter grade.
"
COMP 85,"  First-Year Seminar: The Business of Games",3,"
This seminar will study the concepts associated with video gaming by having small teams design a game, build a prototype, and put together a business proposal for the game. Honors version available",,,,"Letter grade.
"
COMP 89,"  First -Year Seminar: Special Topics",3,"
Special topics course.  Content will vary each semester. Honors version available",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
COMP 101,"  Fluency in Information Technology",3,"
 The nature of computers, their capabilities, and limitations. How computers work, popular applications, problem-solving skills, algorithms and programming. Lectures and laboratory assignments. Students may not receive credit for this course after receiving credit for COMP 110 or higher.","Prerequisite, MATH 110 with a grade of C or better or MATH 130.","QR.",,"Letter grade.
"
COMP 110,"  Introduction to Programming",3,"
 An introduction to programming. Fundamental programming skills, typically using Java or JavaScript. Problem analysis and algorithm design. Students may not receive credit for both COMP 110 and COMP 116. Students may not receive credit for this course after receiving credit for COMP 116 or higher. Honors version available","Prerequisite, COMP 101 or Pre- or corequisite, MATH 231.","QR.",,"Letter grade.
"
COMP 116,"  Introduction to Scientific Programming",3,"
 An introduction to programming for computationally oriented scientists. Fundamental programming skills, typically using MATLAB or Python. Problem analysis and algorithm design with examples drawn from simple numerical and discrete problems. Students can receive credit for only one of COMP 110 and 116.","Prerequisite, MATH 231 or 241; a grade of C or better is required.","QR.",,"Letter grade.
"
COMP 126,"  Practical Web Design and Development for Everyone",3,"
A ground-up introduction to current principles, standards, and best practice in website design, usability, accessibility, development, and management through project-based skills development in HTML5, CSS, and basic JavaScript. Intended for nonmajors.",,,,"Letter grade.
"
COMP 180,"  Enabling Technologies",3,"
We will investigate ways computer technology can be used to mitigate the effects of disabilities and the sometimes surprising response of those we intended to help. Honors version available",,"EE- Service Learning.",,"Letter grade.
"
COMP 185,"  Serious Games",3,"
Concepts of computer game development and their application beyond entertainment to fields such as education, health, and business. Course includes team development of a game. Excludes COMP majors. Honors version available",,"EE- Field Work.",,"Letter grade.
"
COMP 190,"  Topics in Computing",3,"
Permission of the instructor. Special topics in computing targeted primarily for students with no computer science background. This course has variable content and may be taken multiple times for credit. As the content will vary with each offering, there are no set prerequisites, but permission of the instructor is required.",,,"May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 4 total completions.","Letter grade.
"
COMP 210,"  Data Structures and Analysis",3,"
 This course will teach you how to organize the data used in computer programs so that manipulation of that data can be done efficiently on large problems and large data instances.  Rather than learning to use the data structures found in the libraries of programming languages, you will be learning how those libraries are constructed, and why the items that are included in them are there (and why some are excluded).","Prerequisites, COMP 110 and MATH 231; Pre- or corequisite, COMP 283 or MATH 381.",,,"Letter grade.
"
COMP 211,"  Systems Fundamentals",3,"
 This is the first course in the introductory systems sequence. Students enter the course having taken an introductory programming course in a high-level programming language (COMP 110) and a course in discrete structures. The overarching goal is to bridge the gap between a students' knowledge of a high-level programming language (COMP 110) and computer organization (COMP 311).","Prerequisites, COMP 210; COMP 283 or MATH 381; a grade of C or better is required in both prerequisite courses.",,,"Letter grade.
"
COMP 222,"  ACM Programming Competition Practice",1,"
Structured practice to develop and refine programming skills in preparation for the ACM programming competition.",,,,"Letter grade.
"
COMP 227,"  Effective Peer Teaching in Computer Science",3,"
 Fundamentals of computer science pedagogy and instructional practice with primary focus on training undergraduate learning assistants for computer science courses. Emphasis on awareness of social identity in learning, active learning in the computer science classroom, and effective mentorship. All students must be granted a computer science learning assistantship or obtain prior approval to substitute relevant practicum experience prior to enrollment.","Prerequisite, COMP 401; a grade of C or better is required.","EE- Field Work.",,"Letter grade.
"
COMP 283,"  Discrete Structures",3,"
 Introduces discrete structures (sets, tuples, relations, functions, graphs, trees) and the formal mathematics (logic, proof, induction) used to establish their properties and those of algorithms that work with them. Develops problem-solving skills through puzzles and applications central to computer science. Honors version available","Prerequisite, MATH 231 or MATH 241; a grade of C or better is required.",,,"Letter grade.
"
COMP 290,"  Special Topics in Computer Science",1,"
Non-technical topics in computer science for computer science majors. May not be used to satisfy any degree requirements for a computer science major. This course has variable content and may be taken multiple times for credit.",,,"May be repeated for credit. 4 total credits. 4 total completions.","Letter grade.
"
COMP 293,"  Internship in Computer Science",3,"
 Permission of instructor and  director of undergraduate studies required. Computer science majors only. A signed learning contract is required before a student may register. Work experience in non-elementary computer science.","Prerequisites, MATH 231 or 241; COMP 401, 410, and 411; a grade of C or better is required in COMP 401, 410, and 411.","EE- Academic Internship.",,"Pass/Fail.
"
COMP 301,"  Foundations of Programming",3,"
 Students will learn how to reason about how their code is structured, identify whether a given structure is effective in a given context, and look at ways of organizing units of code that support larger programs. In a nutshell, the primary goal of the course is to equip students with tools and techniques that will help them not only in later courses in the major but also in their careers afterwards.","Prerequisites, COMP 210; COMP 283 or MATH 381; a grade of C or better is required in both prerequisite courses.",,,"Letter grade.
"
COMP 311,"  Computer Organization",3,"
 Introduction to computer organization and design. Students will be introduced to the conceptual design of a basic microprocessor, along with assembly programming.  The course includes fundamental concepts such as binary numbers, binary arithmetic, and representing information as well as instructions. Students learn to program in assembly (i.e., machine) language.  The course covers the fundamentals of computer hardware design,  transistors and logic gates, progressing through basic combinational and sequential components, culminating in the conceptual design CPU.","Prerequisite, COMP 211; a grade of C or better is required.",,,"Letter grade.
"
COMP 325,"  How to Build a Software Startup",3,"
Explores real-world skills for successfully developing and launching a software startup in an experiential learning environment.  Customer outreach and feedback, market analysis, business model development, agile product development, with mentors from the entrepreneurship community.",,"EE- Field Work.",,"Letter grade.
"
COMP 380,"  Introduction to Digital Culture",3,"
An introduction to digital technology and computer science issues in society. Topics may include Internet history, privacy, security, usability, graphics, games, computers in the media, development, economics, social media, AI, IP, computer and Internet ethics, global ethics, current legal issues, etc. Honors version available",,"PH.",,"Letter grade.
"
COMP 388,"  Advanced Cyberculture Studies",3,"
 Explores Internet history and cyberphilosophy; online identify construction, community, communication, creativity; bodies/cyborgs; intelligence and AI. Students perform independent research into and analyze virtual worlds, social media, anonymous bulletin boards, mobile media, and more, and create digital art and literature. Seminar-style; students collaborate on designing and leading class.","Prerequisite, COMP 380; a grade of C or better is required; permission of the instructor for students lacking the prerequisite.","PH.",,"Letter grade.
"
COMP 390,"  Computer Science Elective Topics",3,"
Elective topics in computer science for computer science majors. May not be used to satisfy any degree requirements for a computer science major. This course has variable content and may be taken multiple times for credit.",,,"May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 4 total completions.","Letter grade.
"
COMP 393,"  Software Engineering Practicum",13,"
 Students develop a software program for a real client under the supervision of a faculty member. Projects may be proposed by the student but must have real users. Course is intended for students desiring practical experiences in software engineering but lacking the experience required for external opportunities. Majors only.","Prerequisites, COMP 401, 410, 411; a grade of C or better is required in COMP 401, 410, and 411.","EE- Field Work.","May be repeated for credit. 6 total credits. 6 total completions.","Letter grade.
"
