link, name, code
/courses/,"Courses",N/
/courses/,"Courses A-Z",N/
/courses/course-numbering/,"Guide to Course Numbering",N/
/courses/aero/,"AEROSPACE STUDIES ",AERO
/courses/aaad/,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES ",AAAD
/courses/amst/,"AMERICAN STUDIES ",AMST
/courses/anth/,"ANTHROPOLOGY ",ANTH
/courses/appl/,"APPLIED SCIENCES ",APPL
/courses/arab/,"ARABIC ",ARAB
/courses/arch/,"ARCHAEOLOGY ",ARCH
/courses/army/,"ARMY ",ARMY
/courses/arth/,"ART HISTORY ",ARTH
/courses/asia/,"ASIAN STUDIES ",ASIA
/courses/astr/,"ASTRONOMY ",ASTR
/courses/bioc/,"BIOCHEMISTRY ",BIOC
/courses/bcb/,"BIOINFORMATICS AND COMPUTATIONAL BIOLOGY ",BCB
/courses/bbsp/,"BIOLOGICAL AND BIOMEDICAL SCIENCES ",BBSP
/courses/biol/,"BIOLOGY ",BIOL
/courses/bmme/,"BIOMEDICAL ENGINEERING ",BMME
/courses/bios/,"BIOSTATISTICS ",BIOS
/courses/bcs/,"BOSNIAN-CROATIAN-SERBIAN ",BCS
/courses/busi/,"BUSINESS ADMINISTRATION ",BUSI
/courses/cata/,"CATALAN ",CATA
/courses/cbio/,"CELL AND DEVELOPMENT BIOLOGY ",CBIO
/courses/cbph/,"CELL BIOLOGY AND PHYSIOLOGY ",CBPH
/courses/cbmc/,"CHEMICAL BIOLOGY AND MEDICINAL CHEMISTRY ",CBMC
/courses/chem/,"CHEMISTRY ",CHEM
/courses/cher/,"CHEROKEE ",CHER
/courses/chwa/,"CHICHEWA ",CHWA
/courses/chin/,"CHINESE ",CHIN
/courses/plan/,"CITY AND REGIONAL PLANNING ",PLAN
/courses/clar/,"CLASSICAL ARCHAEOLOGY ",CLAR
/courses/clas/,"CLASSICS ",CLAS
/courses/clsc/,"CLINICAL LABORATORY SCIENCE ",CLSC
/courses/crmh/,"CLINICAL REHABILITATION AND MENTAL HEALTH COUNSELING ",CRMH
/courses/comm/,"COMMUNICATION STUDIES ",COMM
/courses/cmpl/,"COMPARATIVE LITERATURE ",CMPL
/courses/comp/,"COMPUTER SCIENCE ",COMP
/courses/euro/,"CONTEMPORARY EUROPEAN STUDIES ",EURO
/courses/czch/,"CZECH ",CZCH
/courses/deng/,"DENTAL GRADUATE COURSE ",DENG
/courses/dhyg/,"DENTAL HYGIENE ",DHYG
/courses/dhed/,"DENTAL HYGIENE EDUCATION ",DHED
/courses/dram/,"DRAMATIC ART ",DRAM
/courses/dtch/,"DUTCH ",DTCH
/courses/econ/,"ECONOMICS ",ECON
/courses/educ/,"EDUCATION ",EDUC
/courses/endo/,"ENDODONTICS ",ENDO
/courses/engl/,"ENGLISH ",ENGL
/courses/enec/,"ENVIRONMENT AND ECOLOGY ",ENEC
/courses/envr/,"ENVIRONMENT SCIENCES ",ENVR
/courses/epid/,"EPIDEMIOLOGY ",EPID
/courses/exss/,"EXERCISE AND SPORT SCIENCE ",EXSS
/courses/edmx/,"EXPERIENCED TEACHER EDUCATION ",EDMX
/courses/spcl/,"EXPERIENTIAL AND SPECIAL STUDIES ",SPCL
/courses/dpet/,"EXPERIMENTAL THERAPEUTICS ",DPET
/courses/folk/,"FOLKLORE ",FOLK
/courses/fren/,"FRENCH ",FREN
/courses/gnet/,"GENETICS AND MOLECULAR BIOLOGY ",GNET
/courses/geog/,"GEOGRAPHY ",GEOG
/courses/geol/,"GEOLOGICAL SCIENCES ",GEOL
/courses/germ/,"GERMAN ",GERM
