code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
AAAD 50,"  First-Year Seminar: Defining Blackness",3,"
Blackness and whiteness as racial categories have existed in the United States from the earliest colonial times, but their meanings have shifted and continue to shift. Over the semester we will attempt to define and redefine blackness in the United States.",,"SS, US.",,"Letter grade.
"
AAAD 51,"  First-Year Seminar: Masquerades of Blackness",3,"
This course is designed to investigate how race has been represented in cinema historically with a emphasis on representations of race when blackness is masqueraded.",,"VP, US.",,"Letter grade.
"
AAAD 53,"  First-Year Seminar: Experimentalism in Global Black Music and Performance Arts",3,"
This seminar focuses on artists from around the world who have taken an experimental approach to music-making and performance, inspired by black politics, culture, and history. Considers the special challenges blacks have faced in the field of "modernism." Students may opt to do creative artistic projects in lieu of a final research paper.",,"VP, GL.",,"Letter grade.
"
AAAD 54,"  First-Year Seminar: African Migrations, Boundaries, Displacements, and Belonging",3,"
This discussion-oriented seminar will use the works of African authors and filmmakers to explore how this dimension of the African experience has in part shaped the everyday lives of the peoples of the African continent.",,"SS, GL.",,"Letter grade.
"
AAAD 89,"  First Year Seminar:  Special Topics",3,"
Special Topics Course: content will vary each semester.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
AAAD 101,"  Introduction to Africa",3,"
Introduction to the study of the African continent, its peoples, history, and contemporary problems of development in a globalized world, including a survey of the African past, society and culture, and contemporary political, economic, and social issues.",,"BN, GL.",,"Letter grade.
"
AAAD 130,"  Introduction to African American and Diaspora Studies",3,"
The course tracks the contours of history, life, societies, and cultures of the Atlantic African diaspora from their origins through Emancipation in the United States, the Caribbean, and South America.",,"HS, US.",,"Letter grade.
"
AAAD 159,"  The History of the Black Church and Social Change",3,"
A survey of the historical development of the black church in America, beginning during the antebellum period and continuing to the present day.",,,,"Letter grade.
"
AAAD 200,"  Gender and Sexuality in Africa",3,"
Introduction to the study of gender and sexuality in African societies. Theoretical questions relating to the cross-cultural study of gender will be a primary focus. Topics include historical perspectives on the study of kinship and family in Africa and the impact of colonialism and other forms of social change.",,"SS, BN.",,"Letter gradeSame as: WGST 200.
"
AAAD 201,"  Introduction to African Literature",3,"
An introduction to African literature, with an emphasis on works by writers from the late colonial period to the present, and including a survey of different genres.",,"LA, BN.",,"Letter grade.
"
AAAD 202,"  African Film and Performance",3,"
This course examines the misrepresentation of Africa and Africans in western colonial films and how African filmmaking and performing have responded to the colonialist narrative.",,"VP, BN.",,"Letter grade.
"
AAAD 210,"  African Belief Systems: Religion and Philosophy in Sub-Saharan Africa",3,"
Topics such as the impact of colonialism and missionization on African societies, the changing practice of Islam in Africa, and the intersection of religious and political unrest in postcolonial societies are addressed.",,"SS, BN.",,"Letter grade.
"
AAAD 211,"  African Art and Culture",3,"
Introduction to the plastic arts of sub-Saharan Africa through study of their relationship to the human values, institutions, and modes of aesthetic expression of select traditional and modern African societies.",,"VP, BN.",,"Letter grade.
"
AAAD 212,"  Africa in the Global System",3,"
This course provides a critical examination of the historical and theoretical bases for understanding the challenges and opportunities facing African states and societies in the current global system, which is dominated by neoliberal globalization.",,"BN, GL.",,"Letter grade.
"
AAAD 214,"  Africa through the Ethnographic Lens",3,"
This course examines the ways by which anthropologists have used ethnographic texts to describe and frame African societies. Among the topics explored through a close textual reading of both classical and contemporary ethnographic texts are systems of thought, politics, economics, social organization and the politics of representation.",,"SS, BN.",,"Letter grade.
"
AAAD 231,"  African American History since 1865",3,"
Special emphasis on postemancipation developments.",,"HS, US.",,"Letter grade.
"
AAAD 232,"  Black Women in America",3,"
An examination of the individual and collective experiences of black women in America from slavery to the present and the evolution of feminist consciousness.",,"SS.",,"Letter gradeSame as: WGST 266.
"
AAAD 237,"  African American Art Survey",3,"
An introduction to African American art and artists and their social contexts from early slavery.",,"VP, NA.",,"Letter gradeSame as: ARTH 287.
"
AAAD 238,"  African American Literature Survey",3,"
This course is an introductory and chronological study of the African American literary canon. It examines various African American literary genres, including slave narratives, poetry, and the novel.",,"LA, US.",,"Letter grade.
"
