code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
AMST 51,"  First-Year Seminar: Navigating America",3,"
Analyze American journeys and destinations, focusing on how resources, technology, transportation, and cultural influences have transformed the navigation and documentation of America. Multimedia documentation of personal journey required.",,"SS, CI, EE- Field Work.",,"Letter grade.
"
AMST 53,"  First-Year Seminar: The Family and Social Change in America",3,"
This course uses changes in the American family over the past century as a way of understanding larger processes of social change. Honors version available",,"HS, CI, NA.",,"Letter grade.
"
AMST 54,"  First-Year Seminar: The Indians' New Worlds: Southeastern Histories from 1200 to 1800",3,"
This course uses archaeological and historical scholarship to consider the histories of the Southern Indians from the Mississippian period to the end of the 18th century.",,"HS, US, WB.",,"Letter gradeSame as: ANTH 54.
"
AMST 55,"  First-Year Seminar: Birth and Death in the United States",3,"
This course explores birth and death as essential human rites of passage that are invested with significance by changing and diverse American historical, cultural, ethnic, and ethical contexts. Honors version available",,"PH, CI, US.",,"Letter grade.
"
AMST 59,"  First-Year Seminar: American Indian Art in the 20th Century",3,"
This course examines 20th-century American Indian art within the context of critical topics in the field such as sovereignty, colonialism, modernity, modernism, gender, and representation.",,"VP, CI, US.",,"Letter grade.
"
AMST 60,"  First-Year Seminar: American Indians in History, Law, and Literature",3,"
This research seminar provides a grounding in American Indian law, history, and literature. Students will conduct research for presentation on Wikipedia.",,"HS, US.",,"Letter grade.
"
AMST 61,"  First-Year Seminar: Navigating the World through American Eyes",3,"
Designed to help prepare students for future study abroad opportunities and travel, service, and work in a global environment, the seminar focuses on critical differences, including transportation and other forms of infrastructure, that impact navigating places, people, and information. Individual competitive global travel proposals will be developed and presented.",,"GL.",,"Letter grade.
"
AMST 62,"  First-Year Seminar: Mobility, Roads, NASCAR, and Southern Culture",3,"
This seminar looks at the culture, history, memories, and meanings of mobility for a diverse range of people in southern cultures. In particular, students will read and discuss books and articles by scholars on roads, cars, access, and diverse southern cultures.",,"LA, US.",,"Letter grade.
"
AMST 89,"  First Year Seminar:  Special Topics",3,"
Special topics course.  Content will vary each semester. Honors version available",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
AMST 101,"  The Emergence of Modern America",3,"
Interdisciplinary examination of two centuries of American culture, focusing on moments of change and transformation.",,"HS, NA.",,"Letter grade.
"
AMST 102,"  Myth and History in American Memory",3,"
Examines the role of memory in constructing historical meaning and in imagining the boundaries of American cultural communities. Explores popular rituals, artifacts, monuments, and public performances. Previously offered as AMST 384.",,"HS, NA, US.",,"Letter grade.
"
AMST 110,"  Introduction to the Cultures and Histories of Native North America",3,"
An interdisciplinary introduction to Native American history and studies. The course uses history, literature, art, and cultural studies to study the Native American experience.",,"HS, NA, US.",,"Letter gradeSame as: HIST 110.
"
AMST 175,"  Introduction to Food Studies: From Science to Society",3,"
Introduction to food studies covering a variety of topics including how food was consumed over history, land use and aquaculture, food in the arts, food and culture in the American South, food politics, and nutrition science.",,"GL, NA.",,"Letter gradeSame as: NUTR 175, ANTH 175.
"
AMST 201,"  Literary Approaches to American Studies",3,"
A study of interdisciplinary methods and the concept of American Studies with an emphasis on the historical context for literary texts.",,"LA, NA, US.",,"Letter grade.
"
AMST 202,"  Historical Approaches to American Studies",3,"
A study of interdisciplinary methods and the concept of American studies with an emphasis on historical and cultural analysis.",,"HS, NA.",,"Letter grade.
"
AMST 203,"  Approaches to American Indian Studies",3,"
Introduces students to the disciplines comprising American Indian studies and teaches them how to integrate disciplines for a more complete understanding of the experiences of American Indian peoples.",,"HS, NA, US.",,"Letter gradeSame as: ANTH 203.
"
