code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
ANTH 50,"  First-Year Seminar: Skeletons in the Closet",3,"
In this first-year seminar, students explore the use of the human skeleton to modern behavioral and biological investigations, focusing on observations that are used as evidence to prove or disprove hypotheses.",,"SS.",,"Letter grade.
"
ANTH 51,"  First-Year Seminar: Environmentalism and American Society",3,"
This first-year seminar examines United States environmentalism and its relationship to power and privilege, consumer desire, and attachment to place. Students conduct original group research on the environmental movement.",,"SS.",,"Letter grade.
"
ANTH 52,"  First-Year Seminar: Asian Cultures, Asian Cities, Asian Modernities",3,"
Introduction to the processes of cultural productions and the making of social diversity in large Southeast Asian cities, as they have experienced modernity and globalization during the last 30 years.",,"SS.",,"Letter grade.
"
ANTH 53,"  First-Year Seminar: Darwin's Dangerous Idea",3,"
Exploration of how natural selection works, how it has been used and misused for understanding human nature, health and disease, aging, social behavior, how we choose mates, and more. Honors version available",,"SS.",,"Letter grade.
"
ANTH 54,"  First-Year Seminar: The Indians' New Worlds: Southeastern Histories from 1200 to 1800",3,"
This course uses archaeological and historical scholarship to consider the histories of the Southern Indians from the Mississippian period to the end of the 18th century.",,"HS, US, WB.",,"Letter gradeSame as: AMST 54.
"
ANTH 56,"  First-Year Seminar: The Art of Healing, the Culture of Curing",3,"
This seminar focuses on cross-cultural healing beliefs and practices and on how social, economic, political, and ethical aspects of our lives relate to health and healing",,"SS.",,"Letter grade.
"
ANTH 57,"  First-Year Seminar: Today in Africa",3,"
Examination of the daily news as reported online by African newspapers, the BBC, etc. Readings and class discussions of ethnographic and historical background. Student projects based on following major stories",,"SS.",,"Letter grade.
"
ANTH 59,"  First-Year Seminar: The Right to Childhood: Global Efforts and Challenges",3,"
Do children have special needs and rights? This seminar will answer this question.",,"SS, CI, GL.",,"Letter grade.
"
ANTH 60,"  First-Year Seminar: Crisis & Resilience: Past and Future of Human Societies",3,"
Adopting a long view of human societies, students examine responses to crises engendered by political, economic, and environmental factors. Perspectives on societal change - apocalyptic, transformational, and resilient - undergo scrutiny. Honors version available",,"HS, BN, CI.",,"Letter grade.
"
ANTH 61,"  First-Year Seminar: Deep Economies",3,"
Using cultural case studies, the course examines how communities organize an economy to promote local well-being. Readings emphasize cross-cultural problems of status, trust, property, exchange and political authority.",,"SS, GL.",,"Letter grade.
"
ANTH 62,"  First-Year Seminar: Indian Country Today",3,"
This course examines current topics in American Indian country today through the use of films and interactive case studies.",,"SS, US.",,"Letter grade.
"
ANTH 63,"  First-Year Seminar: The Lives of Others: Exploring Ethnography",3,"
Can we truly access, understand, and represent the lives of others? In this class, students take on these questions by taking up the practice of ethnography, a research method consisting of entering into a community, interacting with its members, observing social life, asking questions, and writing about these experiences.",,"SS.",,"Letter grade.
"
ANTH 64,"  First-Year Seminar: Public Archaeology in Bronzeville, Chicago's Black Metropolis",3,"
In the early 20th century millions of African Americans migrated to large northern cities. The Phyllis Wheatley Home for Girls was run by black women to provide social services for female migrants to Chicago starting in 1926. The course combines elements of archaeology, anthropology, and history to study their lives.",,"HS, NA.",,"Letter grade.
"
ANTH 65,"  First-Year Seminar: Humans and Animals: Anthropological Perspectives",3,"
In this course we explore the complex relationships between people and animals cross-culturally and through time. Taking both anthropological and archaeological perspectives we address a wide range of topics, including the origins and uses of domestic animals, the history of dogs and cats, animal symbolism, hunting, and animal rights.",,"HS.",,"Letter grade.
"
ANTH 66H,"  First-Year Seminar: Saving the World? Humanitarianism in Action",3,"
In this seminar we will explore international aid, with an emphasis on its medical end and the set of organizations and institutions that exist to offer assistance to people suffering from disaster, endemic poverty, and health disparities.",,"SS, GL.",,"Letter grade.
"
ANTH 67,"  First-Year Seminar: Blackness and Racialization: A Multidimensional Approach",3,"
This seminar is an introduction to the history, social construction, cultural production, and lived experience of race in the United States and Jamaica (for comparison). The seminar will utilize historical, theoretical, ethnographic, and popular culture content to explain the effects, uses, durability, and pliability of racial formations.",,"HS, US.",,"Letter grade.
"
ANTH 68,"  Forced Out and Fenced In: Ethnography of Latinx Immigration",3,"
Undocumented immigration receives considerable attention in the U.S., but what does it mean to be undocumented? How does illegality shape the lived realities of migrants themselves? Through in-depth engagement with ethnographic research on the topic, this course examines the social, political, and legal challenges faced by undocumented Latinx migrants and their families.",,"SS, US.",,"Letter grade.
"
ANTH 77,"  First-Year Seminar: Windows of Mystery and Wonder: Exploring Self-Taught Art",3,"
Folk, outsider, visionary: these terms invoke artistry that unfolds outside of mainstream artistic traditions. This seminar explores these worlds of self-taught art, addressing issues of inspiration, authenticity, and cultural (mis)representation.",,"VP.",,"Letter grade.
"
ANTH 89,"  First-Year Seminar: Special Topics",3,"
Special topics course; content will vary each semester. Honors version available",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
ANTH 92,"  UNITAS",3,"
Fall component of a two-semester course. A seminar that explores issues of social and cultural diversity. Students must be residents of UNITAS residence hall.",,"SS, US.",,"Letter grade.
"
ANTH 93,"  UNITAS",3,"
 Spring component of a two-semester course. Students engage in service learning through APPLES and produce a final product that thoughtfully reflects on their experience. Students must be residents of UNITAS residence hall.","Prerequisite, ANTH 92; permission of the instructor for students lacking the prerequisite.","SS, EE- Service Learning, US.",,"Letter grade.
"
ANTH 101,"  General Anthropology",3,"
An introduction to anthropology, the science of humans, the culture-bearing animal. Topics considered: human evolution and biological variations within and between modern populations, prehistoric and historic developments of culture, cultural dynamics viewed analytically and comparatively. Honors version available",,"SS, GL.",,"Letter grade.
"
ANTH 102,"  Introduction to Cultural Anthropology",3,"
An introduction to non-Western cultures studied by anthropologists. Includes an in-depth focus on the cultural and social systems of several groups.",,"SS, BN.",,"Letter grade.
"
ANTH 103,"  Anthropology of Globalization",3,"
The study of different approaches to globalization and of inequalities in power between nation-states, ethnic groups, classes, and locales experiencing globalization. Uses ethnographic materials to examine effects of transnational migrations and other processes of globalization.",,"SS, GL.",,"Letter grade.
"
ANTH 120,"  Anthropology through Expressive Cultures",3,"
Introduction to cultural analysis and the anthropological point of view through analytic and interpretive readings of films, fiction, and ethnography. Emphasis on social conditions and native points of view.",,"SS.",,"Letter grade.
"
ANTH 121,"  Ancient Cities of the Americas",3,"
An introduction to archaeology through the study of towns and cities built by the ancient peoples of the Americas. The focus is on historical processes by which these centers arose.",,"HS, BN, WB.",,"Letter grade.
"
ANTH 123,"  Habitat and Humanity",3,"
Cross-cultural survey of building and landscape architecture, including prehistoric dwellings and sacred structures such as shrines and temples. Emphasis on architecture as symbolic form and cultural meaning.",,"VP.",,"Letter grade.
"
ANTH 125,"  Canine Cultures",3,"
Introduces anthropology through human-dog relations across time and space. Theories about domestication; canine versus primate cognition and perception; working and service dogs; street dogs; the development and global spread of breeds; impact of human values and politics on dog lives around the world. Honors version available",,"SS, EE- Field Work, GL.",,"Letter grade.
"
ANTH 130,"  Anthropology of the Caribbean",3,"
Theories and examples of how Caribbean people live, act, and see themselves within various cultural, social, economic, and political contexts across time. Attention to North American views of the Caribbean.",,"SS, BN, GL.",,"Letter gradeSame as: FOLK 130.
"
ANTH 138,"  Linguistic Anthropology",3,"
An introduction to linguistic anthropology and anthropological linguistics.  The course approaches the complex interconnections between language, culture, and cognition; theoretical approaches employed during the past century (structuralism, functionalism, ethnoscience, universalism, linguistic relativity); common case studies (spatial language, colors, classifiers, deixis); verbal art (orality, literacy), linguistic ideology; and ethnolinguistic vitality.",,"SS.",,"Letter gradeSame as: LING 138.
"
