code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
APPL 101,"  Exploring Engineering",3,"
 This course will explore fundamental engineering skills and the implications of engineering solutions. You will "learn how to learn" because technology changes rapidly and today's tools may soon be obsolete. The course will help you develop an entrepreneurial mindset to understand the larger context of solutions. A lot of class time is working time. For example, we will write computer programs to simulate real world systems. We will debate ethical issues associated with engineering innovations.","Prerequisites, COMP 110, 116, or other programming experience.",,,"Letter grade.
"
APPL 110,"  Introduction to Design and Making: Developing Your Personal Design Potential",3,"
Students work in flexible, interdisciplinary teams to assess opportunities, brainstorm, and prototype solutions. Design thinking and physical prototyping skills are developed through fast-paced, iterative exercises in a variety of contexts and environments.",,"VP.",,"Letter grade.
"
APPL 190,"  Special Topics in Applied Physical Sciences",3,"
Specialty topics in applied physical sciences for undergraduates.",,,"May be repeated for credit. 12 total credits. 1 total completions.","Letter grade.
"
APPL 240,"  Developing Your Sixth Sense: Designing Sensors and Electrical Circuits to Make Measurements",3,"
 Learn how to analyze, design, and build systems. Model and understand how physical and environmental parameters of sensors work and interact with electrical circuits.  Learn the basics of circuit design and analysis to amplify and "clean up" the signals with filters. Learn how to acquire these signals to a computer through data acquisition hardware and LabView software.  Develop an entrepreneurial mindset to understand the economic, environmental, and ethical issues that affect your system design.","Prerequisite, PHYS 105, 115, 117, or 119.",,,"Letter grade.
"
APPL 260,"  Materials Science and Engineering: Living in a Material World",3,"
 This course will be an introduction to topics in materials science and with a strong focus on materials, processing and engineering and how design plays a pivotal role in materials selection. A central theme will be in-class demonstrations and hands-on experiments so you will experience first-hand why materials do what they do and how to select the appropriate material for the right application. It's a materials world after all!","Prerequisites, CHEM 102, and PHYS 116 or PHYS 118; permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
APPL 280,"  Fluid Relationships:  An Intuition Building Approach to Fluid Mechanics",4,"
 Immersive treatment of the concepts and methods of fluid mechanics - the study of fluids behavior at rest and in motion. This course will provide a solid grounding in the fundamentals and applications of fluid mechanics through extensive hands-on exercises. Topics include pressure, pressurized flow, gravity flow, viscous flow, boundary layers, system losses, microfluidics, and measurement techniques.  Also includes exposure to standard fluid appurtenances such as pumps, blowers, gauges, valves, ducts, pipes, and fittings.","Prerequisites, APPL 110 and PHYS 118.",,,"Letter grade.
"
APPL 290,"  Special Topics in Applied Physical Sciences",3,"
Specialty topics in applied physical sciences for undergraduates.",,,"May be repeated for credit. 12 total credits. 4 total completions.","Letter grade.
"
APPL 390,"  Special Topics in Applied Physical Sciences",3,"
Permission of the instructor. Advanced specialty topics in applied physical sciences for undergraduates.",,,"May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 4 total completions.","Letter grade.
"
APPL 405,"  Convergent Engineering: Team-Science Approaches to Discovery and Innovation",3,"
Students will participate in activities, group discussion, and problem-solving coaching to understand how chemistry, physics, materials science, and biology are applied to engineering. Topics are introduced through discussing relevant scientific literature, and guest lecturers and faculty discuss expertise in fields like mathematical modeling, mechanical engineering, or circuit design. Guest lecturers can provide new perspective on the problems so students gain an interdisciplinary view of the subject.",,,,"Letter grade.
"
APPL 411,"  Practical Electronics for Everyone",1,"
Design and fabrication for practical electronics circuits, including interfacing with sensors and actuators.",,,,"Pass/Fail.
"
APPL 412,"  Turning Your Entrepreneurial Ideas Into Reality",3,"
 Students will work in groups on a semester project to turn their entrepreneurial ideas into reality.","Prerequisite, APPL 110; permission of the instructor for students lacking the prerequisite.","EE- Field Work.",,"Letter grade.
"
APPL 413,"  LabView for Data Acquisition",1,"
The basics of data acquisition and hardware interfacing using LabVIEW graphical programming.",,,,"Pass/Fail.
"
APPL 414,"  Electronics for Measurement, Control, and the Internet of Things",1,"
 This class builds on APPL 411. Students will acquire signals from sensors and send them to an Arduino or other microcontroller. Students will also learn how to develop circuits that are part of the "Internet of Things" so that they can transmit sensor readings on the Internet. Most of the class time will be hands-on activities.","Prerequisite, APPL 411; permission from the instructor for students lacking the prerequisite.",,,"Pass/Fail.
"
APPL 418,"  3D Printing Technology and Practice",1,"
3D Printing, or additive manufacturing (AM), is used broadly from manufacturing to medical research.  AM will play an increasingly large role in virtually all areas of research, industry, and commerce with new technologies and significant improvements occurring continually.  The course will delve deeply into the major existing and developing technologies.  We will explore the elements of design for AM, motion control and imaging technologies, materials performance and selection, and the physics of parts production.",,,,"Pass/Fail.
"
APPL 420,"  Introduction to Polymers",3,"
 Chemical structure and nomenclature of macromolecules, synthesis of polymers, characteristic polymer properties.","Prerequisite, CHEM 261 or 261H; pre- or corequisites, CHEM 262 or 262H, and 262L or 263L.",,,"Letter gradeSame as: CHEM 420.
"
