code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
ARAB 101,"  Elementary Arabic I",4,"
First semester of Arabic language instruction, comprising both Modern Standard Arabic and one spoken dialect. Coursework includes Arabic script, basic grammar and vocabulary, and culturally relevant activities.",,"FL.",,"Letter grade.
"
ARAB 102,"  Elementary Arabic II",4,"
 Second semester of Arabic language instruction, comprising both Modern Standard Arabic and one spoken dialect. Coursework includes expanded grammar and vocabulary and culturally relevant activities.","Prerequisite, ARAB 101.","FL.",,"Letter grade.
"
ARAB 123,"  Conversational Arabic Abroad",3,"
Conversational course introducing one of the major dialects of Arabic. Only offered within the context of a University faculty-led study abroad program in the Arab world.",,,,"Letter grade.
"
ARAB 150,"  Introduction to Arab Cultures",3,"
Introduction to the cultures of the Arab world and of the Arabs in diasporas: art, literature, film, music, dance, food, history, religion, folklore, etc.",,"LA, BN.",,"Letter grade.
"
ARAB 151,"  Arabic Literature through the Ages",3,"
Introduces the rich literary heritage of the Arabic language from pre-Islamic to modern times and covers major genres. Emphasis on critical thinking, literary analysis, and academic writing.",,"LA, BN.",,"Letter grade.
"
ARAB 203,"  Intermediate Arabic I",4,"
 Third semester of Arabic language instruction, comprising both Modern Standard Arabic and one spoken dialect. Coursework includes expanded grammar and vocabulary, and culturally relevant activities.","Prerequisite, ARAB 102.","FL.",,"Letter grade.
"
ARAB 204,"  Intermediate Arabic II",4,"
 Fourth semester of Arabic language instruction, comprising both Modern Standard Arabic and one spoken dialect. Coursework includes expanded grammar and vocabulary, and culturally relevant activities.","Prerequisite, ARAB 203.","FL.",,"Letter grade.
"
ARAB 214,"  Medicine and Modernity in the Arab World",3,"
This course introduces students to questions of medicine and modernity in the Arab world from the 19th century to the present. It takes medicine as a lens for understanding the formation of the modern Arab world, connecting medical practices and institutions with wider formations like colonialism, nationalism, violence, or religion.",,"SS, BN.",,"Letter grade.
"
ARAB 250,"  Introduction to the Languages of Morocco",3,"
This English-language course introduces students to the sociolinguistic and cultural developments that shape the linguistic map of Morocco. It also analyzes the speakers' attitudes toward the use of the different linguistic varieties (Arabic, Moroccan, French, Spanish, Tamazight) and their pragmatic reasons for activating them.",,"SS, BN.",,"Letter grade.
"
ARAB 253,"  Contemporary Moroccan Literature",3,"
This course introduces students to key aspects of Moroccan history, society, and culture through literary and cinematic texts produced since the country's independence. The close reading of these works helps students engage with the social, economic, cultural, and political transformations that have shaped modern Morocco.",,"LA, BN.",,"Letter grade.
"
ARAB 300,"  Arabic Grammar and Composition",3,"
 Intensive grammar review and composition to improve accuracy and develop writing skills in Modern Standard Arabic.","Prerequisite, ARAB 204.","BN, CI.",,"Letter grade.
"
ARAB 301,"  Introduction to Qur'anic Arabic",3,"
 A text-based course for students interested in acquiring a foundation in the language of the Qur'an and cultural aspects related to it. Chapters of Qur'an will be presented and analyzed; vocabulary and grammatical structures will be discussed and activated; and cultural aspects of the Qur'an will be introduced through Arabic readings, audio, and video.","Prerequisite, ARAB 204.",,,"Letter grade.
"
ARAB 305,"  Advanced Arabic I",3,"
 Fifth semester of Arabic language instruction, comprising both Modern Standard Arabic and one spoken dialect. Coursework includes intensive reading of a variety of texts; films, oral presentations, and writing; extensive vocabulary development.","Prerequisite, ARAB 204.",,,"Letter grade.
"
ARAB 306,"  Advanced Arabic II",3,"
 Sixth semester of Arabic language instruction, comprising both Modern Standard Arabic and one spoken dialect. Coursework includes intensive reading of a variety of texts; films, oral presentations, and writing; extensive vocabulary development.","Prerequisite, ARAB 305.",,,"Letter grade.
"
ARAB 308,"  Arabic Languages across the Curriculum Recitation",1,"
 Arabic recitation offered in conjunction with selected content courses. Weekly discussion and readings in Arabic relating to attached content courses.","Prerequisite, ARAB 204.",,"May be repeated for credit; may be repeated in the same term for different topics; 8 total credits. 8 total completions.","Letter grade.
"
ARAB 337,"  Borders and Walls in the Arab World",3,"
Can art, film, and literature undo cultural, social, and political divisions created by borders and walls in the Arab world?",,"VP, BN.",,"Letter grade.
"
ARAB 350,"  Women and Leadership in the Arab World",3,"
A service-learning, study abroad course focusing on women and leadership in the Arab world. Topics include women and religion, family, community and selfhood, citizenship and legal rights, and politics.",,"SS, BN.",,"Letter grade.
"
ARAB 353,"  Science and Society in the Middle East",3,"
This class explores science and society in the modern Middle East. Drawing on works from anthropology and history, it investigates how science interacts with, is shaped by, and reflects wider processes and formations such as nationalism, colonialism, religion, subject formation, or cultural production.",,"SS, BN.",,"Letter grade.
"
ARAB 407,"  Readings in Arabic I",3,"
 Classical and/or modern readings in Arabic and discussions in conversational Arabic, according to the students' interest.","Prerequisite, ARAB 306.","LA, BN, CI.",,"Letter grade.
"
ARAB 408,"  Readings in Arabic II",3,"
 Classical and/or modern readings in Arabic and discussions in conversational Arabic, according to the students' interest.","Prerequisite, ARAB 306.","LA, BN.",,"Letter grade.
"
ARAB 434,"  Modern Arabic Literature in Translation",3,"
Course treats a variety of themes and genres of Arabic literature from the mid-20th century to the present.",,"LA, BN.",,"Letter grade.
"
ARAB 453,"  Film, Nation, and Identity in the Arab World",3,"
Introduction to history of Arab cinema from 1920s to present. Covers film industries in various regions of the Arab world and transnational Arab film. All materials and discussion in English.",,"VP, BN.",,"Letter grade.
"
ARAB 496,"  Independent Readings in Arabic",13,"
Permission of the department. For the student who wishes to create and pursue an independent project in Arabic under the supervision of a selected instructor. Maximum three credit hours per semester.",,,"May be repeated for credit. 12 total credits. 4 total completions.","Letter grade.
"
