code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
ARMY 100,"  Leadership Laboratory",0,"
This course is designed to enhance the military science curriculum while providing the opportunity for hands-on practice of leadership fundamentals and the education received during ARMY 101, 102, 201, 202, 301, 302, 401, and 402. Requirement for cadets.",,,"May be repeated for credit. ","Letter grade.
"
ARMY 101,"  Introduction to the Army and Critical Thinking",1,"
This course introduces students to the personal challenges and competencies that are critical for effective leadership. Students learn how the personal development of life skills such as critical thinking, time management, goal setting, stress management, and comprehensive fitness relate to leadership and the Army profession. Required for cadets.",,,,"Letter grade.
"
ARMY 102,"  Adaptive Leadership and Professional Competence",1,"
Builds on ARMY 101 by offering an introduction to the personal challenges and competencies that are critical for adaptive leadership. Students learn the basics of the communication process and the importance for leaders to develop the essential skills to communicate effectively in the Army. Required for cadets.",,,,"Letter grade.
"
ARMY 190,"  Seminar in Selected Topics of Military Science",13,"
Permission of the department. A detailed examination of current topics regarding the U.S. Army. Provides a course for Army ROTC cadets who require additional coursework to meet commissioning and/or scholarship requirements due to extenuating circumstances.",,,,"Letter grade.
"
ARMY 196,"  Independent Study",13,"
Permission of the department and the instructor. A course learning contract is required. Any student wishing to further their Army Leadership study or unable to schedule military science courses during their allotted time frames to maintain Army enrollment requirements may enroll.",,,,"Letter grade.
"
ARMY 201,"  Leadership and Decision Making",2,"
This course explores the dimensions of creative and innovative tactical leadership strategies and styles by examining team dynamics and two historical leadership theories that form the basis of the Army leadership framework. Aspects of personal motivation and team building are practiced by planning, executing, and assessing team exercises. Required for cadets.",,,,"Letter grade.
"
ARMY 202,"  Army Doctrine and Team Development",2,"
This course examines the challenges of leading teams in the complex operational environment. Highlights dimensions of terrain analysis, patrolling, and operation orders. Further study of the theoretical basis of the Army leadership requirements model explores the dynamics of adaptive leadership in the context of military operations. Required for cadets.",,,,"Letter grade.
"
ARMY 301,"  Army Training Management",3,"
 Students will study, practice, and apply the fundamentals of Army leadership, values, and ethics; personal development; and small unit tactics at the platoon level. At the conclusion of this course, students will be capable of planning, coordinating, navigating, motivating, and leading a squad and platoon in the execution of a mission. Required for cadets.","Prerequisites, ARMY 101, 102, 201, and 202; Permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
ARMY 302,"  Applied Leadership in Platoon Operations",3,"
 Students will study, practice, and apply the fundamentals of Army leadership, values, and ethics; personal development; and small unit tactics at the platoon level. At the conclusion of this course, students will be capable of planning, coordinating, navigating, motivating, and leading a squad and platoon in the execution of a mission.  Required for cadets.","Prerequisites, ARMY 101, 102, 201, and 202; permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
ARMY 401,"  The Army Officer",3,"
 This advanced course places primary emphasis on officership with MS IV cadets. ARMY 401 and 402 together refine and ultimately complete the cadet-to-commissioned-officer transition. This course focuses on mission command philosophy and ethical leadership. Required for cadets.","Prerequisites, ARMY 301 and 302; permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
ARMY 402,"  Company Grade Leadership",3,"
 In this final semester of a four-year developmental leadership experience, cadets are undergoing preparation for the duties and responsibilities of a commissioned officer along with their integration into the Army. Emphasis is on critical knowledge, skills, abilities, and competencies new officers will need to succeed in their first unit of assignment. Required for cadets.","Prerequisites, ARMY 301, 302, and 401; permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
ARMY 493,"  Army Leadership Expeditionary Training",1,"
Provides leadership training in a military environment. Professional development through academics, team building events, physical fitness, marksmanship, and leadership exercises. Course culminates in a simulated expeditionary deployment to a combat zone.",,"EE- Field Work.",,"Letter grade.
"
