code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
ARTH 51,"  First-Year Seminar: Cathedrals, Abbeys, Castles: Gothic Art and Architecture (c",11301450,"
The seminar explores Gothic church and secular art and architecture in France and Europe between c. 1130 and c.1450. It focuses not only on the formal and artistic progresses in architecture, sculpture, and stained glass windows during this period, but also on the social, political, and economic aspects of medieval society that affected these developments.",,"VP, WB.",,"Letter grade.
"
ARTH 52,"  First-Year Seminar: Celts--Druid Culture",3,"
Who were the Celts, and more specifically, who were the Druids? Little is known about the ancient Druids, yet they have captured the imagination of Western Europeans and North Americans for centuries. They have defined ethnic identity for disparate cultures. So who were they, and who are they today? Honors version available",,"WB.",,"Letter grade.
"
ARTH 53,"  First-Year Seminar: Art and the Body",3,"
This course will examine presentations and representations of the body in Western art and how such portrayals relate to their social, cultural, and political contexts.",,"VP, NA.",,"Letter grade.
"
ARTH 54,"  First-Year Seminar: Art, War, and Revolution",3,"
Focusing on one or two works of art per week in a variety of media, this course explores the complex relationship between art, war, and conflict in the modern world. Honors version available",,"VP, NA.",,"Letter grade.
"
ARTH 55,"  First-Year Seminar: Art, Gender, and Power in Early Modern Europe",3,"
This first-year seminar introduces students to some of the issues related to representations of western European men and women in the period 1400-1700. Portraits, mythological and biblical imagery, and even architecture will be studied for their attention to gender. Honors version available",,"VP, NA.",,"Letter grade.
"
ARTH 59,"  World's Fairs",3,"
This first-year seminar focuses on the constructed images of the modern American city. We have selected six U.S. World's Fairs between 1893 and 1965 (1884 World Cotton Centennial, New Orleans; 1893 World's Colombian Exposition, Chicago; 1904 Louisiana Purchase Exposition, Saint Louis; 1939 New York World's Fair, New York City; 1962 Seattle World's Fair; 1964/1965 New York World's Fair). By examining them in detail, we can follow shifts in conceptions of cities (and the world).",,,,"Letter gradeSame as: PLAN 59.
"
ARTH 61,"  First-Year Seminar: African American Art of the Carolinas",3,"
This course explores the visual arts created by African Americans living and working in the Carolinas from the era of plantation slavery through the 20th century.",,"VP, CI.",,"Letter grade.
"
ARTH 64,"  First-Year Seminar: Picturing Nature",3,"
This seminar focuses on how the collecting and study of natural and aesthetic wonders shaped ideas about knowledge in the arts and sciences.",,"VP, CI, NA.",,"Letter grade.
"
ARTH 66,"  First-Year Seminar: Art, Money, and the Market",3,"
This seminar explores the complex relationship between art and economy in the age of capitalism, focusing on artworks that interpret market activities and address the subject of economic value.",,"VP, NA.",,"Letter grade.
"
ARTH 77,"  First-Year Seminar: Seeing the Past",3,"
This seminar will introduce students to practices of critical analysis that inform academic work in all the core humanistic disciplines: how do we ask analytical questions about texts, artwork, and other cultural artifacts that come down to us from the past or circulate in our own culture?",,"VP.",,"Letter grade.
"
ARTH 79,"  First-Year Seminar: Meaning and the Visual Arts",3,"
In the course of the semester, each student will learn to become an art historian. Students will undertake a series of viewing, research, and writing exercises, which will culminate in the production of an exhibition catalogue on world art titled "In the Eye of the Beholder." Honors version available",,"VP.",,"Letter grade.
"
ARTH 84,"  First-Year Seminar: Society of the Spectacle: Impressionism and Post-Impressionism",3,"
Students will pay special attention to recent historical and theoretical studies of Impressionist and post-Impressionist painting, as well as selected French novels of the period.",,"VP.",,"Letter grade.
"
ARTH 85,"  First-Year Seminar: Art and Technology",3,"
This course examines the relationships between the history of technology and artistic practice. Our conception of "technology" is broad, extending beyond mere tools to include a host of apparatuses and their relationships to perception, experience, representation, and communication. This course will explore the impacts of technological innovation on society and culture, and vice versa, along with the ways in which artists have addressed, responded to, and critiqued technological progress and invention.",,"VP, NA.",,"Letter grade.
"
ARTH 89,"  First-Year Seminar: Special Topics",3,"
Content varies by semester. Honors version available",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
ARTH 111,"  Art and Death",3,"
The course covers medieval/early modern artifacts connected to the phenomenon of death as well as the diversity of donations for individual commemoration in Europe. It will explore the social, political, and economic aspects of the societies that affected these phenomena. Invited speakers will open up the perspective to other cultures and time periods.",,"VP, WB.",,"Letter grade.
"
ARTH 112,"  The Art of Animals: Africa and Beyond",3,"
This class views the relationship between humans and animals through works of art. Drawing examples from cultures across the world, we address animals as symbols of leadership, beauty, and extraordinary powers. Elephants, leopards, spiders, and dogs of all kinds, along with many other mammals, reptiles, birds, and insects will be studied.",,"VP, BN.",,"Letter grade.
"
ARTH 113,"  Art and Sports in the Americas",3,"
Representations of sports tell us a lot about artistic, historic, and contemporary Latin America, the Caribbean, and the United States. This course focuses on depictions of sports in these regions and the varied meanings they communicate.",,"VP, US.",,"Letter grade.
"
ARTH 150,"  World Art",3,"
This course provides an introductory survey of some of the major traditions of art making throughout the world, from prehistory to the present. Honors version available",,"VP, WB.",,"Letter grade.
"
ARTH 151,"  History of Western Art I",3,"
This is the first semester of a two-semester survey that is designed to acquaint the beginning student with the historical development of art and with the offerings and instructors of the art history faculty. ARTH 151 covers ancient, medieval, and early Renaissance periods. Honors version available",,"VP, WB.",,"Letter grade.
"
ARTH 152,"  History of Western Art II",3,"
This is the second semester of the two-semester survey course including Western art from the Renaissance to the modern period. ARTH 151 is not a prerequisite for ARTH 152. Honors version available",,"VP, NA.",,"Letter grade.
"
ARTH 153,"  Introduction to South Asian Art",3,"
An introductory survey of the visual arts of South Asia.",,"VP, BN, WB.",,"Letter gradeSame as: ASIA 153.
"
ARTH 155,"  African Art Survey",3,"
A selective survey of sub-Saharan African art (sculpture, painting, architecture, performance, personal decoration) in myriad social contexts (ceremony, politics, royalty, domestic arenas, cross-cultural exchanges, colonialism, postcolonialism, the international art world).",,"VP, BN.",,"Letter grade.
"
ARTH 156,"  Introduction to Architecture",3,"
What is architecture? What does it do? This course is designed to encourage students to consider architecture less as something technical, existing in a separate sphere from everyday life, but as social space. Honors version available",,"VP, GL.",,"Letter grade.
"
ARTH 157,"  Introduction to Latin American Visual Culture",3,"
This course examines manifestations of visual culture such as festivals and their related objects, comics, and painting in Latin America according to themes like indigenismo, religion, race, modernism, and identity.",,"VP, BN.",,"Letter grade.
"
ARTH 159,"  The Film Experience: Introduction to the Visual Study of Film",3,"
A critical and historical introduction to film from a visual arts perspective. The course surveys the history of film from its inception to the present, drawing upon both foreign and American traditions.",,"VP.",,"Letter grade.
"
ARTH 160,"  Introduction to the Art and Architecture of Pre-Hispanic Mesoamerica",3,"
This course introduces the art, architecture, and cultures of Pre-Hispanic Mesoamerica, from the rise of Mesoamerica's first high civilization in the second millennium BCE to the defeat of the Aztec Empire in 1521 CE. Honors version available",,"VP, BN, WB.",,"Letter grade.
"
ARTH 161,"  Introduction to American Art",3,"
This course surveys American art, architecture, and material culture from early European exploration of the Americas to the 1960s. Previously offered as ARTH 261.",,"VP, NA.",,"Letter grade.
"
ARTH 200,"  Art and Fashion from Rome to Timbuktu",3,"
In the Roman Empire and in contemporary Africa, clothing reflects local symbolic systems and global trade networks. Rome is imagined as the source of Western culture, and Africa evokes distant exoticism; this course will complicate such conceptions. Through fashion we explore political, economic, and religious systems, as well as creativity.",,"VP, WB.",,"Letter gradeSame as: CLAR 200.
"
ARTH 201,"  Making Material Histories: A Makerspace Course",3,"
This course explores the history and technology of materials from wood and glass to steel and plastic in art, culture, and science. Students will engage with materials both through hands-on fabrication at BeAM and through researching historical debates surrounding material invention and use by artists, scientists, and industries.",,"VP, EE- Field Work.",,"Letter grade.
"
ARTH 242,"  Archaeology of Egypt",3,"
A survey of the archaeological remains of ancient Egypt, from the earliest settlements of the Neolithic period until the end of the New Kingdom.",,"HS, BN, WB.",,"Letter gradeSame as: CLAR 242.
"
