code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
ASIA 52,"  First-Year Seminar: Food in Chinese Culture",3,"
Examines the cultural practice and meanings of food, cooking, eating, and drinking through Chinese literature and cinema. Main themes include food and rituals, gourmandism and poetic taste, cannibalism and the grotesque, and hunger and revolution.",,"LA, BN.",,"Letter grade.
"
ASIA 55,"  First-Year Seminar: Kung-Fu: The Concept of Heroism in Chinese Culture",3,"
Film, history, novels, and theater are used to explore the rich, complex kung-fu tradition in Chinese culture from ancient to modern times, as well as its appropriation in foreign films.",,"PH, BN.",,"Letter grade.
"
ASIA 56,"  First-Year Seminar: Writing Women in Modern China",3,"
Compares the rhetoric of equality between the sexes presented by late Qing, May Fourth, and communist thinkers to perspectives on gender and society by 20th-century Chinese women writers. Honors version available",,"LA, BN.",,"Letter gradeSame as: WGST 56.
"
ASIA 57,"  First-Year Seminar: Dis-Orienting the Orient",3,"
Examines how the East is constructed as the Orient in different historical periods: 19th-century European colonialism, 1950s to 1960s Hollywood films, contemporary Japanese animation, and the current global war on terrorism.",,"VP, BN.",,"Letter grade.
"
ASIA 59,"  First-Year Seminar: Media Masala: Popular Music, TV, and the Internet in Modern India and Pakistan",3,"
Explores different examples of broadcast and digital media (music videos, soap operas and reality shows, radio, and the Internet) with respect to history, gender, sexuality, globalization, religion, regionalism, and activism.",,"VP, BN.",,"Letter grade.
"
ASIA 60,"  First-Year Seminar: Israeli Culture and Society: Collective Memories and Fragmented Identities",3,"
The course explores selected themes and case studies pertinent to culture and society in modern Israel, with emphasis on debates about "Israeliness" in various cultural and social arenas.",,"BN.",,"Letter gradeSame as: JWST 60.
"
ASIA 61,"  First-Year Seminar: India through the Lens of Master Filmmakers",3,"
Elements of Indian culture and history are illuminated through works chiefly in the art film genre.  Basic film theory is also introduced to help students read the text of film.",,"VP, BN, CI.",,"Letter grade.
"
ASIA 63,"  First-Year Seminar: Japanese Tea Culture",3,"
This seminar explores the history of tea culture in Japan, particularly the emergence in the 16th and 17th centuries of the ritualized practice often referred to in English as the "tea ceremony" (chanoyu).  Practicioners included merchants, Buddhist monks, warlords, European Jesuits, and professional tea masters.",,"HS, BN.",,"Letter grade.
"
ASIA 65,"  First-Year Seminar: Philosophy on Bamboo: Rethinking Early Chinese Thought",3,"
This course will introduce students to the main works and themes in early Chinese thought from the earliest recorded writings down to the Qin unification in 221 BCE.",,"PH, WB.",,"Letter grade.
"
ASIA 69,"  First-Year Seminar: Wars and Veterans: Iran, Iraq, and Afghanistan",3,"
In this seminar, we will explore the various ways that Iran-Iraq, United States-Iraq, and United States-Afghanistan wars have been portrayed in literature, film, and photography. We will deepen and enrich our understanding of war experienced by both veterans and civilians. We will also read articles on war criticism and psychology.",,"LA, CI, GL.",,"Letter gradeSame as: PWAD 69.
"
ASIA 71,"  First-Year Seminar: Asia in Iberian Converso Literature, 1500s-1650s",3,"
This course examines how 16th- and 17th-century Iberian authors of Jewish heritage imagined and represented Chinese, Filipinos, Japanese, and Indonesians in their writings (e.g. plays, historical narratives, economic treatises, travel accounts, maps, etc.). We explore how these authors' representations of Asians not only dialogued with various interwoven variables (political, economic, and religious factors), but also revealed the historically complex issue regarding notions of personal identities and nationhood.",,"LA, WB.",,"Letter gradeSame as: ROML 71.
"
