code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
BIOL 53,"  First-Year Seminar: Biotechnology: Genetically Modified Foods to the Sequence of the Human Genome",3,"
Restricted to first-year students. Introduction, in a first-year seminar, to recent advances in genetics and cell biology, and discussion and debate concerning how these advances are changing medicine, agriculture, and other aspects of our lives.",,"PL.",,"Letter grade.
"
BIOL 55,"  First-Year Seminar: The Roots and Flowering of Civilization: A Seminar on Plants and People",3,"
Restricted to first-year students. The focus of this first-year seminar will be on the transition from hunter-gatherer, the interchange of crops, medicinal and psychoactive plants, and organic vs. industrial farming methods.",,"PL.",,"Letter grade.
"
BIOL 57,"  First-Year Seminar: Detecting the Future: Human Diseases and Genetic Tests",3,"
Restricted to first-year students. A first-year seminar focusing on the future of human diseases and genetic tests.",,"PL.",,"Letter grade.
"
BIOL 61,"  First-Year Seminar: Sea Turtles: A Case Study in the Biology of Conservation",3,"
Restricted to first-year students. An examination of the biology and conservation of sea turtles, with an emphasis on how current scientific research informs conservation practices.",,"PL.",,"Letter grade.
"
BIOL 62,"  First-Year Seminar: Mountains Beyond Mountains: Infectious Disease in the Developing World",3,"
Restricted to first-year students. In this course we will examine the challenges of treating infectious disease in the developing world, and explore the root causes of global health care inequity. Honors version available",,"PL, GL.",,"Letter grade.
"
BIOL 64,"  First-Year Seminar: Modeling Fluid Flow through and around Organs and Organisms",3,"
The focus of this FYS will be on organisms living within moving fluids. The natural world is replete with examples of animals and plants whose shape influences flow to their benefit. For example, the shape of a maple seed generates lift to allow for long distance dispersal. The structure of a pinecone helps it to filter pollen from the air. A falcon's form during a dive reduces drag and allows it to reach greater speeds.",,"PL.",,"Letter grade.
"
BIOL 65,"  First-Year Seminar: Pneumonia",3,"
Restricted to first-year students. Pneumonia will be a lens to examine a thread of history of biology and medicine. Current research to understand the condition, discover treatment and enact prevention options will be examined.",,"PL.",,"Letter grade.
"
BIOL 81,"  First-Year Seminar: Intuition, Initiative and Industry: Biologists as Entrepreneurs",3,"
Successful biologists are necessarily entrepreneurs.  This course will explore the parallels between biology and entrepreneurship.  We follow these steps: generating ideas, marketing those ideas, testing them, and producing a product.",,"CI.",,"Letter grade.
"
BIOL 89,"  First Year Seminar: Special Topics",3,"
Restricted to first-year students. This is a special topics course; content will vary.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
BIOL 101,"  Principles of Biology",3,"
Open to all undergraduates. This course is the prerequisite to most higher courses in biology. An introduction to the fundamental principles of biology, including cell structure, chemistry, and function; genetics; evolution; adaptation; and ecology. (See department concerning Advanced Placement credit.) Three lecture hours a week. Honors version available",,"PX.",,"Letter grade.
"
BIOL 101L,"  Introductory Biology Laboratory",1,"
 An examination of the fundamental concepts in biology with emphasis on scientific inquiry. Biological systems will be analyzed through experimentation, dissection, and observation. Three laboratory hours a week. Students may not receive credit for both BIOL 101L and BIOL 102L.","Pre- or corequisite, BIOL 101.","CI.",,"Letter grade.
"
BIOL 102L,"  Introductory Biology Laboratory with Research",1,"
 This Course-based Undergraduate Research Experience (CURE) lab introduces students to the process of science through collaboration on a research project, learning relevant techniques and scientific skills, and presenting research results. Three laboratory hours a week. This lab can be taken in place of BIOL 101L. Students may not receive credit for both BIOL 101L and BIOL 102L.","Pre- or corequisite, BIOL 101.","CI, EE- Mentored Research.",,"Letter grade.
"
BIOL 113,"  Issues in Modern Biology",3,"
For students not majoring in biology. Students who have taken any other course in the Department of Biology may not register for this course. Recent advances in the understanding of major principles in biology. Emphasis on genetics and medicine. Does not count as a course in the major. Three lecture hours a week.",,"PL.",,"Letter grade.
"
BIOL 115,"  Reasoning with Data: Navigating a Quantitative World",3,"
Students will use mathematical and statistical methods to address societal problems, make personal decisions, and reason critically about the world. Authentic contexts may include voting, health and risk, digital humanities, finance, and human behavior. This course does not count as credit towards the psychology or neuroscience majors.",,"QR.",,"Letter gradeSame as: MATH 115, PSYC 115, STOR 115.
"
BIOL 117,"  Pre-Health Thrive-1 Considering Health Professions",1,"
This course provides exposure to a variety of health professions, emphasizing ways health care teams work together (interprofessional interactions). Self-assessments will be utilized to examine articulation between strengths and interests and the skills and competencies required in healthcare careers. Throughout the course, practitioners will provide insight into their professions such as allopathic and osteopathic medicine, podiatric medicine, veterinary medicine, optometry, dentistry, pharmacy, nursing, social work, and occupational therapy. Does not count toward major.",,,,"Pass/Fail.
"
BIOL 118,"  Pre-Health Thrive-2 Pursuing Health Professions",1,"
This course will provide guidance to plan a path toward a profession of interest by selecting appropriate course, service, and research opportunities to include in a portfolio useful in completing applications. Application preparation and interview skills will be addressed for health professions programs such as allopathic and osteopathic medicine, podiatric medicine, veterinary medicine, optometry, dentistry, pharmacy, nursing, social work, occupational therapy, and many others. This does not count as a course in the major.",,,,"Pass/Fail.
"
BIOL 150,"  First-Year Launch: The Creativity of Science, or Scientific Thinking in Biology",3,"
This course provides an introduction to the dynamic, creative, and open-ended process that is the scientific method. Through the analysis of news reports and primary scientific literature (covering a range of socially relevant biology topics),  students will learn how to understand and interpret data, gain critical analysis skills, and begin to "think like scientists." Enrollment restricted to first-years and transfer students in their first year at UNC (transfer students, email instructor to be enrolled).",,"PL.",,"Letter grade.
"
BIOL 159,"  Prehistoric Life",3,"
Fossils and the origin and evolution of life, including micro- and macroevolution, mass extinctions, the evolution of dinosaurs and humans, and scientific perspectives on multicultural creationism.",,"PL.",,"Letter gradeSame as: GEOL 159.
"
BIOL 190,"  Special Topics in Biology at an Introductory Level",3,"
Special topics in biology at an introductory level. This course does not count as a course in the biology major.",,,,"Letter grade.
"
BIOL 190L,"  Laboratory in Special Topics in Biology at an Introductory Level",1,"
Laboratory in special topics in biology at an introductory level. This course does not count as a course in the biology major.",,,,"Letter grade.
"
BIOL 195,"  Introduction to Research",1,"
The research work must involve at least four hours per week of mentored research in a campus research laboratory.  Does not count as a course in the major.",,,"May be repeated for credit. 2 total credits. 2 total completions.","Pass/Fail.
"
BIOL 201,"  Ecology and Evolution",4,"
 Principles governing the ecology and evolution of populations, communities, and ecosystems, including speciation, population genetics, population regulation, and community and ecosystem structure and dynamics. Three lecture hours and one recitation-demonstration-conference hour a week. Honors version available","Prerequisites, BIOL 101 and CHEM 101 or 102; A grade of C or better in BIOL 101 and CHEM 101 or 102 required.","PL, QI.",,"Letter grade.
"
BIOL 202,"  Molecular Biology and Genetics",4,"
 Structure and function of nucleic acids, principles of inheritance, gene expression, and genetic engineering. Three lecture hours and one recitation-demonstration-conference hour a week. Honors version available","Prerequisites, BIOL 101 and CHEM 101 or 102; A grade of C or better in BIOL 101 and CHEM 101 or 102 is required.","PL.",,"Letter grade.
"
