code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
BIOS 392,"  Undergraduate Internship",13,"
Academic credit for approved internship experience.",,"EE- Academic Internship.","May be repeated for credit. 6 total credits. 2 total completions.","Letter grade.
"
BIOS 396,"  Readings in Biostatistics",112,"
Directed readings or laboratory study. May be taken more than once. Two to six laboratory hours a week.",,,"May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 4 total completions.","Letter grade.
"
BIOS 500H,"  Introduction to Biostatistics",3,"
 Access to SAS, Excel required. Permission of instructor for nonmajors. Introductory course in probability, data analysis, and statistical inference designed for B.S.P.H. biostatistics students. Topics include sampling, descriptive statistics, probability, confidence intervals, tests of hypotheses, chi-square distribution, 2-way tables, power, sample size, ANOVA, non-parametric tests, correlation, regression, survival analysis.","Prerequisite, MATH 231 and 232; corequisite, BIOS 511.",,,"Letter grade.
"
BIOS 511,"  Introduction to Statistical Computing and Data Management",4,"
Required preparation, previous or concurrent course in applied statistics. Permission of instructor for nonmajors. Introduction to use of computers to process and analyze data, concepts and techniques of research data management, and use of statistical programming packages and interpretation.  Focus is on use of SAS for data management and reporting.",,,,"Letter grade.
"
BIOS 512,"  Data Science Basics",3,"
 Students will gain proficiency with R, data wrangling, data quality control and cleaning, data visualization, exploratory data analysis, with an overall emphasis on the principles of good data science, particularly reproducible research. The course will also develop familiarity with several software tools for data science best practices, such as Git, Docker, Jupyter, Make, and Nextflow.","Pre- or corequisite, BIOS 600.",,,"Letter grade.
"
BIOS 540,"  Problems in Biostatistics",115,"
Arrangements to be made with the faculty in each case. A course for students of public health who wish to make a study of some special problem in the statistics of the life sciences and public health. Honors version available",,,"May be repeated for credit. 15 total credits. 4 total completions.","Letter grade.
"
BIOS 600,"  Principles of Statistical Inference",3,"
Required preparation, knowledge of basic descriptive statistics. Major topics include elementary probability theory, probability distributions, estimation, tests of hypotheses, chi-squared procedures, regression, and correlation.",,,,"Letter grade.
"
BIOS 611,"  Introduction to Data Science",4,"
 Topics will include gaining proficiency with R and Python, data wrangling, data quality control and cleaning, data visualization, exploratory data analysis, and introductory applied optimization, with an overall emphasis on the principles of good data science, particularly reproducible research. Some emphasis will be given to large data settings such as genomics or claims data. The course will also develop familiarity with software tools for data science best practices, such as Git, Docker, Jupyter, and Nextflow.","Prerequisites, MATH 232 and 416, and STOR 151.",,,"Letter grade.
"
BIOS 635,"  Introduction to Machine Learning",3,"
 This course will be an introductory course to machine learning. The goal is to equip students with knowledge of existing tools for data analysis and to get students prepared for more advanced courses in machine learning. This course is restricted to SPH Master of Public Health students.","Prerequisite, BIOS 512 or 650; permission of the instructor for students lacking the prerequisite.",,,"Letter grade.
"
BIOS 645,"  Principles of Experimental Analysis",3,"
 Required preparation, basic familiarity with statistical software (preferably SAS able to do multiple linear regression) and introductory biostatistics, such as BIOS 600. Continuation of BIOS 600. Analysis of experimental and observational data, including multiple regression and analysis of variance and covariance. Previously offered as BIOS 545. Permission of the instructor for nonmajors.","Prerequisites, BIOS 600 or SPHG 711.",,,"Letter grade.
"
