code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
BUSI 89,"  First-Year Seminar: Special Topics",3,"
Special topics course.  Content will vary each semester.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
BUSI 102,"  Introduction to Financial Accounting",1,"
Provides an introduction to financial accounting reports and processes. Students learn skills to read, analyze, and understand a variety of  financial reports. The course focuses on the fundamental accounting concepts and the transactions and economic events that form the basis for construction of the balance sheet, income statement, statement of stockholders' equity, and statement of cash flow. Students may not receive credit for both BUSI 102 and BUSI 106 or BUSI 102 and BUSI 107.",,,,"Letter grade.
"
BUSI 106,"  Financial Accounting CS",3,"
 UNC-Chapel Hill business majors/minors may not take BUSI 106. Offered online by Continuing Studies. Role of accounting, basic concepts and methodology, mass data processing, valuation, and income determination principles, management, internal control problems, and basic financial statement components. Students may not receive credit for both BUSI 106 and BUSI 102.","Pre- or corequisite, ECON 101.",,,"Letter grade.
"
BUSI 107,"  Management Accounting SS",3,"
Offered in summer school only. Elements of accounting for management planning, budgeting, and control. Emphasis is on management uses of accounting information. Students may not receive credit for both BUSI 107 and 108.",,,,"Letter grade.
"
BUSI 108,"  Management Accounting CS",3,"
Offered online by Continuing Studies. UNC-Chapel Hill business majors/minors may not take BUSI 108. May be taken before, after, or concurrently with BUSI 106. Elements of accounting for management planning, budgeting, and control. Emphasis is on management uses of accounting information. Students may not receive credit for both BUSI 108 and BUSI 101 or 107.",,,,"Letter grade.
"
BUSI 188,"  Foundations of Leadership: Discovering Your Strengths",1,"
This course introduces the concepts of strengths-based leadership development to help uncover strengths and maximize potential for overall success. Students will learn how to connect these strengths to all areas of life, including, but not limited to, their academic journey as well as their future career path.",,,,"Letter grade.
"
BUSI 189,"  Introduction to Careers in Business",1,"
This course gives students an overview of the career options in business. This overview provides an understanding of the foundations of business and allows students to reflect on what specific business areas they might want to pursue.",,,,"Letter grade.
"
BUSI 190,"  Business Topics",13,"
Varied topics in business administration.",,,"May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 9 total completions.","Pass/Fail.
"
BUSI 201,"  Business in Europe",0,"
Expand your global business knowledge and gain project-based experience through an immersion in Europe. Coursework begins in Chapel Hill. The European portion will be highly experiential, where possible, working to connect students with local young people. Application and permission of department required. Additional fees apply.",,,"May be repeated for credit. 15 total credits. 1 total completions.","Letter grade.
"
BUSI 202,"  Business in East Asia",0,"
Business in East Asia",,,"May be repeated for credit. 15 total credits. 4 total completions.","Letter grade.
"
