code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
CBPH 705,"  Improving Presentation & Communication of Scientific Results",2,"
Learning modern day techniques and approaches to convey scientific results effectively as a public speaker. Teaching how to implement the key aspects of effective presentation of scientific findings in public settings. Understanding the key components of an effective public talk including scientific content, body language, and voice. Learning how to captivate the target audience and yet still convey data driven scientific findings.",,,"May be repeated for credit. ","Letter gradeSame as: NBIO 850.
"
CBPH 706,"  Communicating Scientific Results",1,"
Practice in oral and written communication evaluated by peers and faculty. Includes delivery of coached presentations on topics in physiology and preparation of writing assignments typically encountered in scientific life.",,,"May be repeated for credit. ","Letter grade.
"
CBPH 710,"  Advanced Light Microscopy",3,"
An intensive and comprehensive hands-on laboratory-oriented course in light microscopy for researchers in biology, medicine, and materials science. This course will focus on advanced quantitative fluorescence microscopy techniques used for imaging a range of biological specimens, from whole organisms, to tissues, to cells, and to single molecules. This course emphasizes the quantitative issues that are critical to the proper interpretation of images obtained with light microscopes.",,,"May be repeated for credit. 6 total credits. 1 total completions.","Letter gradeSame as: NBIO 710.
"
CBPH 741,"  Introduction to Human Anatomy",3,"
A general course for persons preparing for careers as dental hygienists. Two lectures and two laboratory hours a week.",,,,"Letter grade.
"
CBPH 791,"  Gross Anatomy for Physical Therapists",4,"
 Fundamental principles and concepts of human gross anatomy for physical therapists taught by lectures and cadaver dissection. Emphasis on functional anatomy. Three lecture hours and six laboratory hours a week.","Prerequisites, BIOL 474 and 474L; Permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
CBPH 793,"  Functional Neuroanatomy",3,"
 Study of basic structure of the brain and spinal cord, including both lecture and laboratory. Primarily for physical therapy students. Four hours a week.","Prerequisites, CBIO 607 and CBPH 791; permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
CBPH 800,"  Seminar in Cell Biology & Physiology",13,"
Current topics relevant for biomedical sciences students. May be repeated for credit. May be repeated in the same term for different topics.",,,"May be repeated for credit. ","Letter grade.
"
CBPH 850,"  Modern Concepts in Cell Biology I",4,"
Permission of the instructor. Graduate students only. Discussion based course that covers key elements of cell, molecular, and developmental biology, and genetics. Students present and discuss breakthrough primary research papers under the direction of faculty members across the department. Minimal instructor lecturing is included.",,,,"Letter grade.
"
CBPH 851,"  Modern Concepts in Cell Biology II",4,"
Literature based discussion course on experimental approaches in Cell Biology. Emphasis is on small group discussion and dissection of primary literature including methods, scientific logic, and critical thinking. Each session typically includes both a discussion of key background by a faculty member and student led discussions of selected papers from the primary literature.",,,,"Letter grade.
"
CBPH 852,"  Experimental Physiology of Human Health and Disease",4,"
Students will learn the principles of cell, organ, and systems physiology and pathophysiology required to identify and understand important areas of current biomedical research. This course will focus on non-human model systems (cultured cells, mice, drosophila, etc.). In addition to lectures, this course will include journal-club discussion of assigned papers.",,,,"Letter grade.
"
CBPH 853,"  Experimental Physiology of Human Health and Disease",4,"
Permission of the instructor. Molecular and cellular basis of organ system function; integration of systems to maintain the normal state. Understanding of normal physiology is amplified by examples from human disease and mouse models. Principles of cell, organ, and integrative physiology and how these principles apply to translational research.",,,,"Letter grade.
"
CBPH 855,"  Career and Research Enhancement Seminar (CaRES)",12,"
Permission of the director of graduate studies.",,,,"Letter grade.
"
CBPH 856,"  Career and Research Enhancement Seminar (CaRES)",12,"
Permission of the director of graduate studies.",,,,"Letter grade.
"
CBPH 890,"  Special Topics in Cell Biology & Physiology",15,"
Modern day exploration of topics or methodologies of interest to PhD students in biomedical sciences.  New or old relevant technologies/methodologies or subject areas of research, and/or professional skills enhancement will be addressed. This could be either for enhancing knowledge of subject materials or teaching skill sets (e.g., statistics) needed for biomedical researchers.",,,"May be repeated for credit; may be repeated in the same term for different topics; 5 total credits. 5 total completions.","Letter grade.
"
CBPH 895,"  Responsible Conduct of Research (RCR)",1,"
Responsible conduct of research is a classroom-based graduate level course covering critical topics for ethical and responsible conduct of experimental research. There are both classroom lecture, workshop-type discussion components, in addition to assigned outside of class readings. Topics include: mentor and mentee relationships, publication authorship, collaboration, peer review, ethical use of human and animal subjects, conflicts of interest, intellectual property, plagiarism, data acquisition, and data processing.",,,,"Letter grade.
"
CBPH 910,"  Research",215,"
Credit to be arranged in individual cases.",,,,"Letter grade.
"
CBPH 915,"  Research Laboratory Apprenticeship",2,"
Enrollment in the cell biology and anatomy graduate program required. A course for first- and second-year graduate students in cell biology and anatomy, consisting of a research project of limited scope pursued under the supervision of a faculty member.",,,"May be repeated for credit. ","Letter grade.
"
CBPH 993,"  Master's Research and Thesis",3,"
",,,,
CBPH 994,"  Doctoral Research and Dissertation",3,"
",,,,
