code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
CHEM 70,"  First-Year Seminar: You Don't Have to Be a Rocket Scientist",3,"
The goal of this seminar is to develop tools for extracting information from or finding flaws in news reports and popular science writing. Group work on such issues as biomass fuels, the hydrogen economy, and other alternative energy sources will develop an understanding of their economic and environmental impact.",,"PL.",,"Letter grade.
"
CHEM 71,"  First-Year Seminar: Foundations of Chemistry: A Historical and Modern Perspective",3,"
Students will learn about ways in which scientists think. They will explore how new knowledge is generated and examine the impact of science on society. Topics to be considered include the nature of gases, atomic structure and radioactivity, and molecules and the development of new materials.",,"PL.",,"Letter grade.
"
CHEM 72,"  First-Year Seminar: From Imagination to Reality: Idea Entrepreneurism in Science, Business, the Arts",3,"
Bringing ideas to fruition is a multistep process. In the present knowledge economy, high value is placed on individuals who both formulate new concepts and bring them to reality. This process requires a number of important skills that will be explored in this course.",,"PL.",,"Letter grade.
"
CHEM 73,"  First-Year Seminar: From Atomic Bombs to Cancer Treatments:  The Broad Scope of Nuclear Chemistry",3,"
A course engaging the topic of nuclear chemistry on the introductory chemistry course level (e.g., CHEM 101/102). Atomic structure, nuclear fission, and nuclear fusion processes will be introduced to provide the background necessary to understand applications of the processes. Applications discussed will include power generation, medical treatments, weapons, and more.",,"PL.",,"Letter grade.
"
CHEM 89,"  First-Year Seminar: Special Topics",3,"
Special topics course. Content will vary each semester.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
CHEM 100,"  Foundations of Chemistry",3,"
 This course is an introduction to fundamental threshold concepts in chemistry as preparation for the two-course sequence of General Descriptive Chemistry (CHEM 101 and 102). This course emphasizes developing contextualized algebra skills for solving chemistry problems including physical unit conversions, molar mass, and reaction stoichiometry. Permission of instructor required.","Prerequisite, MATH 110.",,,"Letter grade.
"
CHEM 101,"  General Descriptive Chemistry I",3,"
 The first course in a two-semester sequence. See also CHEM 102. Atomic and molecular structure, stoichiometry and conservation of mass, thermochemical changes and conservation of energy.","Prerequisite, MATH 110.","PX.",,"Letter grade.
"
CHEM 101L,"  Quantitative Chemistry Laboratory I",1,"
 Computerized data collection, scientific measurement, sensors, thermochemistry, spectroscopy, and conductometric titration. Laptop computer required. One four-hour laboratory a week.","Pre- or corequisite, CHEM 101.",,,"Letter grade.
"
CHEM 102,"  General Descriptive Chemistry II",3,"
 The course is the second in a two-semester sequence. See also CHEM 101. Gases, intermolecular forces, solutions, reaction rates, chemical equilibria including acid-base chemistry, thermochemistry, electrochemistry. Honors version available","Prerequisites, CHEM 101 and 101L; C- or better required in CHEM 101.","PX.",,"Letter grade.
"
CHEM 102L,"  Quantitative Chemistry Laboratory II",1,"
 Computerized data collection, gas laws, intermolecular forces, redox reactions, chemical kinetics, and acid-base titrations. Laptop computer required. One four-hour laboratory a week.","Prerequisite, CHEM 101L; pre- or corequisite, CHEM 102 or 102H.",,,"Letter grade.
"
CHEM 105L,"  Advanced Quantitative Chemistry Laboratory",1,"
",,,,
CHEM 190,"  Special Topics in Chemistry",3,"
An undergraduate seminar course that is designated to be a participatory intellectual adventure on an advanced, emergent, and stimulating topic within a selected discipline in chemistry. This course does not count as credit towards the chemistry major.",,,,"Letter grade.
"
CHEM 200,"  Extraordinary Chemistry of Ordinary Things",3,"
 Coregistration in CHEM 200 and 101L fulfills the physical and life science with a laboratory requirement (PX). This course helps students understand the chemistry behind important societal issues and the consequences of actions aimed at addressing the issues. Students who have taken CHEM 200 cannot take CHEM 101 for credit.","Prerequisite, MATH 110.","PX.",,"Letter grade.
"
CHEM 210,"  Service Learning in Chemistry",1,"
 This is an APPLES service-learning course that collaborates with a community partner. Students will develop research questions and test their hypotheses using chemistry lab techniques and instrumentation. Students will keep a reflection journal on their service work and a lab notebook for recording all experimentation. At the end of the semester, students will write a paper and present research posters. Findings will be shared with the community partner. Students must send applications to the instructor.","Prerequisite, Permission of the instructor.","EE- Service Learning, EE- Mentored Research.",,"Letter grade.
"
CHEM 241,"  Modern Analytical Methods for Separation and Characterization",2,"
 Analytical separations, chromatographic methods, spectrophotometry, acid-base equilibria and titrations, fundamentals of electrochemistry. Honors version available","Prerequisite, CHEM 102 or 102H; C- or better required.",,,"Letter grade.
"
CHEM 241L,"  Laboratory in Separations and Analytical Characterization of Organic and Biological Compounds",1,"
 Applications of separation and spectrophotometric techniques to organic compounds, including some of biological interest. One three-hour laboratory a week. Students may not receive credit for both CHEM 241L and CHEM 245L.","Prerequisite, CHEM 102L; pre- or corequisite, CHEM 241 or 241H.",,,"Letter grade.
"
CHEM 245L,"  Honors Laboratory in Separations and Analytical Characterization of Organic and Biological Compound",1,"
 Applications of separation and spectrophotometric techniques to samples from the real world, including some of biological interest. Final portion of course consists of group research projects presented to the Department of Chemistry in poster session format. Honors equivalent of CHEM 241L. Students may not receive credit for both CHEM 241L and CHEM 245L. One three-hour laboratory each week.","Prerequisite, CHEM 102L; pre- or corequisite, CHEM 241H.","EE- Mentored Research.",,"Letter grade.
"
CHEM 251,"  Introduction to Inorganic Chemistry",2,"
 Chemical periodicity, introductory atomic theory and molecular orbital theory, structure and bonding in solids, descriptive nonmetal chemistry, structures and reactions of transition metal complexes, applications of inorganic complexes and materials.","Prerequisite, CHEM 102 or 102H; C- or better required.",,,"Letter grade.
"
CHEM 261,"  Introduction to Organic Chemistry I",3,"
 Molecular structure and its determination by modern physical methods, correlation between structure and reactivity and the theoretical basis for these relationships, classification of reaction types exhibited by organic molecules using as examples molecules of biological importance. Honors version available","Prerequisite, CHEM 102 or 102H; C- or better required.",,,"Letter grade.
"
CHEM 262,"  Introduction to Organic Chemistry II",3,"
 Continuation of CHEM 261, with particular emphasis on the chemical properties of organic molecules of biological importance. Honors version available","Prerequisite, CHEM 261 or 261H; C- or better required.",,,"Letter grade.
"
CHEM 262L,"  Laboratory in Organic Chemistry",1,"
 Continuation of CHEM 241L or 245L with particular emphasis on organic chemistry synthesis protocols, separation techniques, and compound characterization using modern spectroscopic instrumentation. This course serves as an organic chemistry laboratory for premedical and predental students. Students may not receive credit for both CHEM 262L and CHEM 263L. One three-hour laboratory each week.","Prerequisites, CHEM 102L, and CHEM 241L or 245L; pre- or corequisite, CHEM 262 or 262H.","EE- Mentored Research.",,"Letter grade.
"
CHEM 263L,"  Honors Laboratory in Organic Chemistry",1,"
 Continuation of CHEM 245L with particular emphasis on organic chemistry synthesis protocols, separation techniques, and compound characterization using modern spectroscopic instrumentation. An organic chemistry laboratory for premedical and predental students. Honors equivalent of CHEM 262L. Students may not receive credit for both CHEM 262L and CHEM 263L. One three-hour laboratory each week.","Prerequisites, CHEM 102L, and CHEM 241L or 245L; pre- or corequisite, CHEM 262H; permission of the instructor for students lacking CHEM 262H.",,,"Letter grade.
"
CHEM 290,"  Special Topics in Chemistry",13,"
Elective topics in the field of chemistry. This course has variable content and may be taken multiple times for credit.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
CHEM 291,"  Seminar on Academic Mentoring",13,"
 Experience includes academic mentoring for small groups, preparing review sessions, and facilitating lecture hall activity. Students will explore concepts in pedagogy, leadership, communication, and group dynamics. Does not fulfill chemistry major requirements. GPA above 3.0 required.","Prerequisites, CHEM 102 or 102H, and MATH 231; permission of the instructor for students lacking the prerequisites.",,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 6 total completions.","Pass/Fail.
"
CHEM 293,"  Undergraduate Internship in Chemistry",3,"
The sponsored, off-campus work must involve at least 135 hours. Does not fulfill any requirement in the chemistry major or minor. Chemistry majors only. Permission of the department and supervision of chemistry faculty member required.",,"EE- Service Learning, EE- Field Work.",,"Pass/Fail.
"
CHEM 395,"  Research in Chemistry for Undergraduates",3,"
Required preparation, one CHEM course 420 or higher, or permission of the instructor. For advanced chemistry and applied sciences majors conducting on-campus research. Students prepare a report for their faculty supervisor and present their work at a poster session. May count only once as a chemistry elective. Honors version available",,"EE- Mentored Research.","May be repeated for credit. 9 total credits. 3 total completions.","Letter grade.
"
CHEM 396,"  Special Problems in Chemistry",13,"
Permission of the director of undergraduate studies. Literature or laboratory work equivalent of one to three hours each week. Honors version available",,,"May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 3 total completions.","Letter grade.
"
CHEM 397H,"  Honors Colloquium in Chemistry",1,"
 Weekly meetings complement research carried out under CHEM 395H. Expands students' exposure to specialized areas of research through guided readings and seminars with invited speakers. Aids students in preparing their research for evaluation. CHEM 395H and 397H together can contribute no more than nine total hours toward graduation.","Corequisite, CHEM 395H.","EE- Mentored Research.","May be repeated for credit. 2 total credits. 2 total completions.","Letter grade.
"
CHEM 400,"  GEN REGISTRATION",21,"
GEN REGISTRATION",,,"May be repeated for credit; may be repeated in the same term for different topics.","Letter grade.
"
