code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
CHIN 101,"  Elementary Chinese I",4,"
Introduction to Mandarin Chinese, focusing on pronunciation, simple conversation, and basic grammar. Reading and writing Chinese characters are also taught. Writing Chinese characters is required. Four hours per week. Students may not receive credit for both CHIN 101 or CHIN 102 and CHIN 111.",,"FL.",,"Letter grade.
"
CHIN 102,"  Elementary Chinese II",4,"
 Continued training in listening, speaking, reading, and writing on everyday topics. Writing Chinese characters is required. Four hours per week. Students may not receive credit for both CHIN 101 or CHIN 102 and CHIN 111.","Prerequisite, CHIN 101.","FL.",,"Letter grade.
"
CHIN 111,"  Elementary Written Chinese",3,"
For students who already understand and speak some Chinese; entry to this course is by placement only. The course focuses on reading and writing. Writing Chinese characters is required. Three hours per week. Students may not receive credit for both CHIN 101 or CHIN 102 and CHIN 111.",,"FL.",,"Letter grade.
"
CHIN 150,"  Introduction to Chinese Civilization",3,"
A course designed to introduce students to the Chinese world of past and present. Chinese civilization is explored from a variety of perspectives: political, social, cultural, intellectual, and economic.",,"BN, WB.",,"Letter grade.
"
CHIN 203,"  Intermediate Chinese I",4,"
 Second-year level of modern standard Chinese. Writing Chinese characters is required. Four hours per week.","Prerequisite, CHIN 102.","FL.",,"Letter grade.
"
CHIN 204,"  Intermediate Chinese II",4,"
 Second-year level of modern standard Chinese. Writing Chinese characters is required. Four hours per week. Students may not receive credit for both CHIN 204 and CHIN 212.","Prerequisite, CHIN 203.","FL.",,"Letter grade.
"
CHIN 212,"  Intermediate Written Chinese",3,"
 For students who already understand and speak some Chinese. The training course focuses on reading and writing. Writing Chinese characters is required. Three hours per week. Students may not receive credit for both CHIN 204 and CHIN 212.","Prerequisite, CHIN 111.","FL.",,"Letter grade.
"
CHIN 242,"  Chinese Qin Music",3,"
This course offers students an opportunity to learn the aesthetics, culture, and history of qin, and study the music through learning the beginning levels of qin pieces.",,"VP, BN, EE- Performing Arts.",,"Letter grade.
"
CHIN 244,"  Introduction to Modern Chinese Culture through Cinema",3,"
This course uses select feature and documentary films, supplemented by texts of critical and creative literature, to introduce students to a broad overview of modern China since the mid-19th century, focusing on the major events that have shaped a turbulent course of decline, revolution, and resurgence.",,"VP, BN.",,"Letter grade.
"
CHIN 252,"  Introduction to Chinese Culture through Narrative",3,"
This course shows how Chinese historical legends define and transmit the values, concepts, figures of speech, and modes of behavior that constitute Chinese culture.",,"LA, BN, WB.",,"Letter grade.
"
CHIN 253,"  Chinese Language and Society",3,"
 Chinese language in social, cultural, historical, and political contexts in China. Topics include basic linguistic features, dialects, writing, literacy, and language reform in the era of modernization and globalization.","Prerequisite, CHIN 102 or 111.","SS, BN.",,"Letter grade.
"
CHIN 255,"  Bandit or Hero: Outlawry in Chinese Literature and Films",3,"
This course explores the idea of outlaws as hero in the 16th-century kung-fu novel Outlaws of the Marsh and its influence on modern kung-fu and gangster films.",,"LA, BN.",,"Letter grade.
"
CHIN 305,"  Advanced Chinese I",3,"
 This course emphasizes the development of conversational skills and vocabulary building with readings on everyday topics. Writing Chinese characters is required. Three hours per week. Students may not receive credit for both CHIN 305 or CHIN 306 and CHIN 313.","Prerequisite, CHIN 204.",,,"Letter grade.
"
CHIN 306,"  Advanced Chinese II",3,"
 This course emphasizes the development of conversational skills and vocabulary building with readings on everyday topics. Writing Chinese characters is required. Three hours per week. Students may not receive credit for both CHIN 305 or CHIN 306 and CHIN 313.","Prerequisite, CHIN 305.",,,"Letter grade.
"
