code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
CLAS 51,"  First-Year Seminar: Greek Drama from Page to Stage",3,"
This seminar takes a participatory approach to ancient Greek theater, exploring the dual nature of drama as performance and script. It provides a historical overview of the extraordinary Athenian fifth century (BCE), emphasizing ways theater interacts with art, law, myth, and politics. Theatrical exercises and performances complement several writing assignments. Honors version available",,"LA, CI, WB.",,"Letter grade.
"
CLAS 55,"  First-Year Seminar: Three Greek and Roman Epics",3,"
This first-year seminar will involve a close reading of Homer's Iliad and Odyssey and Vergil's Aeneid, and as a transition from Homer to Vergil, students will also read the tragedies of Sophocles from fifth-century Athens. Honors version available",,"LA, NA, WB.",,"Letter grade.
"
CLAS 56,"  First-Year Seminar: Women and Men in Euripides",3,"
What can be learned from Greek tragedy about human nature? This first-year seminar will serve, first of all, as an introduction to Euripidean drama in its cultural and historical setting in fifth-century Athens.",,"LA, NA, WB.",,"Letter grade.
"
CLAS 57,"  First-Year Seminar: Dead and Deadly Women: Greek Tragic Heroines from Aeschylus to Eliot",3,"
This seminar will study the great tragic heroines of ancient Greek drama, focusing on Clytemnestra, Medea, Alcestis, Phaedra, the Trojan Women, Antigone. Students will also read a contemporary novel, by Fay Weldon, that engages many of these mythic women. Students will study the Greek tragedies intensively, along with their reception in later literature and art. Honors version available",,"LA, NA.",,"Letter grade.
"
CLAS 58,"  First-Year Seminar: What's So Funny? Women and Comedy from Athens to Hollywood",3,"
This first-year seminar will consider what Greeks and Romans found funny, as well as how that humor translated (or not) into modern America. Students will write and present publicly a short comic play that represents the themes they identify and study in this seminar.",,"LA, NA, WB.",,"Letter grade.
"
CLAS 59,"  First-Year Seminar: Ancient Magic and Religion",3,"
In this class, we examine descriptions of religious and magical practices in the multicultural contexts of ancient Greece and Rome. Our sources include literary accounts, legal documents, and material objects, such as inscriptions, amulets, tablets, magical images, and papyri.",,"CI, EE- Mentored Research, WB.",,"Letter grade.
"
CLAS 60,"  First-Year Seminar: Love, War, Death, and Family Life in Classical Myth",3,"
This first-year seminar studies parent-child relations, gender dynamics, and conflict in mythic families. Students will study these mythic families, looking especially at parent-child relations, gender dynamics, and conflict; the seminar will ask what aspects of ancient culture are revealed by these legends and stories. Honors version available",,"LA.",,"Letter grade.
"
CLAS 61,"  First-Year Seminar: Writing the Past",3,"
Translated works of three Greek historians--Herodotus, Thucydides, and Polybius--will provide a lens through which to explore the capacity for literature and other modes of representation to convey history. Honors version available",,"LA, CI, WB.",,"Letter grade.
"
CLAS 62,"  First-Year Seminar: Barbarians in Greek and Roman Culture",3,"
A study of Greek and Roman depictions of non-Greeks and non-Romans in both literary and visual sources, with consideration of their origin, development, and social roles.",,"HS, CI, WB.",,"Letter grade.
"
CLAS 63,"  First-Year Seminar: The Politics of Persuasion in the Ancient and Modern Worlds",3,"
Are there rules for crafting a successful speech? The art and the mechanisms of persuasion will be considered both as a discipline with its own laws and practices and as a window into the values and debates that animate the public life of diverse civilizations.",,"LA, WB.",,"Letter grade.
"
CLAS 64,"  First-Year Seminar: Cinema and the Ancient World",3,"
In this first-year seminar, students will investigate what films set in classical Roman antiquity say about contemporary culture, and will also attempt to understand their impact on the shaping of our sense of history.",,"VP.",,"Letter grade.
"
CLAS 65,"  First-Year Seminar: The City of Rome",3,"
This first-year seminar is an introduction to the history and art of Rome from antiquity through the present. Students will survey the entire period, but will look in particular at four specific periods in the city's life from the early second century CE until the present day.",,"LA.",,"Letter grade.
"
CLAS 67,"  First-Year Seminar: Helen of Troy: From Homer to Hollywood",3,"
The myth of Helen of Troy has inspired countless creative responses, from Homer's Iliad to Hollywood's Troy; all of them raise questions about the value of beauty and love within society. The course requires no prior knowledge of the classics, although you should be familiar with Homer's Iliad and Odyssey.",,"LA, WB.",,"Letter grade.
"
CLAS 71,"  First-Year Seminar: The Architecture of Empire",3,"
The goal of the first-year seminar will be to examine the architecture of ancient empires, beginning with that of Egypt and ending with the Roman Empire. Analysis will be particularly concerned with the use of architecture as an instrument of empire. Honors version available",,"HS, BN, WB.",,"Letter grade.
"
CLAS 73,"  First-Year Seminar: Life in Ancient Pompeii",3,"
A study of this well-preserved ancient site provides an understanding of life in an Italian town during the early Roman empire. Students will study town planning, architecture, the arts, social organization, politics, entertainment, artisanry, commerce, and family life in this first-year seminar. Students may not receive credit for both CLAR 380 and CLAS 73. Honors version available",,"HS, BN, WB.",,"Letter grade.
"
CLAS 89,"  First-Year Seminar: Special Topics",3,"
Special topics course; contents will vary each semester. Honors version available",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
CLAS 121,"  The Greeks",3,"
Introduction to the history, literature, religion, philosophy, science, art and architecture of Greece from Homer to Alexander the Great. Emphasis on primary sources. Honors version available",,"LA, NA, WB.",,"Letter grade.
"
CLAS 122,"  The Romans",3,"
A survey of Roman civilization from the beginning to the late empire, dealing with history, literature, archaeology, philosophy and religion, technology, the economy, and social and political institutions. Honors version available",,"HS, NA, WB.",,"Letter grade.
"
CLAS 123,"  Summer Study Abroad in Greece",3,"
Introduction to the history and culture of ancient Greece, from the Bronze Age to the end of the Roman period, through field study of historical and archaeological sites in Greece.",,"EE- Field Work, NA, WB.",,"Letter grade.
"
CLAS 125,"  Word Formation and Etymology",3,"
Systematic study of the formation of words from Greek or Latin to build vocabulary and recognition. For medical terminology see CLAS 126.",,,,"Letter grade.
"
CLAS 126,"  Medical Word Formation and Etymology",3,"
Systematic study of the formation of medical terms from Greek and Latin roots, to build vocabulary and recognition. For general etymology see CLAS 125.",,,,"Letter grade.
"
CLAS 131,"  Classical Mythology",3,"
An introduction to the mythology of the ancient Greek and Roman world. Readings may include selections from Homer, Hesiod, Greek tragedy, and Vergil. Honors version available",,"LA, WB.",,"Letter grade.
"
