code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
CLSC 150,"  Current Topics in Clinical Laboratory Medicine",1,"
A survey of topics in laboratory medicine including transfusions, forensic science, infectious diseases, and hematologic diseases.",,,,"Pass/Fail.
"
CLSC 410,"  Laboratory Mathematics",1,"
Permission of the instructor for nonmajors. Basic mathematical principles, calculations, quality assurance, and method validation relevant to the clinical laboratory.",,,,"Letter grade.
"
CLSC 410L,"  Basic and Molecular Laboratory Methods",2,"
Majors only. Basic skills associated with the clinical laboratory including pipetting, spectrophotometry, standard curves, dilutions, and immunoassays. Molecular methods include small volume pipetting, microwell plating, nucleic acid extraction, and PCR techniques.",,,,"Letter grade.
"
CLSC 420,"  Urinalysis and Body Fluids",1,"
Permission of the instructor for nonmajors. The physical, chemical, and microscopic analysis of body fluids in the clinical laboratory with an emphasis on correlation of laboratory data.",,,,"Letter grade.
"
CLSC 420L,"  Urinalysis Laboratory",1,"
For clinical laboratory science majors only. The physical, chemical, and microscopic examination of urine with an emphasis on the correlation of laboratory data.",,,,"Letter grade.
"
CLSC 430,"  Biochemistry",3,"
Permission of the instructor for nonmajors. Physiological biochemistry of the metabolic pathways and alterations in selected diseases. Also includes principles and applications of molecular techniques in the clinical laboratory.",,,,"Letter grade.
"
CLSC 440,"  Hematology I",2,"
Permission of the instructor for nonmajors. Introduction to normal hematopoiesis, blood cell function and identification, hematologic tests, principles of hemostasis, and hemostasis disorders.",,,,"Letter grade.
"
CLSC 440L,"  Hematology I Laboratory",1,"
Permission of the instructor for nonmajors. Basic clinical assays for identification and evaluation of erythrocytes, leukocytes, and platelets with an emphasis on microscopy. Also includes coagulation testing.",,,,"Letter grade.
"
CLSC 442,"  Hematology II",3,"
Majors only. Hematologic disorders involving erythrocytes and leukocytes, with an emphasis on the analysis and interpretation of laboratory data.",,,,"Letter grade.
"
CLSC 442L,"  Hematology II Laboratory",1,"
Majors only. Microscopic identification and evaluation of abnormal erythrocyte and leukocyte morphology, correlation with other laboratory data, and clinical interpretation.",,,,"Letter grade.
"
CLSC 450,"  Immunology",3,"
Permission of the instructor for nonmajors. Basic immunology and serology. Innate and immune body defenses. The development and properties of cellular and humoral elements and their alterations in pathological and other conditions.",,,,"Letter grade.
"
CLSC 460,"  Special Pathogens",2,"
Permission of the instructor for nonmajors. Study of clinically significant fungi, parasites, and atypical or unusual bacteria. Correlation of disease, disease transmission, mechanisms of pathogenicity, and diagnostic testing.",,,,"Letter grade.
"
CLSC 460L,"  Parasitology and Mycology Laboratory",1,"
Permission of the instructor for nonmajors. Clinical laboratory diagnostic methods for human parasitic and fungal infections. Microscopic morphology of fungal organisms and parasites, including their various life cycle forms.",,,,"Letter grade.
"
CLSC 462,"  Clinical Bacteriology",3,"
Majors only. Principles and practice of clinical bacteriology. Study of medically significant bacteria with correlation of human disease, mechanisms of bacterial pathogenicity, and laboratory diagnostics.",,,,"Letter grade.
"
