code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
CMPL 55,"  First-Year Seminar: Comics as Literature",3,"
Comic books, Manga, and the graphic novel have almost vanished from the realm of serious literature. Recently, graphic literature has addressed controversial topics and reached readers across the globe. We will explore graphic literature's unique ability to be a medium for the marginal and oppressed in the 21st century.",,"VP.",,"Letter grade.
"
CMPL 89,"  First-Year Seminar: Special Topics",3,"
Specials topics course.  Content will vary each semester.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
CMPL 120,"  Great Books I: Epic and Lyric Traditions",3,"
Fulfills a major core requirement. Major works of literature central to the formation of Western culture from antiquity to 1750. Considers epic, lyric, drama, and prose; core authors such as Homer, Virgil, Dante, and Milton.",,"LA, WB.",,"Letter grade.
"
CMPL 121,"  Great Books I:  Romancing the World",3,"
Fulfills a major core requirement. This course focuses on the literary mode of romance, with particular attention to cross-cultural contact and exchange from classical antiquity to the present in both European and non-European literature. Honors version available",,"LA, WB.",,"Letter grade.
"
CMPL 122,"  Great Books I: Visual Arts and Literature from Antiquity to 1750",3,"
This course offers students a survey of mutually supportive developments in literature and the visual arts from classical antiquity until around 1700. Fulfills a major core requirement. Honors version available",,"LA, WB.",,"Letter grade.
"
CMPL 123,"  Great Books I: Politics and Literature from Antiquity to 1750",3,"
Fulfills a major core requirement. This course examines comparative literary texts in literature and political philosophy in the context of developments in political thought and practice from classical Greece through the French Revolution.",,"LA, WB.",,"Letter grade.
"
CMPL 124,"  Great Books I: Science and Literature from Antiquity to 1750",3,"
Fulfills a major core requirement. This course examines developments in literary and scientific thought, including the literary depiction of the disciplines of natural philosophy, including magic, cosmology, natural history, and physiology.",,"LA, WB.",,"Letter grade.
"
CMPL 130,"  Great Books II",3,"
Fulfills a major core requirement. An introduction to some of the major texts of 19th- and 20th-century literature, focusing on periods of romanticism, realism, and modernism and with some attention given to parallel developments in the arts and philosophy. Honors version available",,"LA, NA.",,"Letter grade.
"
CMPL 131,"  Great Books II: Savage, Native, Stranger, Other",3,"
Fulfills a major core requirement. Using readings in literature and philosophy, as well as film screenings, this course explores comparative literature's reconciliation over time of its own, predominantly Western, lineage with other non-Western textual traditions.",,"LA, GL.",,"Letter grade.
"
CMPL 132,"  Great Books II: Performance and Cultural Identity in the African Diaspora",3,"
Fulfills a major core requirement. The focus of this course is inquiry into how we theorize the existence of the African diaspora, cultural identity/-ies, and the role that performance plays in the articulation of experiences.",,"LA, GL.",,"Letter grade.
"
CMPL 133,"  Great Books II: Imaging the Americas from the Late 18th Century to the Present",3,"
Fulfills a major core requirement. This course studies the intersection between word and image, especially verbal and photographic cultural production, in the representation of the Americas in the hemispheric sense from the mid-18th century to present.",,"VP, US.",,"Letter grade.
"
CMPL 134,"  Great Books II: Travel and Identity",3,"
Fulfills a major core requirement. Introduces students to representative literary and intellectual texts from 1750 to the present and to relevant techniques of literary analysis. Works originally written in foreign languages are studied in translation. Honors version available",,"LA, NA.",,"Letter grade.
"
CMPL 142,"  Visual Culture II",3,"
Fulfills a major core requirement. This course surveys the visual arts, in particular painting and photography, from roughly 1750 to the present. Pictorial traditions, styles, and genres (as well as the traditions of critical writing that respond to them) will be considered from a proto-cinematic perspective. Theater and the novel may also be examined comparatively.",,"VP.",,"Letter grade.
"
CMPL 143,"  History of Global Cinema",3,"
This course is designed to introduce students to the field of global cinema and, thence, to the methods of comparativist film study.",,"VP, GL.",,"Letter grade.
"
CMPL 144,"  Engaging Film and Media",3,"
This viewing-intensive course introduces students to topics and traditions in film and other media.",,"VP, GL.",,"Letter grade.
"
CMPL 150,"  Critical Theory: Fear, Love, Laughter, and Loss - Film Genres and Spectatorship",3,"
Why do we laugh, cry, cringe, or scream at the movies? We will study emotionally intense genres such as melodrama, comedy and horror to think about effective responses to films. Students practice film analysis, gain an overview over genre cinema, and study approaches to emotion, affect, and the body.",,"VP, CI.",,"Letter grade.
"
CMPL 180,"  Race and Ethnicity in Hollywood Productions and Beyond",3,"
Studies in African American, Asian American, Hispanic American, Native American, Anglo-Indian, Caribbean, and other films that touch on themes of race and ethnicity in the American context.",,"LA, US.",,"Letter grade.
"
CMPL 198H,"  Literature in Eastern Europe",3,"
An introduction to the literatures of Eastern Europe, including consideration of political influences on literary creation within different cultural traditions.",,"LA, BN.",,"Letter grade.
"
CMPL 212,"  The Cinematic City",3,"
This course traces the interconnected evolutions of cinema and modern urban life. Versions of the course may address the problem of the city in the abstract or focus on how filmmakers have treated one or more specific cities (New York, Hong Kong, Cairo, Buenos Aires, Rome, Mexico City, Mumbai, Tokyo, etc.).",,"VP, CI.",,"Letter grade.
"
CMPL 220,"  Global Authors: Jane Austen",3,"
Fulfills a major core requirement. This course examines the fiction of Jane Austen and her literary and cultural influence across the globe.  We will see echoes of Austen in novels and films from around the world and explore how her work transcends generational, cultural, and geographical boundaries. What is the secret of her global appeal? Honors version available",,"LA, GL.",,"Letter grade.
"
CMPL 223,"  Global Authors: Cervantes",3,"
Fulfills a major core requirement. Close study of Cervantes' Don Quixote, its reception and impact on varied works of world literature.",,"LA, WB.",,"Letter grade.
"
CMPL 225,"  Global Authors: The Worlds of Shakespeare",3,"
Fulfills a major core requirement. Recommended preparation, ENGL 225 or familiarity with at least four Shakespeare plays. Explores the afterlife of Shakespeare's plays from a transnational and multidisciplinary perspective, paying attention to the ways in which several of his plays have been dislocated and reconstituted for different audiences and different artistic and political aims.",,"LA, GL.",,"Letter grade.
"
CMPL 227,"  Global Authors: The Middle Ages in World Cinema",3,"
Traces major points of convergence among the thematic concerns of medieval literature, global cinema, and academic constructions of "the Middle Ages." Considers the aesthetic and technological development of film and of medieval painting, sculpture, and dramatic performance.",,"VP, WB.",,"Letter grade.
"
CMPL 230,"  Global Crusoe: The Desert-Island Idea in Film and Fiction",3,"
The desert-island scenario involves a sophisticated and culturally central thought experiment in which the constraints of history and society are suspended and human nature is exposed in its essence. This course considers the permutations of this scenario in film and fiction from around the world.",,"LA.",,"Letter grade.
"
CMPL 232,"  Imagining the City in Modern Korea: Text, Image, Space",3,"
This course introduces students to modern Korea through the lens of the city. It explores the changing shape of urban space on the Korean peninsula as well as the central role that visions of the city and of city life have played in the development of modern Korean literature, television, and film.",,"LA, BN.",,"Letter gradeSame as: KOR 232.
"
CMPL 237,"  Rebel, Lover, Martyr: Gender and Sexuality in North and South Korean Screen Cultures",3,"
This course introduces students to the history of North and South Korean film and television through the lens of gender and sexuality. In so doing, it explores the multiple forms of the Korean self and the diverse shapes that Korean identity has taken across the modern and contemporary eras.",,"LA, BN.",,"Letter gradeSame as: KOR 237, WGST 237.
"
CMPL 240,"  Introduction to Film Theory",3,"
This course introduces students to debates in classical and post-classical film theory. Likely topics include medium specificity; the ideological functions of narrative cinema; film theory's investments in psychoanalysis, linguistics, semiotics, and phenomenology; the advent of digital media; feminism; national and transnational cinema; spectatorship; authorship; genre theory; and film and philosophy.",,"VP.",,"Letter grade.
"
CMPL 246,"  Body Politics in Modern Korean Literature",3,"
This course surveys twentieth- and early twenty-first-century Korean literature through the lens of representations of the body. Bringing together works of fiction, poetry, drama, and secondary scholarship, it explores how modern Korean literature has imagined the body, defined its multiple natures and identities, and delineated its shifting boundaries. Honors version available",,"LA, BN, CI.",,"Letter gradeSame as: KOR 346.
"
CMPL 250,"  Approaches to Comparative Literature",3,"
This communications-intensive course familiarizes students with the theory and practice of comparative literature: the history of literary theory; translation; and literature combined with disciplines such as music, architecture, and philosophy. Honors version available",,"LA, CI, NA.",,"Letter grade.
"
CMPL 251,"  Introduction to Literary Theory",3,"
Familiarizes students with the theory and practice of comparative literature. Against a background of classical poetics and rhetoric, explores various modern literary theories, including Russian formalism, Frankfurt School, feminism, psychoanalysis, deconstruction, new historicism, and others. All reading in theory is paired with that of literary texts drawn from a wide range of literary periods and national traditions.",,"LA, CI, NA.",,"Letter grade.
"
CMPL 252,"  Popular Culture in Modern Southeast Asia",3,"
This course examines popular culture in Southeast Asia as a response to colonialism, nationalism, modernization, the state, and globalization. Topics include theater, film, pop songs, television, rituals, and the Internet.",,"VP, BN.",,"Letter gradeSame as: ASIA 252.
"
CMPL 254,"  Horror and the Global Gothic: Film, Literature, Theory",3,"
This course traces the development of horror in film and writing from the 18th-century European novel to contemporary Asian film. Theoretical readings will embrace a range of disciplines, from literary and film theory to anthropology, feminism and gender studies, and psychoanalysis.",,"VP.",,"Letter grade.
"
CMPL 255,"  The Feast in Film, Fiction, and Philosophy",3,"
Comparative and interdisciplinary study of feasting and its philosophical underpinnings, with special attention to the multiple purposes and nuances of food and feasting in literature, film, and the visual arts. Honors version available",,"VP.",,"Letter gradeSame as: ASIA 255.
"
CMPL 256,"  Love in Classical Persian Poetry",3,"
We will examine the binaries of sacred and profane love, transgression and the law, self and the other, human diversity and inclusiveness in classical Persian poetry. We will explore the intersections of class, gender, sexuality, religion, etc. We will explore the poems inside their historical, cultural, and social contexts.",,"LA, CI, WB.",,"Letter gradeSame as: ASIA 256.
"
CMPL 257,"  The Crisis of Modernity in World Cinema",3,"
This course surveys world cinema in the attempt to identify the disjunctions that sever past and present. This course will ask the most basic questions: What is the nature of modernity?  What are the challenges of modernity?  How does the modern experience differ across the globe?",,"VP, GL.",,"Letter grade.
"
CMPL 258,"  Iranian Prison Literature",3,"
This course explores literature written in prisons, particularly under the Islamic Republic. Students will read documents to understand human rights (and violations thereof) from a historical perspective. Since literature, film, philosophy, and theory offer invaluable perspectives, we will examine their contributions in the reflection on human rights in Iran's prisons.",,"LA, BN, CI.",,"Letter gradeSame as: ASIA 258.
"
CMPL 260,"  Landscape: Re-Imagining the Natural World",3,"
Explores how human interaction with the natural world is represented in the literary, visual, and performing arts from Roman fresco to the ecological art and fiction of the 21st century. Students conduct mentored research at Ackland Art Museum with peer and faculty feedback at every stage.",,"VP, CI, EE- Mentored Research.",,"Letter grade.
"
CMPL 261,"  India through Western Eyes",3,"
Examines Western views of India and Indian culture and how these views differ from the way Indians in India and Indian immigrants in the West understand themselves and express their relationship to India through novels and travelogues.",,"LA, GL.",,"Letter gradeSame as: ASIA 261.
"
CMPL 262,"  Film and Politics",3,"
This course investigates the complex relations between cinema and politics in particular national and/or global contexts. Examining not merely films with narratives about politically charged themes but also the political and ideological nature of filmic representation itself, this course focuses on questions that link politics and aesthetics.",,"VP, GL.",,"Letter grade.
"
CMPL 266,"  Weimar Cinema",3,"
Explores important German films of 1919 to 1933, locating them in their artistic, cultural, and historical context. Treats the contested course of Weimar film history and culture and provides a theoretically informed introduction to the study of film and visual materials. Films with English subtitles; readings and discussions in English.",,"VP, NA.",,"Letter gradeSame as: GERM 266.
"
CMPL 267,"  Contemporary German and Austrian Cinema",3,"
Examines exciting new directions in German and Austrian cinema from the past 20 years.  By analyzing weekly films, students develop skills in film analysis and criticism; read reviews, interviews, and film-theoretical texts; write a film review; and produce a critical essay. Films with English subtitles; readings and discussions in English. Students may not receive credit for both GERM 267 and 367.",,"VP, CI, NA.",,"Letter gradeSame as: GERM 267.
"
CMPL 269,"  Springtime for Hitler: Jews on Stage from Shakespeare to Mel Brooks",3,"
This course examines the roles and representations of Jews in the world of the theater from Shakespeare's The Merchant of Venice to the present, considering dramas, operas, musicals, film adaptations, and films.  Readings and discussions in English.",,"VP, CI, NA.",,"Letter gradeSame as: GSLL 269, JWST 269.
"
CMPL 270,"  German Culture and the Jewish Question",3,"
A study of the role of Jews and the "Jewish question" in German culture from 1750 to the Holocaust and beyond. Discussions and texts (literary, political, theological) in English. Previously offered as GERM 270.",,"HS, GL, NA.",,"Letter gradeSame as: GSLL 270, JWST 239, RELI 239.
"
CMPL 271,"  Women in German Cinema",3,"
Introduction to feminist aesthetics and film theory by the examination of the representation of women in German cinema from expressionism to the present. All materials and discussions in English. Previously offered as GERM/WGST 250.",,"VP, NA.",,"Letter gradeSame as: GERM 271, WGST 271.
"
CMPL 272,"  History of German Cinema",3,"
This course explores the major developments of German cinema. All films with English subtitles. Readings and discussions in English. Previously offered as GERM 275.",,"VP, NA.",,"Letter gradeSame as: GERM 272.
"
CMPL 275,"  Literature of Pilgrimage",3,"
Analyzes literature of pilgrimage, a literal or figurative journey of transformation, from a variety of times and cultures from classical antiquity to the present, including such works as Apuleius' Golden Ass, Cervantes' Persiles, and Basho's Narrow Road to the Deep North.",,"LA.",,"Letter grade.
"
CMPL 277,"  Myth, Fable, Novella: The Long History of the Short Story",3,"
Traces the development of European short fiction from the 12th through the 17th centuries, taking brief looks backward toward the ancient world and forward to the modern short story. Honors version available",,"LA, WB.",,"Letter grade.
"
CMPL 279,"  Once Upon A Fairy Tale: Fairy Tales and Childhood, Then and Now",3,"
Considers fairy tales from several different national traditions and historical periods against the backdrop of folklore, literature, psychoanalysis, and the socializing forces directed at children. Students may not receive credit for both GERM 279/CMPL 279 and GSLL 54.",,"LA, NA.",,"Letter gradeSame as: GERM 279.
"
CMPL 280,"  Film Genres",3,"
This course introduces students to the methods of genre theory and analysis as they pertain to cinema. The course may either provide a survey of several different genres or examine a particular genre in depth as it has evolved historically. National and/or transnational dimensions of popular genres may be emphasized.",,"VP.",,"Letter grade.
"
CMPL 281,"  Holocaust Cinema in Eastern Europe",3,"
A critical look at varieties of cinematic representation and memorialization of the Holocaust, from those countries of Europe where it mostly took place. Taught in English. All films in (or subtitled in) English. Previously offered as SLAV 281.",,"VP, BN.",,"Letter gradeSame as: GSLL 281.
"
CMPL 282,"  Russian Literature in World Cinema",3,"
Survey of masterpieces of Russian literature in the context of their cinematic adaptations. Lectures and readings in English.",,"LA, BN.",,"Letter gradeSame as: RUSS 282.
"
CMPL 288,"  Graphic Medicine: The Intersection of Health and Comics",3,"
We will explore the unique possibilities of comics in the form of graphic medicine: namely comics that thematize physical and mental health. How do comic artists work through issues of trauma and pain? How do artists with chronic illness and disabilities articulate their experience through comics? This course engages with the Medical Humanities, seeking to bring together students of medicine along with students of the humanities to contemplate how we communicate physical and mental illness.",,"VP, NA.",,"Letter gradeSame as: GSLL 288.
"
CMPL 359,"  Literary Diasporas of the Middle East",3,"
Analyzing the relationship between the diaspora communities and their new surroundings by drawing on theories of migration, narration, and identity, we will examine the literature born out of this discourse. We will shed light on the historical, cultural, and aesthetic value of this literary production in the Middle East.",,"LA, BN, CI.",,"Letter gradeSame as: ASIA 359.
"
CMPL 364,"  The Classical Background of English Poetry",3,"
Study of classical writers' influence on selected genres of English poetry. Honors version available",,"LA, NA, WB.",,"Letter gradeSame as: CLAS 364.
"
CMPL 374,"  Modern Women Writers",3,"
The development of a women's literary tradition in the works of such writers as George Sand, George Eliot, Isak Dinesen, Colette, Virginia Woolf, Gertrude Stein, Marguerite Duras, Nathalie Sarraute, Marguerite Yourcenar.",,"LA, NA.",,"Letter gradeSame as: WGST 373.
"
CMPL 375,"  New Wave Cinema: Its Sources and Its Legacies",3,"
This course surveys European "new wave" cinemas post-1945. Movements in Italy, France, the Czech Republic, Britain, Poland, Germany, and other national or transnational contexts may be examined. Movements in Asia, Latin America, and North America may be considered. Or the course may focus on one or two new waves.",,"VP, NA.",,"Letter grade.
"
CMPL 377,"  The World of the Beat Generation: Transcultural Connections",3,"
A consideration of authors of the Beat Generation, including Jack Kerouac, Diane di Prima, William S. Burroughs, and Allen Ginsberg, particularly with regard to their interest in narrative depictions, poetics, and other meditations that bear on crossing national and territorial borders.",,"LA, NA.",,"Letter grade.
"
