code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
COMM 51,"  First-Year Seminar: Organizing and Communicating for Social Entrepreneurs",3,"
This course examines the historical and current development of social entrepreneurship as a field of study and practice, with particular attention to successful organizational communication strategies designed to solve community problems.",,"SS.",,"Letter grade.
"
COMM 53,"  First-Year Seminar: Collective Leadership Models for Community Change",3,"
This course will explore communication models for collective leadership involving youth and adults in vulnerable communities. Partnering with local youth-focused organizations, students will work in teams to research and design community-based change projects.",,"SS, EE- Field Work.",,"Letter grade.
"
COMM 57,"  First-Year Seminar: Is There Life after College?: The Meaning of Work in Contemporary Life",3,"
Examines the historical emergence of work as a defining feature of contemporary life. The course asks, What is a "career"? How have neoliberalism and post-Fordism influenced understandings of work and career?  How have changing conceptions of work influenced other aspects of life, including family, leisure, consumption, and self-identity?",,,,"Letter grade.
"
COMM 61,"  First-Year Seminar: The Politics of Performance",3,"
In this course students will explore the possibilities of making political performances, or making performances political. We will be particularly concerned with how performance may contribute to processes of social change.",,"VP.",,"Letter grade.
"
COMM 62,"  First-Year Seminar: African American Literature and Performance",3,"
This course examines the question of what characterizes "Blackness" as it manifests through experience, history, and symbol in the United States, as well as the impact of African practices and identities upon blackness in the United States. The course is concerned with what has been termed the "black literary imagination".",,"VP.",,"Letter grade.
"
COMM 63,"  First-Year Seminar: The Creative Process in Performance",3,"
Students will be engaged with multimedia, music, dance, and theater performances. We will explore the creative processes and cultural contexts of these performances and will compare the arts as a way of knowing the world to the creative processes of academic scholarship.",,"VP, CI, US.",,"Letter grade.
"
COMM 73,"  First-Year Seminar: Understanding Place through Rhetoric",3,"
This seminar explores how we come to understand what places are and how they are meaningful. We will look at places "rhetorically": how they were designed to persuade those who inhabit them, how we actually experience them, and how we make sense of them in our individual lives.",,,,"Letter grade.
"
COMM 82,"  First-Year Seminar: Food Politics from an Organizational Communication Perspective",3,"
This course provides an applied introduction to food politics by adopting a critical organizational communication lens on our globalized food system. We explore food system labor practices, the role of multinational companies and global commodity chains, the status of hunger and food deserts, the role of food marketing and consumption practices, and the growth of local and sustainable movements devoted to food justice.",,"SS, CI, EE- Service Learning.",,"Letter grade.
"
COMM 83,"  First-Year Seminar: Networked Societies",3,"
This seminar is designed to introduce early-career students to the role that networks play in contemporary global societies. We will examine key ways to think about network societies by taking up the idea of the network in social, political, economic, cultural, and technological terms.",,"SS.",,"Letter grade.
"
COMM 85,"  First-Year Seminar: Think, Speak, Argue",3,"
This is a course in learning to think more critically, speak more persuasively, and argue more effectively by focusing on practical skill development in reasoning and debate.",,"CI.",,"Letter grade.
"
COMM 86,"  First-Year Seminar: Surveillance and Society",3,"
How are surveillance technologies altering social life? This course will explore this question by mapping the complex ways that technologies and societies interact to produce security, fear, control, vulnerability, and/or empowerment.",,"SS, NA.",,"Letter grade.
"
COMM 88,"  First-Year Seminar: Technologies of Popular Culture",3,"
This seminar takes an historical approach to the relationship between popular culture and technological change. We will explore how artists and other workers (including audiences) in the TV, smart phone, and especially music industries have incorporated new technology into the production, distribution, and consumption of cultural commodities and experiences.",,"CI.",,"Letter grade.
"
