code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
CRMH 700,"  Foundations of Clinical Rehabilitation and Mental Health Counseling",3,"
This course will cover topics germane to the history and philosophy of rehabilitation. Students will obtain an overview of the field, its consumers, and methods of service delivery. .",,,,"Letter grade.
"
CRMH 702,"  Theories of Counseling Applied to Rehabilitation",3,"
An introduction to the traditional theories of individual and family counseling. Emphasis on application of theories to persons with disabilities, ethics, and multicultural awareness.",,,,"Letter grade.
"
CRMH 704,"  Medical Aspects of Rehabilitation",3,"
Functional, psychological, vocational, familial, social, and sexual aspects of medical disabilities. Includes the human body system and medical terminology. Focus on assistive technology and functional capacity.",,,,"Letter grade.
"
CRMH 706,"  Tests and Measurement in Clinical Rehabilitation & Mental Health Counseling",3,"
This course is an overview of the selection, administration, and interpretation of major assessment tools. Emphasis is on persons with mental illness or developmental disabilities.",,,,"Letter grade.
"
CRMH 708,"  Career Development and Employment: Counseling Persons with Disabilities",3,"
This course will cover career development and counseling with emphasis on community integration in vocational and leisure pursuits of persons with disabilities, particularly those with mental illness and developmental disabilities.",,,,"Letter grade.
"
CRMH 710,"  A Multicultural Perspective of Developmental Counseling through the Lifespan",3,"
A multicultural perspective of developmental theories and counseling through the lifespan will be covered with overall themes of positive development, resiliency, and healthy life transitions of persons with disabilities.",,,,"Letter grade.
"
CRMH 712,"  Fundamentals of Clinical Rehabilitation & Mental Health Counseling Diagnosis & Practice with People",3,"
 An introduction to diagnosing clients with mental illness and developmental disabilities. Focus is on best practice treatment and the vocational, social, and familial implications of living with a DSM disorder.","Prerequisites, CRMH 700 and 702.",,,"Letter grade.
"
CRMH 714,"  Principles of Group Counseling in Clinical Rehabilitation & Mental Health Counseling",3,"
Strategies and techniques in developing and implementing groups in counseling. Attention to group counseling with persons with disabilities, specifically those with mental illness and developmental disabilities.",,,,"Letter grade.
"
CRMH 716,"  Case Management, Rehabilitation Services, and Resources",3,"
Emphasis on leadership in all aspects of person-centered service coordination to include transdisciplinary and multi-agency effectiveness, knowledge of community organization and resources, service and support options.",,,,"Letter grade.
"
CRMH 718,"  Co-Occurring Disorders in Clinical Rehabilitation & Mental Health Counseling",3,"
This course covers counseling with those who have co-occuring psychiatric and developmental disorders with substance abuse.",,,,"Letter grade.
"
CRMH 800,"  Clinical Rehabilitation & Mental Health Counseling Research & Program Evaluations",3,"
 Research methods, evidence-based practice, and ethical, legal, and cultural issues related to research and evaluation. Covers basic statistics, library research for rehabilitation-related information, proposal development, and grant writing.","Prerequisites, CRMH 700 and 702.",,,"Letter grade.
"
CRMH 802,"  Clinical Rehabilitation & Mental Health Counseling Research & Program Evaluations",5,"
Required preparation, all rehabilitation counseling and psychology first-year didactic courses. Direct experience with clients/patients in varied service delivery settings.",,,,"Letter grade.
"
CRMH 805,"  Evidence-Based Practices in Psychiatric Rehabilitation",3,"
 Introduces the range of evidence-based practice and new effective models for treating individuals with severe and persistent mental illness demonstrated through levels of evidence empirically.","Prerequisite, CRMH 818.",,,"Letter grade.
"
CRMH 806,"  Applied Counseling Skills in Clinical Rehabilitation & Mental Health Counseling",5,"
Designed to teach foundational counseling skills that will enable students to begin counseling. Focus on counseling individuals with mental illness and developmental disabilities. Includes ethics and multicultural awareness.",,,,"Letter grade.
"
CRMH 810,"  Internship in Clinical Rehabilitation & Mental Health Counseling: Sections 1 and 2",10,"
Internship is a 640 hour (40 hours/week,16 weeks) clinical experience designed to provide students with opportunities to apply theoretical and clinical skills in a rehabilitation setting.",,,,"Letter grade.
"
CRMH 814,"  Intro to Clinical Rehab & Mental Health Counseling with People with Developmental Disabilities",3,"
Historical perspective, description, diagnoses, classification, etiology, patterns of functioning, current best practices with focus on RCP service delivery and community support; day-in-the-life component included.",,,,"Letter grade.
"
CRMH 816,"  Evidence-Based Counseling Practices with People with Developmental Disabilities",3,"
Prepares students for counseling practice with persons with developmental disabilities; focuses on achievement of person-centered, independent community life.",,,,"Letter grade.
"
CRMH 818,"  Evidence-Based Counseling Practices with People with Psychiatric Disabilities",3,"
Prepares students for RCP practice with persons with psychiatric conditions; introduces the range of evidence-based practice and effective models for treatment of this population.",,,,"Letter grade.
"
CRMH 822,"  Marriage, Couple & Family Counseling in Clinical Rehabilitation & Mental Health Counseling Practice",3,"
 Prepares students for clinical rehabilitation and mental health counseling with families of persons with psychiatric and developmental disabilities. Family and couples counseling theory, research and practice will be covered.","Prerequisite, CRMH 702.",,,"Letter grade.
"
CRMH 890,"  Special Topics in Clinical Rehabilitation & Mental Health Counseling",13,"
Faculty-mentored independent study to pursue specific interests and topics.",,,,"Letter grade.
"
CRMH 992,"  Master's (Non-Thesis)",3,"
Individual work by a student (supervised by faculty) to explore an area of interest in a research paper, program development, or a professional project.",,,"May be repeated for credit. 
",
CRMH 993,"  Master's Research and Thesis",3,"
Individual research supervised by a faculty member in a special field of study.",,,"May be repeated for credit. 
",
