code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
CZCH 280,"  Closely Watched Trains: Czech Film and Literature",3,"
This course examines Czech film and literature against the backdrop of key historical, political, and cultural events of the 20th century. Films with English subtitles. Readings and discussions in English.",,"LA, BN.",,"Letter grade.
"
CZCH 401,"  Elementary Czech I",3,"
Proficiency-based instruction at the elementary level that develops the four language skills (speaking, listening, reading, writing). In addition to mastering basic vocabulary and grammar, students will communicate in Czech about everyday topics.",,"FL.",,"Letter grade.
"
CZCH 402,"  Elementary Czech II",3,"
 Continuation of the proficiency-based instruction in CZCH 401. Course emphasizes speaking, listening, reading, writing in a cultural context. Students enhance their basic vocabulary and grammar and will regularly communicate in Czech about everyday topics.","Prerequisite, CZCH 401; permission of the instructor for students lacking the prerequisite.","FL.",,"Letter grade.
"
CZCH 403,"  Intermediate Czech I",3,"
 Continuation of proficiency-based instruction begun in Elementary Czech.","Prerequisite, CZCH 402; permission of the instructor for students lacking the prerequisite.","FL.",,"Letter grade.
"
CZCH 404,"  Intermediate Czech II",3,"
 Continuation of proficiency-based instruction begun in Elementary Czech.","Prerequisite, CZCH 403; permission of the instructor for students lacking the prerequisite.","FL.",,"Letter grade.
"
CZCH 405,"  Advanced Czech I",3,"
 Advanced readings and discussion in Czech in humanities and social science topics.","Prerequisite, CZCH 404; permission of the instructor for students lacking the prerequisite.",,,"Letter grade.
"
CZCH 406,"  Advanced Czech II",3,"
 Advanced readings and discussion in Czech in humanities and social science topics, continued.","Prerequisite, CZCH 405; permission of the instructor for students lacking the prerequisite.",,,"Letter grade.
"
CZCH 411,"  Introduction to Czech Literature",3,"
Introduction to Czech literature with an emphasis on 19th- and 20th-century prose. Taught in English. Some readings in Czech for qualified students.",,"LA, BN.",,"Letter grade.
"
CZCH 469,"  Milan Kundera and World Literature",3,"
This course traces Milan Kundera's literary path from his communist poetic youth to his present postmodern Francophilia . His work will be compared with those authors he considers his predecessors and influences in European literature. Taught in English. Some readings in Czech for qualified students.",,"LA, BN.",,"Letter gradeSame as: CMPL 469.
"
CZCH 490,"  Topics in Czech Culture",3,"
Study of topics in Czech and/or Slovak literature and culture not currently covered in any other course. The specific topic will be announced in advance. Taught in English. Some readings in Czech for qualified students.",,,"May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 4 total completions.","Letter grade.
"
