code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
DHYG 241,"  Nutrition",2,"
Course content addresses the principles and practices of human nutrition as applied to the nutritional needs of individuals at any point in the health illness continuum, throughout the lifespan and across diverse cultural groups. Analysis of diet and application of diet modification strategies to assist in attaining and maintaining optimum oral health are stressed.",,,,"Letter grade.
"
DHYG 251,"  Survey of Physiology",3,"
",,,,
DHYG 252,"  Dental Radiology",3,"
This course is designed to provide the student with a basic understanding of theories and principles in dental radiography. Lectures, seminars and preclinical laboratories will be used to prepare the student on the use of ionizing radiation in dentistry.",,,,"Letter grade.
"
DHYG 253,"  Dental Anatomy",2,"
This course is designed to provide opportunities for the student to learn the structure, morphology and function of the teeth and their supporting structures. Lectures, labs and identification exercises are incorporated. These will emphasize normal clinical appearance of the teeth and oral tissues as they apply to clinical dental hygiene.",,,,"Letter grade.
"
DHYG 257,"  Introduction to Dental Hygiene",2,"
This course will provide the student with the basic concepts and theories related to the performance of clinical dental hygiene. The course will provide an introduction to the UNC School of Dentistry patient care system. Opportunities will be provided for the student to identify his/her role as a dental hygienist with an emphasis on personal and professional development.",,,,"Letter grade.
"
DHYG 257L,"  Preclinical Dental Hygiene",3,"
Laboratory exercises will allow for the development of competency in technical and judgmental skills necessary for clinical procedures. Peer patient experience will provide an introduction to the patient care system. Opportunities will be provided for the student to identify his or her role as a dental hygienist with an emphasis on personal and professional development.",,,,"Letter grade.
"
DHYG 261,"  Dental Pharmacology",2,"
A survey course of pharmacology with emphasis on general principles and pharmacological action of and adverse reactions to commonly used drugs, especially those used in dentistry. The effect of drugs used to treat common medical problems on dental patients is also emphasized.",,,,"Letter grade.
"
DHYG 262,"  Dental Health Education",2,"
This course should prepare students to assess, develop, implement and evaluate preventive dental services for individual patients and groups within the community. The course will explore cognitive, affective and psychomotor skills which must be developed to produce a knowledgeable health professional. During the course of the semester the student will be assisted in developing a personal philosophy regarding his/her role in the prevention of oral diseases and demonstrate a personal commitment to proper oral hygiene. Instruction in four areas will be presented which include preventing disease, behavior modification, communication skills and patient management skills.",,,,"Letter grade.
"
DHYG 263,"  Periodontology",2,"
This course includes a study of basic oral histology and embryology with an in-depth study of the anatomy and histology of the periodontium and changes that occur in the presence of disease processes. Pathogenesis and etiology of periodontal diseases and mechanisms of tissue destruction are also emphasized. Clinical management of periodontal patients is covered.",,,,"Letter grade.
"
DHYG 264,"  Histology",1,"
This course includes a study of basic orofacial histology and embryology with emphasis on clinical application.",,,,"Letter grade.
"
DHYG 265,"  Dental Materials",3,"
This course provides a sound knowledge base in the science of dental materials. The student is introduced to the physical, mechanical, electrical and biological characteristics of dental materials. Emphasis is placed on why specific materials are used rather than solely upon the techniques of manipulating materials. The primary goal of this course is to enhance the student's ability to make clinical judgments regarding the application of dental materials and the ways in which these materials react to the oral environment. The clinical application of dental materials and its relationship to the oral environment and the scope of practice of dental hygiene are emphasized in lectures and labs.",,,,"Letter grade.
"
DHYG 267,"  Dental Hygiene Theory",3,"
This course provides the student with an expanded knowledge of clinical dental hygiene. Lecture/laboratory topics will include fluoride and other preventive agents, topical and local anesthesia, dental caries etiology and detection, management of dental office medical emergencies, nitrous oxide, air abrasives and dental assisting skills. The course also includes a seminar component introducing the student to various specialties in dentistry.",,,,"Letter grade.
"
DHYG 267L,"  Clinical Dental Hygiene",3,"
This course is designed to provide the student with continued experience in and knowledge of clinical dental hygiene. Clinical experiences will provide the opportunity to employ basic preventive skills and professional behavior.",,,,"Letter grade.
"
DHYG 351,"  General and Oral Pathology",3,"
This course is designed to give the student an understanding of basic pathology and the recognition of abnormalities in the oral regions. Common oral disease conditions and conditions which alter routine dental care are covered.",,,,"Letter grade.
"
DHYG 352,"  Community Dental Health",3,"
This course is designed to aid dental hygiene students in realizing their potential as dynamic members of the community. Instruction, activities and assignments will strengthen the students' understanding of and ability to work effectively with a variety of people and organizations within a community. Emphasis will be placed on community assessment and diagnosis, program planning, implementation and evaluation, school screening and existing dental health programs.",,,,"Letter grade.
"
DHYG 357,"  Clinical Dental Hygiene",5,"
Students will begin to prepare for the transition from dental hygiene student to registered dental hygienist. Students will be provided guidance in increasing clinical competency in basic dental hygiene skills and problem solving. Emphasis will be placed on comprehensive patient care.",,,,"Letter grade.
"
