code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
DRAM 79,"  First-Year Seminar: The Heart of the Play: Fundamentals of Acting, Playwriting, and Collaboration",3,"
This seminar is designed to get the student doing theatre, sparking creativity, and making connections with the deeper lessons of this dynamic art form.  Students will write, stage, and perform their own 10-minute plays.",,"VP, CI.",,"Letter grade.
"
DRAM 80,"  First-Year Seminar: Psychology of Clothes: Motivations for Dressing Up and Dressing Down",3,"
The course seeks to help students find ways to articulate their own motivations for dress and then apply the ideas they have discovered to the ways in which individuality as well as group attitudes are expressed through clothing. Honors version available",,"VP, CI.",,"Letter grade.
"
DRAM 81,"  First-Year Seminar: Staging America: The American Drama",3,"
This seminar examines American drama from its colonial origins to the present as both a literary and commercial art form. The focus throughout will be on the forces that shaped American drama as well as drama's ability to shed light on the national experience. Honors version available",,"VP, CI, NA.",,"Letter grade.
"
DRAM 82,"  First-Year Seminar: All the World's a Stage: Drama as a Mirror of Society",3,"
This seminar examines how theatre evolves from and reflects the society that generates it, and how understanding that society can enrich our responses to plays.",,"LA, CI.",,"Letter grade.
"
DRAM 83,"  First-Year Seminar: Spectacle in the Theatre",3,"
This course examines how the theatrical designer uses scenery, costumes, and lighting to help create a production. Students will apply these techniques in creating their own design projects.",,"VP.",,"Letter grade.
"
DRAM 84,"  First-Year Seminar: The Inherent Qualities of Theatrical Space",3,"
This course examines what elements contribute to the theatricality of space. Through research and creative projects, students will gauge how a space informs what goes on inside it.",,"VP, CI.",,"Letter grade.
"
DRAM 85,"  First-Year Seminar: Documentary Theatre",3,"
This course explores the political and social ramifications of documentary theatre in the United States. Students will investigate a local community of their choosing and create an interview-based performance. Honors version available",,"VP, EE- Performing Arts, NA.",,"Letter grade.
"
DRAM 86,"  First-Year Seminar: Rediscovering the Mind-Body Connection",3,"
This seminar will focus on developing our unique mind-body connection. By encouraging small and large changes in behavior students will learn how their body is used to create their world.",,"VP.",,"Letter grade.
"
DRAM 87,"  First-Year Seminar: Style: A Mode of Expression",3,"
This seminar studies the elements of design in their pure form, surveys a history of period styles and theatre, and identifies their causes. Honors version available",,"VP, CI, NA.",,"Letter grade.
"
DRAM 88,"  First-Year Seminar: Ecology and Performance",3,"
This seminar will guide students through researching, developing, and producing new performance works inspired by socio-ecological issues. This task involves student-directed research and experiential learning. Students will integrate an understanding of performance techniques, "green theatre," and notions of sustainability into an ecologically-driven work for performance.",,"VP, EE- Performing Arts.",,"Letter grade.
"
DRAM 89,"  First Year Seminar:  Special Topics",3,"
This is a special topics course. Content will vary.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
DRAM 115,"  Perspectives in Drama",3,"
A survey of plays from the Greeks to the present, analyzed through such elements of the dramatic text as action, character, structure, and language. Honors version available",,"LA, NA.",,"Letter grade.
"
DRAM 116,"  Perspectives in the Theatre: Page to Stage",3,"
A survey of the interrelationships of acting, directing, designing, and playwriting through the study of major periods of theatrical expression and representative plays. Honors version available",,"VP.",,"Letter grade.
"
DRAM 117,"  Perspectives in World Drama",3,"
A survey of non-Western drama and theatre with emphasis on the historical and aesthetic development of those regions. Honors version available",,"LA, BN.",,"Letter grade.
"
DRAM 120,"  Play Analysis",3,"
Development of the skill to analyze plays for academic and production purposes through the intensive study of representative plays. DRAM 120 is the first course in the major and the minor in dramatic art. Honors version available",,"VP, CI, NA.",,"Letter grade.
"
DRAM 131,"  Writing for the Screen and Stage",3,"
Restricted course.  Dramatic writing workshop open only to students in the writing for the screen and stage minor.",,"VP, CI.",,"Letter gradeSame as: COMM 131.
"
DRAM 134,"  Theatrical Auditions",3,"
Permission of the instructor. Practice in the techniques necessary for successful auditions for the theatre.",,,,"Letter grade.
"
DRAM 135,"  Acting for Nonmajors",3,"
Introduction to basic processes and techniques of acting for the stage.",,,,"Letter grade.
"
DRAM 140,"  Voice Training I",3,"
Fundamental principles underlying the effective use of voice and speech in performance.",,,,"Letter grade.
"
DRAM 144,"  Acting the Song",3,"
The course explores how to gain facility in expression and truthfulness in action while communicating through a dramatic song. Challenges include how to navigate a scene that moves into song and how to manage breath and vulnerability in performance. Permission of the instructor required.",,,,"Letter grade.
"
DRAM 145,"  Acting for the Screen and Stage",3,"
The course focuses on developing acting techniques for use in front of the camera and the way they are differentiated from those used on stage.",,,,"Letter grade.
"
DRAM 150,"  Beginning Acting for the Major",3,"
 Introduction to acting tools, emphasizing playing actions and pursuing an objective by personalized given circumstances. Performance work drawn from short scripted, improvised, and contemporary scenes.","Prerequisite, DRAM 120.",,,"Letter grade.
"
DRAM 154,"  Performers' Awareness",3,"
This course focuses on developing body and mind awareness and undoing habits (including habits of thought) which restrict the performer.  The class explores strategies for reducing tension, re-discovering natural alignment, and replacing self-judgement with self-confidence.",,,,"Letter grade.
"
DRAM 155,"  Movement for the Actor",3,"
Introduction to physical training. Individual/group exercises explore relaxation, breath, concentration, flexibility, and imaginative response that become physical tools for acting. May include stage combat, juggling, mime, improvisation, games, and yoga.",,,,"Letter grade.
"
DRAM 160,"  Stagecraft",3,"
General survey of materials, equipment, and processes used in technical theatre.",,,,"Letter grade.
"
DRAM 170,"  The Playful Actor: Theatre Games and Improvisation",3,"
This course seeks to strengthen the powers of imagination, courage, spontaneity, and presence of the actor through theatre games and improvisation.",,,,"Letter grade.
"
DRAM 175,"  Building A Persuasive Persona Under Pressure",3,"
This course will help develop the skills necessary to be an effective communicator, especially during stressful situations. Breathing techniques which enable us to listen with accuracy and empathy, and to speak compellingly with confidence, will be practiced. Mock scenarios and on-camera interviews will create real-to-life situations.",,"CI.",,"Letter grade.
"
DRAM 191,"  Technical Methods: Scenery",3,"
DRAM 191 or 192 required for dramatic art majors. Permission of the instructor for nonmajors. Introduction to equipment, procedures, and personnel in the design and execution of plans for scenery, lighting, properties, and sound for theatrical productions.",,"EE- Performing Arts.",,"Letter grade.
"
DRAM 192,"  Technical Methods: Costume",3,"
DRAM 191 or 192 required for dramatic art majors. Permission of the instructor for nonmajors. Introduction to equipment, procedures, and personnel in the design and execution of costumes for theatrical productions.",,"VP, EE- Performing Arts.",,"Letter grade.
"
DRAM 193,"  Production Practicum",3,"
Permission of the instructor for nonmajors. Required for the dramatic art major. Practicum in production with PlayMakers Repertory Company in costuming, scenery, lighting, sound, or theatre management.",,"EE- Performing Arts.","May be repeated for credit. 6 total credits. 2 total completions.","Letter grade.
"
DRAM 196,"  Dramatic Art Projects",13,"
Permission of the department. May be repeated for credit. Restricted to juniors and seniors majoring in dramatic art. Intensive individual work in major areas of theatrical production: design, technical, directing, acting, playwriting, management.",,"EE- Performing Arts.","May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
DRAM 215,"  Studies in Western Drama",3,"
A study of the thematic and formal developments of Western drama, tracing legacies from classical Greece to the contemporary stage.",,"LA, NA.",,"Letter grade.
"
DRAM 231,"  Playwriting I",3,"
Permission of the department. A practical course in writing for the stage with studio productions of selected works.",,"VP, CI.",,"Letter grade.
"
DRAM 235,"  Acting for Nonmajors II",3,"
 A further exploration of basic processes and techniques of acting for the stage.","Prerequisite, DRAM 135.",,,"Letter grade.
"
DRAM 240,"  Voice Training II",3,"
 A continuation of DRAM 140.","Prerequisite, DRAM 140.",,,"Letter grade.
"
DRAM 245,"  Acting for the Camera",3,"
 The process of acting and its relationship to the technical and artistic demands of television/film production. Problems of continuity and out-of-sequence filming. Concentration and thinking on camera.","Prerequisite, DRAM 135 or 150; permission of the instructor for students lacking the prerequisite.",,,"Letter grade.
"
DRAM 250,"  Intermediate Acting for the Major",3,"
 A deeper exploration of fulfilled actions prompted by an objective, with emphasis on developing techniques required by more formally structured texts such as Sophocles, Molière, Ibsen, Shaw, and Chekhov. .","Prerequisite, DRAM 150.",,,"Letter grade.
"
DRAM 255,"  Movement for the Actor II",3,"
 Development of balance, flexibility, strength, focus, grace, and precision through martial art of T'ai Chi Ch'uan. Emphasis on applying T'ai Chi principles to acting. Chinese philosophical bases for T'ai Chi explored.","Prerequisite, DRAM 155; permission of the instructor for students lacking the prerequisite.",,,"Letter grade.
"
