code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
ECON 50,"  First-Year Seminar: Future Shock: Global Economic Trends and Prospects",3,"
Are we heading for global depression and an intensification of international conflict as in the 1930s? Or are we on the threshold of a golden age of peace and prosperity? This course will use the tools of economics and international security analysis to examine the probable directions of that change.",,"SS.",,"Letter grade.
"
ECON 51,"  First-Year Seminar: Current Economic Problems: The Economics of North Carolina",3,"
Basic concepts of economics through the study of basic economic issues facing the residents of North Carolina. Topics will include hog farming, the Carolina Panthers, the outsourcing of manufacturing jobs, the proliferation of Wal-Marts, and more.",,"SS.",,"Letter grade.
"
ECON 52,"  First-Year Seminar: The Root of All Evil? Money as a Cultural, Economic, and Social Institution",3,"
It is amazing that over time people have developed the willingness to exchange valuable goods for useless pieces of paper called money. In this course, students study money as a social, economic, historical, and cultural institution.",,"SS.",,"Letter grade.
"
ECON 53,"  First-Year Seminar: The Costs and Benefits of the Drug War",3,"
The basic question examined in this course will be the costs and benefits of the United States policy of drug prohibition. As a seminar the class will consist of discussions and debates.",,"SS.",,"Letter grade.
"
ECON 54,"  First-Year Seminar: The Entrepreneurial Imagination: Turning Ideas into Reality",3,"
What are the skills and competencies that great entrepreneurs have in common and how might first-year students begin to acquire such skills? This course will answer the question by combining a study of the writings of leading scholars on innovation and entrepreneurship with analytical case studies on successful entrepreneurs.",,"SS.",,"Letter grade.
"
ECON 55,"  First-Year Seminar: Economics of Sports",3,"
This course uses a varity of economic tools to analyze selected topics and issues related to professional, collegiate, and recreational athletics. Honors version available",,"CI, EE- Mentored Research.",,"Letter grade.
"
ECON 56,"  First-Year Seminar: Entrepreneurship: Asia and the West",3,"
This course fits the Carolina Entrepreneurial Initiative (CEI), with a communication intensive, global issues framework.",,"SS, GL.",,"Letter grade.
"
ECON 57H,"  First-Year Seminar: Engines of Innovation: the Entrepreneurial University in the 21st Century",3,"
Exploring research universities' impact on solving the world's biggest problems. Based on a book coauthored by Buck Goldstein and Chancellor Holden Thorp. Students will work on an entrepreneurial project.",,"SS, CI.",,"Letter grade.
"
ECON 58,"  First-Year Seminar: History of Financial Crisis, 1637-2013",3,"
This first-year seminar course covers the 376-year history of financial crises ending with the great meltdown of 2008. We will study recurring historical patterns of financial bubbles and examine critical differences among them.",,"HS, NA.",,"Letter grade.
"
ECON 89,"  First Year Seminar:  Special Topics",3,"
This is a special topics course.  Content will vary each semester. Honors version available",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
ECON 100,"  Economic Principles",3,"
Discussion of economic topics of current interest for students with little or no background in economics.",,,,"Letter grade.
"
ECON 101,"  Introduction to Economics",4,"
Introduction to fundamental issues in economics including competition, scarcity, opportunity cost, resource allocation, unemployment, inflation, and the determination of prices. Honors version available",,"SS.",,"Letter grade.
"
ECON 111,"  The Economics of Entrepreneurship and Innovation",3,"
This course will present the fundamental concepts of economics necessary to the understanding of the theory and practice of entrepreneurship. Topics include supply and demand, consumer choice, profit maximization and choice under uncertainty. The presentation of these topics will be structured around a series of case studies of entrepreneurial innovation.",,,,"Letter grade.
"
ECON 125,"  Introduction to Entrepreneurship",3,"
A survey course providing both a theoretical framework and practical examples of what it means to think like an entrepreneur and how such thinking can impact a range of important societal challenges.",,"SS.",,"Letter grade.
"
ECON 231,"  Economic History of Western Europe",3,"
Main features of the emergence and expansion of capitalism since 1500.",,,,"Letter grade.
"
ECON 234,"  Survey of the History of Economic Thought",3,"
Introduction to the development of economic thought from the mercantilists, through Smith and the classicists, Marx, the neoclassicists to Keynes.",,"PH.",,"Letter grade.
"
ECON 267,"  Comparative Economic Systems",3,"
A survey of the principles and performance of capitalist, communist, socialist, corporatist, and transitional systems.",,,,"Letter grade.
"
ECON 285,"  Access to Work in America",3,"
Focus on systemic and individual factors affecting access to work including gender, race, age, disability, transportation, international competition, technological progress, change in labor markets, educational institutions, and public policy.",,"SS, CI, EE- Field Work.",,"Letter gradeSame as: AMST 285.
"
