code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
EDMX 704,"  Literacy Reflection",3,"
Focuses on reflective literacy teaching: problematizing, processes of understanding students' thinking about reading and writing.",,,,"Letter grade.
"
EDMX 706,"  Assessment and Accountability",3,"
Provides students with the opportunity to review, renew, and expand their understanding of assessment and program evaluation procedures, as well as the role of accountability in educational settings.",,,,"Letter grade.
"
EDMX 707,"  Reinventing Teaching",3,"
Admission to the M.Ed. for experienced teachers program required. Addresses contexts of teaching, teaching in the world, and teaching students in schools. This course is designed for experienced educators to "reinvent teachers and teaching."",,,,"Letter grade.
"
EDMX 708,"  Teacher Researcher I",13,"
Enrollment in the M.Ed. for Experienced Teachers program required. Explores the meanings of research and the potential roles of teachers in conducting research. Teachers formulate possible individual or small group research projects that they can carry out during the year.",,,,"Letter grade.
"
EDMX 709,"  Teacher Researcher II",3,"
Teachers will plan and conduct advanced inquiry/research projects informed by their knowledge of teacher-research and their experience as teacher-researchers garnered through their successful completion of EDMX 708.",,,,"Letter grade.
"
EDMX 710,"  Teacher Leadership for a Democratic Society",3,"
Focuses on the nature of change and teachers' roles as leaders within a changing environment. Several themes are addressed: shaping school cultures, schools as communities, schools as sites for reform, and politics and schools.",,,,"Letter grade.
"
EDMX 715,"  Assessment and Differentiation",1,"
 Enrollment in the M.Ed. for experienced teachers program required. Enhances teachers' understanding of how to differentiate assessment.","Prerequisite, EDMX 707.",,,"Letter grade.
"
EDMX 716,"  Assessment and Differentiation",3,"
Enrollment in the M.Ed. for experienced teachers program required. Enhances teachers' understanding of how to differentiate instruction. Using a case-based approach, teachers examine the areas of human development, special education and inclusion, cultural diversity, linguistic diversity, cognitive styles, and multiple intelligences as frames through which to consider creative environments to promote students' classroom success.",,,,"Letter grade.
"
EDMX 721,"  Content-Area Reading and Writing",3,"
Focuses on current theory, research, and issues in the teaching and use of reading and writing in the content areas. This is an introductory course.",,,,"Letter grade.
"
EDMX 722,"  Advanced Reflective Literacy Teaching",3,"
Teachers will learn how to problematize assessment of students' thinking about reading and writing in this practicum course.",,,,"Letter grade.
"
EDMX 723,"  Number Systems and Operations: K-5 Mathematical Tasks",3,"
Course has major restrictions. Analysis and construction of effective mathematical tasks in teaching number systems and operations at the K-5 level; attention is also given to the expansion of content knowledge.",,,,"Letter grade.
"
EDMX 724,"  Data Analysis and Measurement: K-5 Classroom Interactions",3,"
Course has major restrictions. Focuses on statistical literacy of elementary teachers and the teaching of data analysis and measurement to K-5 students; attention is also given to learning methods that facilitate appropriate classroom interactions.",,,,"Letter grade.
"
EDMX 725,"  Rational Numbers and Operations: K-5 Learning Trajectories",3,"
 Course has major restrictions. Focuses on rational number concepts through learning trajectories at the K-5 level. Attention also given to problem solving and content knowledge.","Prerequisite, EDMX 723.",,,"Letter grade.
"
EDMX 726,"  Revisiting Real Numbers Concepts",3,"
Uses a problem-based format and group work to explore the mathematics of the real numbers with an emphasis on rational numbers.",,,,"Letter grade.
"
EDMX 727,"  Algebraic Reasoning: K-5 Discourse and Questioning",3,"
 Course has major restrictions. Focus on the early algebra concepts of functional thinking and generalized arithmetic in relationship to pedagogical practices centered on questioning in the mathematics classroom.","Prerequisite, EDMX 723.",,,"Letter grade.
"
EDMX 728,"  Topics in Mathematics Education: Geometry",13,"
Provides students with a mathematical foundation and cognitive support for elementary and middle school geometry. Specific goals address structure of elementary and middle school geometry.",,,,"Letter grade.
"
EDMX 730,"  Geometry and Spatial Visualization: K-5 Assessment",3,"
Course has major restrictions. Geometric concept development along with formative and summative assessment strategies of students' geometric thinking. Attention also is given to geometric content knowledge and diagnosis of student errors.",,,,"Letter grade.
"
EDMX 731,"  Writing in the 21st Century",3,"
Focuses on the writing process and the theoretical foundations necessary to become practitioners who can develop and implement effective writing instruction using 21st-century skills.",,,,"Letter grade.
"
EDMX 732,"  Explorations in Literacy",3,"
Explores what it means to be a reader and writer, the nature of development of literacy.",,,,"Letter grade.
"
EDMX 733,"  Spanish for Educators",3,"
This graduate-level course is an introductory immersion-style Spanish course for anyone involved in education. Learners will acquire novice-level proficiency in Spanish and an awareness of Hispanic culture.",,,,"Letter grade.
"
EDMX 734,"  Revisiting Literacy",3,"
Explores literacy topics as capstone course for master's or licensure program in literacy.",,,,"Letter grade.
"
EDMX 735,"  Math and Content Area Methods: Special Education, General Curriculum",3,"
Students will learn characteristics of students with mild to moderate learning disabilities in math, social studies, and science. They will also learn assessment techniques and instructional methods to address these specific characteristics.",,,,"Letter grade.
"
EDMX 736,"  Mathematical Modeling: K-5 Leadership",3,"
 Restricted to majors. Generating mathematical representations and making explicit connections between concepts. Pedagogy designed to equip elementary teachers to become mathematics teacher-leaders in school settings. Focuses on topics integrated within mathematical strands.","Prerequisites, EDMX 723, 724, 725, 727, and 730.",,,"Letter grade.
"
