code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
EDUC 65,"  First-Year Seminar: School Daze: What's School Got to do with Getting an Education?",3,"
This seminar explores the concepts of schooling and education. Students will be challenged to reconsider their experiences and notions about pre-K through 12 schooling and to examine alternatives.",,,,"Letter grade.
"
EDUC 89,"  First-Year Seminar: Special Topics",3,"
Course content will vary each semester.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
EDUC 101,"  First Year Thriving",2,"
The course will introduce students to the scholarship on transitions and potential paths for thriving at a liberal arts institution. Students apply research on learning science, emerging adulthood, cultural competence, and well-being to enhance their own experience. First year students only.",,,,"Letter grade.
"
EDUC 111,"  Career Exploration",1,"
Career Exploration is a designed to expose first and second year students to career development theories, while providing a framework for exploring and discovering their interests and skills. Previously offered as EDUC 131. No seniors.",,,,"Letter grade.
"
EDUC 121,"  Tutoring in the Schools I",2,"
Provides a basic introduction to teaching and education. This course consists of a seminar based with field placements in different levels of schools.",,,,"Letter grade.
"
EDUC 122,"  Tutoring in the Schools II",1,"
Combines tutoring training with a field placement for tutoring in literacy and mathematics in grades kindergarten through three.",,,,"Letter grade.
"
EDUC 130,"  Navigating the Research University",1,"
This course will provide students with knowledge to succeed at a research university. Students will consider what it means to have a liberal arts education and will learn about motivation, resiliency, and self-advocacy. Students will reflect on their current work toward academic success and their path to graduation.",,,,"Letter grade.
"
EDUC 149,"  Experiential Education and Civic Identity",1,"
The course will introduce students to the history and contemporary scholarship of experiential education. It will explore high impact practices in higher education and the role that experiences such as Outward Bound expeditionary education courses can play in an undergraduate student's development and success in college and on the development of civic identity. 28-day Outward Bound course or similar expeditionary education experiences per instructor discretion.",,"EE- Field Work.",,"Letter grade.
"
EDUC 150,"  The Science of Learning (Intensive)",1,"
This course is an abbreviated and intensive version of EDUC 330: The Science of Learning. It is designed to optimize the beliefs and techniques critical for thriving at a rigorous university. Students will be exposed to research, particularly from cognitive psychology and behavioral neuroscience, which identifies the most effective methods of learning. Participants will also be given opportunities to implement such methods. Students may not receive credit for both EDUC 150 and EDUC 330.",,,,"Letter grade.
"
EDUC 181,"  Introduction to Human Development and Family Studies",3,"
Introduces students to theories and major research areas in human development and family studies while connecting this theory and research to careers in the helping professions. Students shadow a professional in a field of their choice.",,"SS.",,"Letter grade.
"
EDUC 190,"  Special Topics in Education",13,"
This course provides students the opportunity for introductory exploration and discussion of selected topics in education.",,,"May be repeated for credit; may be repeated in the same term for different topics; 15 total credits. 5 total completions.","Letter grade.
"
EDUC 211,"  Career Planning and Job Searching",1,"
This course is designed for juniors and seniors who are preparing to embark on their post-Carolina job search. Students will learn how to develop the necessary tools and skills required to execute an effective job search, while understanding and applying theoretical concepts related to strengths, adaptability, and resilience in career development. Course previously offered as EDUC 132. No first year students.",,,,"Letter grade.
"
EDUC 221,"  Tutoring in the Schools III",1,"
Combines tutoring training with a field placement for tutoring in literacy and mathematics in grades four through eight.",,,,"Letter grade.
"
EDUC 222,"  Tutoring in the Schools IV",1,"
Focuses on the relationship among arts, creativity, and education.",,,,"Letter grade.
"
EDUC 230,"  Thriving After the First Year: Accessing High Impact Opportunities",1,"
The course is designed primarily to help students identify and access meaningful HIPs aligned with their individual values, needs, and goals. Students will be guided to ask critical and reflexive questions that will help them describe and link their unique purpose at the university with their potential contributions to the world. The course includes substantive content on student belonging and student engagement. Not open to first-year students.",,,,"Letter grade.
"
EDUC 231,"  The Science of Well-Being",3,"
Students will learn the science of well-being for emerging adulthood. The course will bridge contemporary literature on development, non-cognitive factors, positive psychology (e.g., hope, optimism) and more. Learn and invest in your well-being as a student at UNC-Chapel Hill and beyond. No First-year students.",,"SS, CI.",,"Letter grade.
"
EDUC 250,"  Risk and Resiliency: Challenges and Opportunities in Education",4,"
Explores factors that put children at risk for educational failure and interventions to increase resiliency. Service and learning experiences in educational and community agencies are integral to the course.",,,,"Letter grade.
"
EDUC 301,"  Junior Transfer Seminar - Thriving in Transition",3,"
Course challenges students to think critically about educational issues as they transition to a research university. Through readings, videos and activities, students explore the value of higher education, the development of intelligence, and the role of habit and happiness in college success. Students also conduct and present original qualitative research.",,"SS, EE- Field Work.",,"Letter grade.
"
EDUC 309,"  An Examination of Quality and the Pursuit of Betterness",3,"
A three-credit seminar on leadership styles, philosophies, and issues related to leadership. Each class will overlap these concepts (topical or theory/practice, service, and self-awareness.)",,,,"Letter grade.
"
EDUC 311,"  Life-Career Design",3,"
This course examines the contemporary research in career development (e.g. happiness, purpose, decision-making, values, experiential learning). The course guides students to use design thinking to apply the concepts to life action plans. Students will increase self-awareness and self-advocacy to maximize their potential and envision multiple pathways for further education and life-work balance. Sophomores, juniors, and seniors only.",,"SS.",,"Letter grade.
"
EDUC 316,"  Advanced Leadership Development Seminar",3,"
This is a three-credit course with a focus on delving deeper into issues relevant to leadership and education. This course is open to seniors, juniors, and sophomores with student organization experience and an interest in an advanced exploration of leadership.",,,,"Letter grade.
"
EDUC 317,"  Dynamics of Effective Leadership",1,"
The course is intended to provide an introduction to leadership theory, a forum for reflection upon personal strengths and contributions to leadership, and an opportunity to explore the nature of working in teams and groups.",,,,"Pass/Fail.
"
EDUC 318,"  Peer Leadership in the University Environment",2,"
This course revolves around and centers on the Relational Leadership Model which defines leadership as the relational and ethical process of people together attempting to accomplish positive change.",,"EE- Mentored Research.",,"Letter grade.
"
EDUC 320,"  Navigating Education in Borderlands",3,"
This course provides students a preliminary introduction to qualitative research methods as a mechanism for critically examining the concept of borders and implications for students' own educational experiences. While immersed in a geographic borderlands space, students will explore the "border" as not just the physical border between Mexico and the US, but as Gloria Anzaldúa presents in her 1987 book Borderlands/ La Frontera, as a "psychic, social, and cultural terrain that we inhabit".",,"SS, EE- Mentored Research.",,"Letter grade.
"
EDUC 325,"  Introduction to Counseling and Coaching",3,"
This course provides students with an overview of the major counseling and group work theories, an introduction to individual and group work counseling techniques, the conditions that facilitate an effective working relationship with clients across the lifespan applying cultural awareness and sensitivity, the general stages in group and individual counseling processes, and professional ethics. The course also provides an overview of coaching as a method of helping families thrive. Course restricted to majors.",,,,"Letter grade.
"
EDUC 330,"  The Science of Learning",3,"
Students study several facets of learning in the modern world, and investigate what scholarship in cognitive psychology, educational psychology, and the learning sciences can do to help us maximize that learning.",,"SS.",,"Letter grade.
"
EDUC 349,"  Adulting",3,"
The course critically analyzes the contemporary and cultural application of emerging adulthood theory. Themes center on identity, competence, managing emotions, purpose, intimacy, civic engagement, and more. Practical learning and skills surrounding financial literacy are included. Students co-create core adulting skills through research and skill demonstrations.  Sophomores, juniors, and seniors only.",,"SS.",,"Letter grade.
"
EDUC 375,"  Identity and Sexuality",3,"
This course will guide students in the examination of the vital role that sexuality, sexual identity, gender, race and class play in families, communities, and educational settings. These and other socio-cultural factors, which often intersect and are embedded in historic ways of constructing what it means to be "normal," fundamentally shape how individuals understand themselves, their place in the world, as well as others around them.",,"US.",,"Letter grade.
"
EDUC 387,"  Peer Tutoring",3,"
Peer Tutoring is an APPLES service-learning course that provides undergraduates the opportunity to serve fellow students through tutoring. Tutors must have an overall GPA of 3.0 or higher.",,"EE- Service Learning.","May be repeated for credit. 6 total credits. 2 total completions.","Pass/Fail.
"
EDUC 390,"  Special Topics in Education",3,"
This course provides students the opportunity for intensive exploration and discussion of selected topics in education.",,,"May be repeated for credit; may be repeated in the same term for different topics.","Letter grade.
"
EDUC 400,"  Autism in Our Communities: An Interdisciplinary Perspective",3,"
Students have 30 hours of service-learning with individuals with autism at community partner sites. Class discussions introduce students to diverse topics related to autism spectrum disorder. This is an APPLES course.",,"EE- Service Learning.",,"Letter gradeSame as: SPHS 400.
"
EDUC 401,"  Introduction to Early Childhood Development: Birth to Eight",3,"
This course examines the field of child development as it contributes to the teaching and learning of children in early childhood and elementary educational settings, ages birth to eight.",,,,"Letter grade.
"
EDUC 402,"  Models of Early Childhood Service Delivery",3,"
This seminar serves as an introduction to the field of child development and early childhood education and special education. Students learn about the primary professional disciplines and agencies serving young children and their families. Current policy, recommended practices, and research innovations are reviewed.",,,,"Letter grade.
"
EDUC 403,"  Families and Communities in Diverse Contexts for Children",3,"
This course examines issues of diversity among and across families, in order to better prepare students for human service fields in a variety of settings such as clinics, schools, advocacy, and other organizations.",,,,"Letter grade.
"
