code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
ENEC 51,"  First-Year Seminar: Balancing the Environment: Science, Human Values, and Policy in North Carolina",3,"
This course examines the ways in which scientific information, human values, and the policy process interact to produce environmental change, economic growth, and social justice in North Carolina.",,"SS.",,"Letter grade.
"
ENEC 89,"  First Year Seminar: Special Topics",3,"
Special topics course.  Content will vary each semester.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
ENEC 101,"  Global  Environmental Change",3,"
Interdisciplinary course exploring the intersection between the natural world and society. Students will learn about how natural systems work, the ecosystem services they provide to societies, how global change has impacted these services on local and global scales, and how science is used to find solutions to these problems and inform environmental policy.",,,,"Letter grade.
"
ENEC 108,"  Our Energy and Climate Crises: Challenges and Opportunities",4,"
Students quantify global depletion of energy resources and accompanying environmental degradation, hence discovering the profound changes in attitudes and behavior required to adjust to diminished fossil fuels and modified climate.",,"PL, GL.",,"Letter gradeSame as: PWAD 108.
"
ENEC 191,"  Peoples of Siberia",3,"
Comparative study of the cultural and biological diversity of peoples of Siberia from prehistoric through contemporary times. Course topics include the biological diversity, culture, behavior, and history of Siberian populations.",,,,"Letter gradeSame as: ANTH 191.
"
ENEC 201,"  Introduction to Environment and Society",4,"
Human-environment interactions are examined through analytical methods from the social sciences, humanities, and sciences. The focus is on the role of social, political, and economic factors in controlling interactions between society and the environment in historical and cultural contexts. Three lecture hours and one recitation hour a week. Honors version available",,"SS, GL.",,"Letter grade.
"
ENEC 202,"  Introduction to the Environmental Sciences",4,"
Examines fundamental processes governing the movement and transformation of material and energy in environmental systems. Focuses on the role of these processes in environmental phenomena and how society perturbs these processes. Integrates methods from a range of scientific disciplines. Three lecture hours and three computer laboratory hours a week.",,"PX.",,"Letter grade.
"
ENEC 203,"  Introduction to Environmental Science Problem Solving",3,"
 A quantitative introduction to selected topics in environmental sciences with an emphasis on developing and solidifying problem-solving skills.","Prerequisite, MATH 231; corequisite, MATH 232.",,,"Letter grade.
"
ENEC 204,"  Environmental Seminar",13,"
This course will provide an intellectual focus on the interface between environment and society by examining the relationship among science, policy, and actual management practices on a chosen topic.",,,,"Letter grade.
"
ENEC 208,"  New Frontiers: Environment and Society in the United States",34,"
By employing a multidisciplinary approach, this class will give students a sense of the role that the environment has played in shaping United States society and the role that our society plays in producing environmental change at the national and global level. Honors version available",,,,"Letter grade.
"
ENEC 210,"  Energy in a Sustainable Environment Seminar",1,"
This seminar series will provide a general introduction to energy sources, resources, technologies, and societal use from a sustainability perspective.",,,,"Letter grade.
"
ENEC 220,"  North Carolina Estuaries: Environmental Processes and Problems",3,"
Natural processes and human impacts on estuarine systems using the Neuse River estuary as a case study. Course includes one week of intensive field work based at the Institute of Marine Sciences. A student may not receive credit for this course after receiving credit for ENEC 222.",,"PX, EE- Field Work.",,"Letter gradeSame as: MASC 220.
"
ENEC 222,"  Estuarine and Coastal Marine Science",4,"
 Introduction to the estuarine and coastal environment: geomorphology, physical circulation, nutrient loading, primary and secondary production, carbon and nitrogen cycling, benthic processes, and sedimentation. Consideration given to human impact on coastal systems with emphasis on North Carolina estuaries and sounds. Includes a mandatory weekend field trip and laboratory.","Prerequisites, MATH 231 and either CHEM 101 or PHYS 114.","PL, QI.",,"Letter grade.
"
ENEC 237,"  Food, Environment, and Sustainability",3,"
Explores the nexus of agricultural, ecological, and food systems as they dynamically interact. The class examines case studies from North Carolina and other parts of the world. Themes include nutrition, food security, agroecology, and sustainable livelihoods. Students engage in readings, class projects, and hands-on activities in a laboratory setting.",,,,"Letter gradeSame as: ANTH 237.
"
ENEC 238,"  Human Ecology of Africa",3,"
Course examines human adaptations to environments across Africa. Focuses on livelihood systems such as farming, herding and hunting/gathering.",,,,"Letter gradeSame as: ANTH 238.
"
ENEC 241,"  Energy and Culture Seminar for the Thailand Field Site",1,"
This one credit hour course meets the semester before UNC students go to study abroad at the Institute for the Environment Thailand Field Site. The course will prepare students for the research portion of the program. Student should be applying to the field site when taking this course.",,,,"Letter grade.
"
