code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
ENGL 50,"  First-Year Seminar: Multimedia North Carolina",3,"
Each student will complete a service-learning internship and compose a multimedia documentary about the experience using original text, photos, audio, and video.",,"VP, CI, EE- Service Learning.",,"Letter grade.
"
ENGL 52,"  First-Year Seminar: Computers and English Studies",3,"
How do computers change the study of literature? How do images tell stories? How is writing evolving through photo essays, collages, and digital video? Students investigate these and related questions. Honors version available",,"LA, CI.",,"Letter grade.
"
ENGL 53,"  First-Year Seminar: Slavery and Freedom in African American Literature and Film",3,"
The seminar's purpose is to explore the African American slave narrative tradition from its 19th-century origins in autobiography to its present manifestations in prize-winning fiction and film.",,"LA, US.",,"Letter grade.
"
ENGL 54,"  First-Year Seminar: The War to End All Wars? The First World War and the Modern World",3,"
Examination of literary and cinematic works that expose the cultural impact World War I had on contemporary and future generations. Honors version available",,"LA, GL, NA.",,"Letter grade.
"
ENGL 55,"  First-Year Seminar: Reading and Writing Women's Lives",3,"
This first-year seminar emphasizes contemporary autobiographical writing by and about women.  Students investigate questions of self and identity by reading and writing four genres of life writing: autobiography, autoethnography, biography, and personal essay. Both traditional written and new media composing formats will be practiced.  Students may not receive credit for both ENGL 55H and ENGL 134H. Honors version available",,"LA, CI, EE- Mentored Research.",,"Letter grade.
"
ENGL 57,"  First-Year Seminar: Future Perfect: Science Fictions and Social Form",3,"
This class will investigate the forms and cultural functions of science fiction using films, books, and computer-based fictional spaces (Internet, video games, etc). Honors version available",,"LA.",,"Letter grade.
"
ENGL 58,"  First-Year Seminar: The Doubled Image: Photography in U",,"
Course will examine the aesthetic and cultural functions and implications of textual images of photography and photographs in United States Latina/o short stories from the 1960s to the present. Honors version available",,"VP, NA, US.",,"Letter grade.
"
ENGL 59,"  First-Year Seminar: Black Masculinity and Femininity",3,"
This first year seminar will use literature, film, and popular culture to explore different expressions of masculinity and femininity in the African American and Black diasporic context.  Students will evaluate how artists use gender and sexuality for social critique and artistic innovation.",,"LA, CI, US.",,"Letter grade.
"
ENGL 63,"  First-Year Seminar: Banned Books",3,"
This course will focus on issues of intellectual freedom and censorship, with particular attention to the ways in which these issues are racialized. Why do people ban books? What makes a book "scandalous" or "immoral"? Honors version available",,"LA, US.",,"Letter grade.
"
ENGL 66,"  First-Year Seminar: Blake 2",0,"
William Blake, the visionary poet, artist, and printmaker of the British Romantic period, has had enormous influence on modern art and popular culture. Using the Blake Archive, a hypertext of Blake's poetry and art, we will study key Blake works as well as the digital medium that enables us to study these works in new ways and performances and adaptations of them.",,"LA, NA.",,"Letter grade.
"
ENGL 69,"  First-Year Seminar: Entrepreneurial on the Web",3,"
This course explores trends in online communication, emphasizing composition for the Web. The study of these writing activities is linked with a focus on innovation and on entrepreneurship.",,"LA, CI.",,"Letter grade.
"
ENGL 70,"  First-Year Seminar: Courtly Love, Then and Now",3,"
This course examines the medieval concept of courtly love, or fin amour in a range of classical, medieval, and early modern texts. Questions that it might consider include the following: How does courtly love differ from modern visions of ideal love? Why is courtly love so often adulterous? And what is the relation of sex to love, in both the present and in the past?",,"LA, NA.",,"Letter grade.
"
ENGL 71,"  First-Year Seminar: Doctors and Patients",3,"
This course explores the human struggle to make sense of suffering and debility. Texts are drawn from literature, anthropology, film, art history, philosophy, and biology. Honors version available",,"LA.",,"Letter grade.
"
ENGL 72,"  First-Year Seminar: Literature of 9/11",3,"
This first-year seminar will introduce students to college-level critical analysis, writing, and oral communication by exploring representations of the 9/11 attacks and the "war on terrorism" in literature and popular culture.",,"LA, CI, GL.",,"Letter grade.
"
ENGL 73,"  First-Year Seminar: Literature of War from World War I to the 21st Century",3,"
This is a course about literature and war and what they might teach us about each other.  Our work will be oriented around one central question:  what, if anything, can a work of art help us see or understand about war that cannot be shown by other means? Students may not receive credit for both ENGL 73 and ENGL 161.",,"LA, CI.",,"Letter grade.
"
ENGL 74,"  First-Year Seminar: Epic/Anti-Epic in Western Literature",3,"
In this course, students will study epic and anti-epic strains in Western literature, reading key texts in the epic tradition from Homer and Virgil through the 20th century in light of various challenges to that tradition and tensions within it.",,"LA, NA, WB.",,"Letter grade.
"
ENGL 75,"  First-Year Seminar: Interpreting the South from Manuscripts",3,"
The aim of the course is to give beginning university students the requisite research skills to allow them to appreciate and to contribute to an understanding of the past by directly experiencing and interpreting records from the past. Students will actually get to work with historical documents, some more than 200 years old.",,"HS, CI, EE- Mentored Research.",,"Letter grade.
"
ENGL 76H,"  First-Year Seminar: Biography: People and Places, Chapel Hill",3,"
This seminar focuses on biography, specifically on persons and places in Chapel Hill. Students will engage in basic research to create a final project around a person or place of their choice from any field or profession. Students will design and produce the biography in any format, from print to digital.",,"LA, CI, EE- Mentored Research.",,"Letter grade.
"
ENGL 79,"  First-Year Seminar: Globalization/Global Asians",3,"
This course will explore the concept of globalization by focusing on the Asian diaspora, particularly the artistic and cultural productions that document, represent, and express Global Asians.",,"CI, GL.",,"Letter grade.
"
ENGL 81,"  First-Year Seminar: Jane Eyre and Its Afterlives",3,"
Class members will reflect upon Brontë's Jane Eyre (1847) in its original contexts and study subsequent novels and films that engage with it. What makes a literary work a "classic"? How do later readers' concerns affect their responses?  Lovers of Jane Eyre are welcome, as are newcomers and skeptics.",,"LA, CI, NA.",,"Letter grade.
"
ENGL 85,"  First-Year Seminar: Economic Saints and Villains",3,"
Our objective throughout will be to analyze how literary art simultaneously demonizes and celebrates the "miracle of the marketplace" and those financial pioneers that perform its magic. Honors version available",,"LA, CI, WB.",,"Letter grade.
"
ENGL 86,"  First-Year Seminar: The Cities of Modernism",3,"
This course is a cross-cultural and intermedial exploration of the imagery of the Great City in high modernist works of literature, art, and film.",,"LA, CI.",,"Letter grade.
"
ENGL 87,"  First-Year Seminar: Jane Austen, Then and Now",3,"
This course focuses on the fiction of Jane Austen and its representations in film. Honors version available",,"VP.",,"Letter grade.
"
ENGL 88,"  First Year Seminar:  The Legacy of the Japanese American Internment: from WWII to 9/11",3,"
This course will explore stories about the Japanese American internment from first person memoirs to contemporary fiction. We will also examine the ramifications, historic and legal, of the internment post-9/11.",,"LA, US.",,"Letter grade.
"
ENGL 89,"  First-Year Seminar: Special Topics",3,"
Content varies by semester. Honors version available",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
ENGL 100,"  Basic Writing",3,"
Required for incoming students with SAT Evidence-Based Reading and Writing or ACT scores below a threshold set by the department. Please visit the department Web site for the most updated scores. The courses focuses on academic writing in a variety of contexts. Workshop format involves frequent writing and revision.",,"CR.",,"Letter grade.
"
ENGL 105,"  English Composition and Rhetoric",3,"
This college-level course focuses on written and oral argumentation, composition, research, information literacy, and rhetorical analysis. The course introduces students to the specific disciplinary contexts for written work and oral presentations required in college courses. Students may not receive credit for both ENGL 102 and ENGL 102I, 105, or 105I.",,"CR.",,"Letter grade.
"
ENGL 105I,"  English Composition and Rhetoric (Interdisciplinary)",3,"
This college-level course focuses on written and oral argumentation, composition, research, information literacy, and rhetorical analysis. The course introduces students to one specific disciplinary context for written work and oral presentations required in college courses: natural sciences, social sciences, humanities, law, business, or medicine. Students may not receive credit for both ENGL 105 and ENGL 102, 102I, or 105I.",,"CR.",,"Letter grade.
"
ENGL 115,"  History of the English Language",3,"
A study of the development of English from its Proto-Indo-European origins to modern English, with emphasis on how events and contacts with other languages influenced the vocabulary of English. Course previously offered as ENGL 314.",,"HS, WB.",,"Letter grade.
"
