code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
ENVR 89,"  First-Year Seminar: Special Topics",3,"
Special topics course. Content will vary each semester.",,,,"Letter grade.
"
ENVR 190,"  Selected Topics in Undergraduate Studies",13,"
Permission of the instructor. Current topics of interest in environmental science and their application to understanding environmental issues are directed towards undergraduates. Topics and instructors will change. One to three lecture hours per week.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
ENVR 205,"  Engineering Tools for Environmental Problem Solving",3,"
 Introduction to mass, energy, and momentum transport applied to environmental problem solving. Students ask and answer policy-oriented questions (define systems, document assumptions, explain the value and limitations of quantitative answers).  They will apply these tools to the design of engineered solutions and characterization of natural and perturbed systems.","Prerequisite, MATH 231.","PL, CI, QI.",,"Letter grade.
"
ENVR 230,"  Environmental Health Issues",3,"
Examines key events that have shaped our understanding of the impacts of environmental agents on human health and uses them to introduce basic concepts in environmental health.",,,,"Letter grade.
"
ENVR 240,"  Undergraduate Research Opportunities Program (UROP) Training",1,"
The purpose of this course is to provide structured research training among undergraduate students participating in the Undergraduate Research Opportunities Program (UROP). Formal acceptance into Undergraduate Research Opportunities Program (UROP) required.",,,,"Letter grade.
"
ENVR 295,"  Undergraduate Research",3,"
Directed readings or laboratory study. Written reports are required. May be taken more than once for credit. Six to nine hours per week.",,,"May be repeated for credit. 6 total credits. 2 total completions.","Letter grade.
"
ENVR 296,"  Readings in Environmental Sciences and Engineering",19,"
",,,,
ENVR 400,"  Seminar Series",1,"
Presents the results of ongoing research projects in the Department of Environmental Sciences and Engineering. Topics and presenters are selected from among the departmental graduate students and faculty.",,,,"Letter grade.
"
ENVR 403,"  Environmental Chemistry Processes",3,"
Required preparation, a background in chemistry and mathematics, including ordinary differential equations. Chemical processes occurring in natural and engineered systems: chemical cycles; transport and transformation processes of chemicals in air, water, and multimedia environments; chemical dynamics; thermodynamics; structure/activity relationships.",,,,"Letter gradeSame as: ENEC 403.
"
ENVR 404,"  Life Cycle Assessment: Energy and the Environment",3,"
A systems approach to dealing with environmental pollution problems is highlighted and Life Cycle Assessment (LCA) is introduced as an assessment tool. Topics include basic environmental interactions; biogeochemical cycles and environmental impacts  (global, regional, and local); and application of LCA to waste management and energy conversion systems; are addressed.",,,,"Letter grade.
"
ENVR 411,"  Laboratory Techniques and Field Measurements",3,"
Students learn laboratory, field, and analytical skills. Provides a solid introduction to experimental research in environmental sciences and engineering. Students are provided with applications in limnology, aquatic chemistry, and industrial hygiene.",,,,"Letter grade.
"
ENVR 412,"  Ecological Microbiology",3,"
Required preparation, one course in general microbiology. A description of microbial populations and communities, the environmental processes they influence, and how they can be controlled to the benefit of humankind.",,,,"Letter grade.
"
ENVR 413,"  Limnology",3,"
Required preparation, introductory biology, chemistry, and physics. Basic aspects of freshwater ecosystem function. Emphasis on trophic-level interactions and integration of physical, chemical, and biological principles for a holistic view of lake ecosystem dynamics.",,,,"Letter grade.
"
ENVR 416,"  Aerosol Physics and Chemistry",4,"
Permission of the instructor for nonmajors. Physical and chemical principles underlying behavior of particles suspended in air. Topics include rectilinear and curvilinear motion of the particles in a force field, diffusion, evaporation, and condensation, electrical and optical properties, and particle coagulation. Three lecture hours a week and two laboratory sessions.",,,,"Letter grade.
"
ENVR 417,"  Oceanography",3,"
Required preparation, major in a natural science or two courses in natural sciences. Studies origin of ocean basins, seawater chemistry and dynamics, biological communities, sedimentary record, and oceanographic history. Term paper. Students lacking science background should see MASC 101. Students may not receive credit for both MASC 101 and MASC 401.",,,,"Letter gradeSame as: MASC 401, BIOL 350, GEOL 403.
"
ENVR 419,"  Chemical Equilibria in Natural Waters",3,"
Principles and applications of chemical equilibria to natural waters. Acid-base, solubility, complex formation, and redox reactions are discussed. This course uses a problem-solving approach to illustrate chemical speciation and environmental implications. Three lecture hours per week.",,,,"Letter grade.
"
ENVR 421,"  Environmental Health Microbiology",3,"
Required preparation, introductory course in microbiology or permission of the instructor. Presentation of the microbes of public health importance in water, food, and air, including their detection, occurrence, transport, and survival in the environment; epidemiology and risks from environmental exposure. Two lecture and two laboratory hours per week.",,,,"Letter grade.
"
ENVR 423,"  Industrial Toxicology",3,"
Toxicological assessment of and a case presentation of related exposure is given. A conceptual approach is utilized to design appropriate programs to prevent worker ill health due to toxicant exposure",,,,"Letter grade.
"
ENVR 425,"  Introduction to Health Physics: Radiation and Radiation Protection",3,"
This course concentrates on fundamentals of radiation and protection, including types of radiation, radioactive decay, interaction with matter, biological effects, detection and measurement, protection methods/techniques, external and internal dose, etc. Lectures include hazards in categories of environmental radiation, nuclear energy, medical applications, industrial uses, etc.",,,,"Letter grade.
"
ENVR 430,"  Health Effects of Environmental Agents",3,"
Required preparation, basic biology, chemistry through organic, calculus. Permission of the instructor for students lacking this preparation. Interactions of environmental agents (chemicals, infectious organisms, radiation) with biological systems including humans, with attention to routes of entry, distribution, metabolism, elimination, and mechanisms of adverse effects. Three lecture hours per week.",,,,"Letter grade.
"
