code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
EPID 600,"  Principles of Epidemiology for Public Health",3,"
An introductory course that considers the meaning, scope, and applications of epidemiology to public health practice and the uses of vital statistics data in the scientific appraisal of community health. One lecture and two lab hours per week.",,,,"Letter grade.
"
EPID 625,"  Injury as a Public Health Problem",3,"
 This course examines unintentional injuries from a public health perspective. The course covers core concepts in injury prevention and control, including the epidemiology of unintentional injury, prevention strategies, behavioral models, child and adolescent injury, messaging framing, the Haddon matrix, and injury surveillance.","Corequisite, EPID 600.",,,"Letter gradeSame as: MHCH 625, HBEH 625.
"
EPID 626,"  Violence as a Public Health Problem",3,"
 This course covers core concepts in violence prevention and control, including the epidemiology of violence, prevention strategies for inter-personal and intra-personal violence, behavioral models that describe power structures that reinforce personal and societal factors affecting self-harm and violence towards others, and violence directed towards children and adolescents.","Prerequisite, EPID 625.",,,"Letter gradeSame as: MHCH 626, HBEH 626.
"
EPID 695,"  Research in Epidemiology",13,"
Permission of the instructor. A course for undergraduate students who wish to conduct research as part of an ongoing epidemiology project or as an independent activity.",,,"May be repeated for credit; may be repeated in the same term for different topics; 3 total credits. 3 total completions.","Letter grade.
"
EPID 696,"  Problems in Epidemiology",13,"
A course for undergraduate students who wish to make an intensive study of some special problems in epidemiology.",,,"May be repeated for credit; may be repeated in the same term for different topics; 3 total credits. 3 total completions.","Letter grade.
"
EPID 700,"  SAS and Data Management",3,"
An introduction to statistical analysis, programming, and data management, using the SAS programming language. Two lecture hours and two lab hours per week.",,,,"Letter grade.
"
EPID 701,"  R for Epidemiologists",3,"
This course is intended to be the most effective and efficient way for UNC Epidemiology students to establish a foundation in the R programming language, RStudio IDE, and functional programming modalities. Special attention is given to R topics and packages relevant for epidemiological data management, analysis, and visualization.",,,,"Letter grade.
"
EPID 705,"  Introduction to Deductive and Probability Logic in Epidemiology",2,"
Permission of the instructor for nonmajors. Covers properties of logical relations, truth tables and Euler diagrams, valid and fallacious arguments, cognitive heuristics and biases, interpretations of probability, the probability calculus, Bayes' theorem, binomial and normal distributions, applications of probability logic and probabilistic fallacies, all in an epidemiologic context.",,,,"Letter grade.
"
EPID 710,"  Fundamentals of Epidemiology",5,"
 Permission required for nonmajors. An intensive introduction to epidemiological concepts and methods for students intending to engage in, collaborate in, or interpret the results of epidemiologic studies. Some familiarity with biomedical concepts may be needed. An alternate to EPID 600 for satisfying the SPH core requirements. Three lecture and two seminar hours a week.","Corequisite, BIOS 600.",,"May be repeated for credit; may be repeated in the same term for different topics.","Letter grade.
"
EPID 711,"  Clinical Measurement and Evaluation",3,"
Focuses on work, workplace exposures and hazards, and their effect on health. Interdisciplinary approaches to risk identification, reduction, and communication will be emphasized within regulatory and ethical contexts.",,,,"Letter gradeSame as: PUBH 760.
"
EPID 715,"  Theory and Quantitative Methods in Epidemiology",4,"
 Required preparation, competence in SAS. An in-depth treatment of basic concepts and skills in epidemiologic research, including problem conceptualization, study design, research conduct, data analysis, and interpretation. Four lecture hours per week.","Prerequisites, EPID 705, EPID 710 or 711; Corequisite, BIOS 545; Permission of the instructor required for nonmajors.",,"May be repeated for credit; may be repeated in the same term for different topics.","Letter grade.
"
EPID 716,"  Epidemiologic Data Analysis",3,"
  Required preparation, documented SAS proficiency. This course is a combined lecture/lab format where students get hands-on experience in the analysis and interpretation of data from cohort and case-control studies. Students may take the SAS exemption exam in lieu of taking EPID 700 or BIOS 511.","Prerequisite, EPID 710, EPID 711, or SPHG 712. Pre- or corequisite, EPID 700 or BIOS 511.",,,"Letter grade.
"
EPID 718,"  Analytic Methods in Observational Epidemiology",3,"
 Required preparation, demonstrated experience with computer-based data analysis. Concepts and applications, including logistic regression, binomial regression, model building strategy, additive and multiplicative interaction, and graphical exploration. Includes computer-based experience with real data. Two lecture and one lab hours per week.","Prerequisites, EPID 715 and EPID 716; Permission of the instructor for nonmajors.",,,"Letter grade.
"
EPID 719,"  Readings in Epidemiologic Methods",1,"
A discussion in journal-club format of readings in general epidemiologic methods, from problem conceptualization to application of results.",,,"May be repeated for credit; may be repeated in the same term for different topics.","Letter grade.
"
EPID 722,"  Advanced Epidemiologic Methods",3,"
 Permission required for non-majors. Required preparation, SAS software expertise. Course covers epidemiologic analysis of time-to-event data and emphasizes weighing threats to the accuracy of inferences. Class time is spent discussing weekly readings and homeworks.","Prerequisite, EPID 718.",,,"Letter grade.
"
EPID 725,"  Research Planning Workshop",1,"
 This course is designed to guide students through the initial stage of formulating an epidemiologic research topic and plan, leading towards the development of a full research proposal.Open only EPID majors in 2nd year (or greater) of the PhD program or 3rd year (or greater) of the MSPH/PhD program.","Prerequisite, EPID 715 and 716; corequisite, EPID 718.",,"May be repeated for credit. ","Letter grade.
"
EPID 726,"  Epidemiologic Research Methods",3,"
 Minimum second-year standing in doctoral (with permission of the instructor) or MSCR program. A course in the design and conduct of epidemiologic research. Each student will comprehensively address the conceptual and practical aspects of developing a high-quality, detailed research proposal. EPID PhD or MSCR majors only.","Prerequisite, EPID 715 or EPID 804.",,,"Letter grade.
"
EPID 731,"  Systematic Review and Meta-Analysis",1,"
This seminar provides training in systematic review and meta-analysis. Topics include problem definition, literature search, extraction of results and study characteristics, publication bias and funnel plot analysis, analysis overall heterogeneity, and stratified and meta-regression analysis of study and population characteristics.",,,,"Letter grade.
"
EPID 733,"  Clinical Trials in Epidemiology",3,"
Required preparation, introductory epidemiology and biostatistics. Systematic overview of principles in design, implementation, and analysis of clinical trials. Emphasis on applications in chronic disease epidemiology. In-depth discussion of case examples from cardiovascular disease epidemiology emphasized. Three lecture hours a week.",,,,"Letter grade.
"
EPID 735,"  Cardiovascular Epidemiology",3,"
Review of cardiovascular health and disease in populations and their population determinants. Topics include epidemiologic methods, risk factors, strategies for prevention, and a student research project. Three lecture hours per week",,,,"Letter grade.
"
EPID 738A,"  Methods and Applications of Cardiovascular Disease Surveillance",1,"
 This course helps students gain experience critiquing and interpreting national and international cardiovascular disease (CVD) surveillance programs, evaluate recommendations for future CVD surveillance research and policy, and to explore CVD surveillance data sources with hands-on experience with practical aspects of study conduct.","Prerequisite, EPID 735.",,,"Letter grade.
"
EPID 738B,"  Epidemiology of Stroke",1,"
 This course helps students become familiar with physiologic and pathologic aspects of cerebrovascular diseases, provides opportunity to explore research findings regarding major risk factors for stroke and evidence for prevention strategies, and offers a guided experience in critiquing, synthesizing, and communicating stroke related research findings.","Prerequisite, EPID 735.",,,"Letter grade.
"
EPID 738C,"  Contemporary Issues in Hypertension Research",1,"
 In this seminar, we examine several contemporary issues related to hypertension research, particularly pertaining to measurement of blood pressure. Each session will begin with an overview, likely didactic, followed by more in-depth discussion of the topics.","Prerequisite, EPID 735.",,,"Letter grade.
"
EPID 742,"  Biomarkers in Population-Based Research",2,"
This course surveys the major issues relevant to the application of biomarkers in epidemiological research, including the logistical hurdles in biospecimen collection and storage, assessments of biomarker quality, analytic issues, and the interpretation of quantitative estimates.",,,,"Letter grade.
"
EPID 743,"  Genetic Epidemiology: Methods and Applications",3,"
 Concepts and methods of genetic epidemiology relevant to the study of complex human diseases, including segregation analysis, linkage analysis, and gene-environment interaction. Includes whole genome approaches, as well as nonhuman systems. Three lecture hours a week.","Prerequisites, BIOS 545 and EPID 715; permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
EPID 750,"  Fundamentals of Public Health Surveillance",3,"
This course provides the conceptual foundations and practical skills for designing and implementing surveillance systems, for using surveillance data for the conduct and evaluation of public health programs and research.",,,,"Letter grade.
"
EPID 751,"  Emerging and Re-Emerging Infectious Diseases",3,"
Basic principles of infectious diseases, focusing on emerging and re-emerging disease agents that affect public health. Includes an introduction to the biology of viruses, bacteria, and eukaryotic parasites.",,,,"Letter grade.
"
EPID 753,"  Prevention and Control of Infectious Diseases at the Level of the Community",3,"
Primary focus at county/state level; surveillance/control of acute infectious diseases; public health vs. individual rights. Bridging epidemiological concepts with community activities and real world health department issues. Three lecture hours per week.",,,,"Letter grade.
"
EPID 754,"  Advanced Methods in Infectious Disease Epidemiology",3,"
 This course covers theories, concepts, study designs, and analytical methods of particular importance in studying infectious outcomes. Teaching methods include lectures, hands-on computer practicals, article discussions, and written assignments.","Prerequisites, EPID 715 and 716.",,,"Letter grade.
"
EPID 755,"  Introduction to Infectious Disease Epidemiology",3,"
Permission required for non-majors. This course will cover concepts, theory, study designs, and analytical methods of particular importance in infectious disease epidemiology.  Most topics will be introduced with a didactic lecture and readings, followed by an in-class exercise, discussion, or computer practical applying relevant theories, concepts, and methods to specific questions in infectious disease epidemiology.",,,,"Letter grade.
"
EPID 756,"  Control of Infectious Diseases in Developing Countries",3,"
 Epidemiology and control of selected infectious diseases prevalent in developing countries. Course involves lectures, critical discussions of published articles, and a final group project. Three lecture hours per week.","Prerequisite, EPID 600.",,,"Letter grade.
"
EPID 757,"  Epidemiology of HIV/AIDS in Developing Countries",3,"
 This course examines the epidemiology of AIDS from an international perspective. It considers the AIDS pandemic in a broad epidemiologic perspective, including key aspects of basic, clinical, and social science. Three lecture hours per week.","Prerequisite, EPID 600.",,,"Letter grade.
"
EPID 758,"  Methods and Principles of Applied Infectious Disease Epidemiology",3,"
  This course will cover the interaction between an infectious agent, host, and environment; modes and dynamics of transmission; the role of immunity in infectious disease epidemiology; and disease elimination strategies.  Three lecture hours per week.","Prerequisite, EPID 600.",,,"Letter grade.
"
EPID 759,"  Methods in Field Epidemiology",3,"
Course will focus on epidemiological methods required to investigate urgent public health problems. Course covers the skills and tools needed to conduct outbreak investigations and communicate findings to the public. Three lecture hours per week.",,,,"Letter grade.
"
EPID 760,"  Vaccine Epidemiology",3,"
An overview of vaccinology principles, mechanisms of action, and herd protection, and statistical considerations. Students will obtain understanding of how vaccines are produced by industry, undergo preclinical evaluation, and evaluated for efficacy in clinical trials.",,,,"Letter grade.
"
EPID 764,"  Hospital Epidemiology",12,"
 Comprehensive seminar in hospital infection control. Topics include issues in employee health, surveillance, outbreak investigation, environmental sampling, and policy formation. May be repeated for credit. Two to four seminar hours.","Prerequisite, EPID 710; Permission of the instructor required.",,,"Letter grade.
"
EPID 765,"  Methods and Issues in Pharmacoepidemiology",3,"
Required preparation, introductory-level epidemiology and biostatistics. Application of the epidemiologic knowledge, methodology, and reasoning to the study of the effects (beneficial and adverse) and uses of drugs in human populations.",,,,"Letter grade.
"
EPID 766,"  Epidemiologic Research with Healthcare Databases",3,"
 Required preparation, competency in data management with SAS (BIOS 511, EPID 700, or equivalent). Learn how healthcare utilization data are generated and use databases to identify study populations and conduct epidemiologic analysis of the utilization and comparative effectiveness/safety of prescription drugs and healthcare services.","Prerequisite, EPID 710 OR EPID 600 (or equivalent); Demonstrated SAS competency.",,,"Letter gradeSame as: DPOP 766.
"
EPID 770,"  Cancer Epidemiology and Pathogenesis",3,"
 Equivalent experience for students lacking EPID 710. Undergraduate major or strong preparation in the biological sciences required. Permission of the instructor for nonmajors. Emphasis on integration of epidemiologic data with laboratory and clinical research findings. Issues in epidemiologic research design, analysis, and interpretation are presented within the context of substantive epidemiology. Three lecture hours a week.","Prerequisites, BIOS 600 and EPID 710.",,,"Letter grade.
"
EPID 771,"  Cancer Epidemiology: Survivorship and Outcomes",3,"
 Students will evaluate the strengths and weaknesses of data sources common to cancer survivorship and outcomes studies, focusing on epidemiologic study designs. The course addresses cancer detection, treatment strategies, medical surveillance, and personal behaviors as determinants for prognosis, late effects, and the long-term health of cancer survivors.","Prerequisite, EPID 710 or 711.",,,"Letter grade.
"
EPID 772,"  Cancer Prevention and Control Seminar",3,"
An interdisciplinary overview of cancer prevention and control. Emphasis on projects and activities from perspectives of epidemiology, health behavior and education, and health policy and management. Appropriate research design and methodologies are covered.",,,,"Letter gradeSame as: HPM 765, HBEH 765.
"
EPID 775,"  Advanced Cancer Epidemiology: Classic and Contemporary Controversies in Cancer Causation",2,"
 Readings and discussions on classic and contemporary controversies in cancer. Two seminar hours per week.","Prerequisites, EPID 715, 718, and 770 or 771; Permission of the instructor for students lacking the prerequisites.",,"May be repeated for credit. ","Letter grade.
"
EPID 780,"  Occupational Epidemiology",3,"
Required preparation, introductory epidemiology and biostatistics. This course provides a background in the epidemiology of work-related illness and injury and the application of epidemiologic concepts and methods in protecting workers' health and safety.",,,,"Letter grade.
"
EPID 785,"  Environmental Epidemiology",3,"
 Epidemiologic ideas and methods applied to evaluation and control of human health consequences of environmental hazards. Pollution of environmental media and global change are considered from a human-ecological perspective, with local and international examples. Three lecture hours per week.","Prerequisites, EPID 710 and BIOS 600.",,,"Letter grade.
"
EPID 786,"  Community-Driven Epidemiology and Environmental Justice",2,"
Principles for conducting research within communities unduly burdened by environmental health threats are presented. Topics include research ethics, community presentations, study design and implementation, and student research projects.",,,,"Letter grade.
"
EPID 787,"  Advanced Environmental Epidemiology",2,"
Discussion of the epidemiology of environmentally-related disease and the application of epidemiologic concepts/methods to protecting public health from environmental hazards. Examples illustrate discussions regarding exposure assessment, dynamic nature of environments, regulation/assessment of environmental hazards, and methods used for environmental hazard identification and risk assessments.",,,,"Letter grade.
"
EPID 790,"  Intervention Epidemiology",2,"
 Epidemiologic methods for evaluating interventions, primarily in infectious disease epidemiology and injury epidemiology.  Covers randomized designs, such as community trials, and evaluation of non-randomized interventions, such as policies and laws.","Co-requisites, EPID 705 and 710.",,,"Letter grade.
"
EPID 795,"  Data in Public Health",3,"
This course provides students with an overview of public health informatics and includes in-depth discussions on informatics approaches used in developing the public health information systems in use today.",,,,"Letter grade.
"
EPID 799A,"  Special Studies in Epidemiology I",1,"
Experimental course to be offered by faculty to determine the need and demand for the subject. Topics will be chosen by faculty based on current public health issues. One credit option.",,,"May be repeated for credit; may be repeated in the same term for different topics; 3 total credits. 3 total completions.","Letter grade.
"
EPID 799B,"  Special Studies in Epidemiology II",2,"
Experimental course to be offered by faculty to determine the need and demand for the subject. Topics will be chosen by faculty based on current public health issues. Two credits option.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 3 total completions.","Letter grade.
"
EPID 799C,"  Special Studies in Epidemiology III",3,"
Experimental course to be offered by faculty to determine the need and demand for the subject. Topics will be chosen by faculty based on current public health issues. Three credits option.",,,"May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 3 total completions.","Letter grade.
"
EPID 801,"  Data Analysis in Oral Epidemiology",23,"
Required preparation, basic knowledge of SAS. Permission of the instructor. Data analysis project in oral epidemiology: data cleanup, file construction, analysis. For three credit hours, student also completes multivariate analysis with linear, logistic regression. Project to result in publishable paper. Two to three seminar hours a week.",,,,"Letter grade.
"
EPID 802,"  Clinical Research Skills I: Basics",2,"
 Includes basic development of research ideas, manuscript writing, manuscript review.","Co-requisite, EPID 711 or PUBH 760.",,,"Letter grade.
"
EPID 804,"  Design of Clinical Research Studies",4,"
 Permission required for nonmajors. Clinical research majors only. The goals of this course are to develop a strong fundamental understanding of the design of clinical research studies; to understand selection of study populations, exposure and outcome measurement, and choice of appropriate measures; to understand ethical oversight, project management and quality control.","Prerequisite, EPID 711, PUBH 741 or equivalent; Corequisite, PUBH 742 or equivalent.",,,"Letter grade.
"
EPID 805,"  Clinical Research Skills III: Proposal Development - Part 1",2,"
 This course will address the process for proposal development for clinicians with an emphasis on the initial stages including development of the research questions, specific aims, and significance.","Co-requisites, EPID 711 and PUBH 741 or permission of instructor.",,,"Letter grade.
"
EPID 806,"  Clinical Research Skills IV -- Proposal Development",2,"
 Proposal writing and study implementation skills. Emphasis is given to NIH style proposals for clinical and translational research.","Prerequisites, EPID 805, EPID 711, PUBH 741; permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
EPID 810,"  Physical Activity Epidemiology and Public Health",3,"
 This course provides an overview of major issues in physical activity measurements, population distribution, correlates, impacts (physically and economically), and public health recommendations. Interventions, including relevant theories, will be reviewed. Three lecture hours per week.","Prerequisite, EPID 600.",,,"Letter gradeSame as: NUTR 810.
"
EPID 813,"  Nutritional Epidemiology",3,"
 This course introduces basic methods of dietary assessment, reviews various topics in nutrition epidemiology, and teaches the skills needed for critical evaluation of the nutritional epidemiologic literature.","Prerequisites, BIOS 600, and EPID 600 or 710.",,,"Letter gradeSame as: NUTR 813.
"
EPID 814,"  Obesity Epidemiology",3,"
 Examines epidemiology research on the causes, consequences, and prevention of obesity. Emphasis on methodological issues pertinent to obesity research.","Prerequisites, BIOS 545, EPID 715, 716 and NUTR 812 or NUTR 813/EPID 813.",,,"Letter gradeSame as: NUTR 814.
"
EPID 818,"  Analytical Methods in Nutritional Epidemiology",3,"
 Skills and techniques to study how dietary exposures, physical activity, and anthropometric status relate to disease outcomes. Focus is hands-on data analysis using STATA, and interpretation of results from statistical analysis.","Prerequisites, BIOS 545, EPID 600 or 710, and NUTR 813.",,,"Letter gradeSame as: NUTR 818.
"
EPID 823,"  Integrating Social and Biological Perspectives on Human Health",3,"
Student will learn key theories and methodological approaches for how social processes, socio-spatial organization, and social inequality are associated with health patterns, changes, and disparities; theories/approaches for studying human health from a biological perspective; and strategies using integrated social and biological research perspectives and address advantages and challenges.",,,,"Letter gradeSame as: SOCI 823.
"
EPID 825,"  Social Determinants of Health: Theory, Method, and Intervention",3,"
 Discussion and readings will focus on population vs. individual perspectives on health, risk conditions vs. risk factors, concepts of causation, and knowledge development as a historic and social process. Course will also examine macro-level determinants of population health.","Prerequisite, EPID 600.",,,"Letter gradeSame as: HBEH 802.
"
EPID 826,"  Introduction to Social Epidemiology",2,"
 This course provides an overview of key concepts, methods and findings in research on social determinants of population health. Classes will consist of a didactic presentation followed by in-class group work modules and large group summary discussion.","Pre- or corequisite, EPID 600.",,,"Letter grade.
"
EPID 827,"  Social Epidemiology: Design and Interpretation",2,"
 Approaches to social epidemiologic research, with a focus on study design and interpretation of analytic techniques common in social epidemiology. Topics include causal inference for socially patterned exposures, racial equity research, and place effects on health.","Prerequisite, EPID 710; corequisite, EPID 715 or 716.",,,"Letter grade.
"
EPID 851,"  Reproductive and Perinatal Epidemiology",3,"
 Epidemiology of reproductive and perinatal health outcomes, including infertility, fetal loss, preterm birth, birthweight, congenital malformations, and infant mortality. Includes current knowledge regarding epidemiology of these outcomes and discussion of methodologic issues. Three lecture hours per week.","Co-requisites, BIOS 600 and EPID 600; Equivalent experience for students lacking the co-requisites.",,,"Letter gradeSame as: MHCH 851.
"
EPID 853,"  Advanced Topics in Perinatal and Pediatric Epidemiology",2,"
 Critical review of current topics in, and methods for, perinatal and pediatric epidemiology.","Prerequisites, EPID 710 and 851; Permission of the instructor for master's level students.",,,"Letter gradeSame as: MHCH 853.
"
EPID 883,"  Teaching Experience in Epidemiology",14,"
Open to EPID majors, second-year or above. Provides epidemiology majors with supervised experience in teaching and course preparation. Students act as assistants in departmental courses. Two to eight seminar hours a week.",,,,"Letter grade.
"
EPID 886,"  Readings in Epidemiology",13,"
Permission of the instructor required. Independent reading and tutorial guidance in special areas of epidemiology.",,,,"Letter grade.
"
EPID 889,"  Topics in Epidemiology Seminar",1,"
 EPID majors only. Topics are chosen to reflect emerging issues in the field, as well as those that meet the interests of the students and faculty in the department.","Prerequisite, EPID 710.",,"May be repeated for credit; may be repeated in the same term for different topics.","Letter grade.
"
EPID 890,"  Seminar for M",,"
A workshop for addressing special topics related to M.S.P.H. program including, but not limited to, research topic development, career planning, and public health ethics.",,,,"Letter grade.
"
EPID 891,"  Epidemiology Doctoral Seminar",2,"
Exposes students to issues and debates in the philosophy of science, the object of knowledge in epidemiology, and the place of epidemiology in public health.",,,,"Letter grade.
"
EPID 892,"  Interdisciplinary Seminar in Health Disparities",1,"
 This seminar will provide an opportunity for students to synthesize knowledge across disciplines and to develop an interdisciplinary approach to addressing their identified health disparities research topic.","Prerequisite, MHCH 756.",,,"Letter grade.
"
EPID 893,"  Pharmacoepidemiology Seminar",1,"
Required preparation, basic knowledge of epidemiology and biostatistics. This is a weekly seminar to explore current problems in pharmacoepidemiology. It supplements the introductory course, EPID 765. May be repeated. Two seminar hours a week.",,,"May be repeated for credit; may be repeated in the same term for different topics.","Letter grade.
"
EPID 894,"  Infectious Disease Seminar",1,"
Required preparation, introductory epidemiology and biostatistics. Detailed review of selected topics in infectious disease epidemiology. May be repeated for credit.",,,"May be repeated for credit; may be repeated in the same term for different topics.","Letter grade.
"
EPID 895,"  Seminar in Oral Epidemiology",1,"
 Explores conceptual and methods issues in conducting epidemiologic investigations of oral conditions, specifically caries, periodontal disease, and oral cancer (topics rotate semesters).","Prerequisite, EPID 710.",,,"Letter grade.
"
EPID 897,"  Advanced Seminar in Cardiovascular Research",13,"
Permission of the instructor. Review of substantive and methodological research in cardiovascular and cerebrovascular diseases. May be repeated for credit. Two to six seminar hours a week.",,,"May be repeated for credit; may be repeated in the same term for different topics.","Letter grade.
"
EPID 900,"  Epidemiology Practice",4,"
Designed to give epidemiology majors a supervised field experience in population health research.",,,"May be repeated for credit. ","Letter grade.
"
EPID 905L,"  Epidemiology Laboratory Practice",0,"
Permission of the instructor. Students work individually with a faculty member on supervised laboratory research and skills development. May be repeated for credit. Two to 18 laboratory hours a week.",,,,"Letter grade.
"
EPID 910,"  Research in Epidemiology",19,"
Permission of the instructor. Independent investigation in consultation with an instructor who must assign or approve the subject of research. Credits vary according to the effort and rigor of the research.",,,"May be repeated for credit; may be repeated in the same term for different topics.","Letter grade.
"
EPID 992,"  Master's (Non-Thesis)",3,"
",,,,
EPID 994,"  Doctoral Research and Dissertation",3,"
",,,,
