code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
EURO 89,"  First-Year Seminar: Special Topics",3,"
Special topics course. Content will vary each semester.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
EURO 159,"  From War to Prosperity: 20th-Century Europe",3,"
A critical overview of 20th-century European history, with particular attention to the constant ethnic, religious, social, economic, and cultural struggles (including Holocaust, Cold War) in various subunits of the old continent.",,"HS, NA.",,"Letter gradeSame as: HIST 159.
"
EURO 190,"  Special Topics Seminar in Contemporary European Studies",13,"
A detailed examination of selected topics in the field of Contemporary European Studies.",,,"May be repeated for credit. 6 total credits. 2 total completions.","Letter grade.
"
EURO 239,"  Introduction to European Government",3,"
A treatment of the political institutions and processes of western European democracies, with special attention to France, Germany, England, and Italy. Honors version available",,"SS, GL, NA.",,"Letter gradeSame as: POLI 239.
"
EURO 252,"  Politics, Society, and Culture in Modern Germany (1871-1945)",3,"
This course explores the history of Modern Germany, by focusing on Imperial Germany, the Weimar Republic and the Third Reich. We will study continuities and changes in politics, society, and culture and examine the lasting impact of World War I, World War II and the Holocaust.",,"HS, NA.",,"Letter gradeSame as: HIST 252.
"
EURO 257,"  Politics, Society, and Culture in Postwar Germany",3,"
The interdisciplinary seminar will explore cultural, historical, and political issues of contemporary Germany and analyze German developments from the postwar period to the present. Readings and discussions in English.",,"HS, NA.",,"Letter gradeSame as: HIST 257, POLI 257.
"
EURO 259,"  Towards Emancipation? Women in Modern Europe",3,"
This course examines and compares the situation of women in politics, the work force, society and family from the French Revolution to the new women's movement in the 1970s with a focus on Britain, France and Germany. One major theme is the history of the struggle for women's emancipation.",,"HS, NA.",,"Letter gradeSame as: HIST 259, WGST 259.
"
EURO 270,"  Religion in Western Europe",3,"
In this course, we will explore various topics related to the past and present status of religion in general, and of certain religions in particular, within three Western European countries: the United Kingdom, France, and Germany. Honors version available",,"HS, NA.",,"Letter gradeSame as: RELI 270.
"
EURO 285,"  Applied Experimental Research: Politics in the US and Europe",3,"
The course familiarizes students with experimental research methods in political science, including laboratory experiments, field experiments, and survey experiments. Students will design and conduct an experimental research project on a research question about US or European politics.",,"SS, QI.",,"Letter gradeSame as: POLI 285.
"
EURO 347,"  Fascist Challenge in Europe, 1918-1945",3,"
The course focus on theories on fascism, national cultures of fascism (e.g. Nazi Germany, Fascist Italy, Hungary) as well as selected topics which are essential to understand the attraction and functioning of fascist movements and regimes since 1918 in Europe (e.g. racism, war, culture, charismatic leadership).",,"HS, NA.",,"Letter gradeSame as: HIST 347.
"
EURO 433,"  Politics of the European Union",3,"
Examines the politics and political economy of institutional change and policy making in the European Union in comparative perspective. Honors version available",,"SS, GL, NA.",,"Letter gradeSame as: POLI 433.
"
EURO 438,"  Democracy and International Institutions in an Undivided Europe",3,"
Explores the collapse of communist rule in 1989 and the reaction of international institutions to the challenges of democratization, economic transition, ethnic conflict, and European integration in an undivided Europe.",,"SS, NA.",,"Letter gradeSame as: POLI 438.
"
EURO 442,"  International Political Economy",3,"
 Theories of international political economy, major trends in international economic relations, selected contemporary policy issues.","Prerequisites, ECON 101 and POLI 150.","SS, GL.",,"Letter gradeSame as: POLI 442.
"
EURO 460,"  International Economics",3,"
 An introduction to international trade, the balance of payments, and related issues of foreign economic policy.","Prerequisites, ECON 400 and 410; a grade of C or better in ECON 400 and 410 is required.",,,"Letter gradeSame as: ECON 460, PWAD 460.
"
EURO 486,"  Exploration of Russian "Women's Prose" and Svetlana Alexievich (Nobel Prize in Literature 2015)",3,"
Using Alexievich as our beacon, we will explore the writers behind the term "Russian Women's Prose": Valeria Narbikova, Lyudmila Petrushevskaya, Tatyana Tolstaya, and Lyudmila Ulitskaya. The course will delve into gender identity and body politics as they manifest themselves in the literary texts of lasting aesthetic quality and social relevance. Taught in English; some readings in Russian for qualified students.",,"LA, BN.",,"Letter gradeSame as: RUSS 486, WGST 486.
"
EURO 490,"  Advanced Special Topics Seminar in Contemporary European Studies",13,"
A detailed examination of advanced special topics in Contemporary European Studies.",,,"May be repeated for credit. 6 total credits. 2 total completions.","Letter grade.
"
EURO 691H,"  Honors Thesis in European Studies",3,"
Directed independent research leading to the preparation of an honors thesis.",,"EE- Mentored Research.",,"Letter grade.
"
EURO 692H,"  Honors Thesis in European Studies",3,"
Completion of the honors thesis and an oral examination of the thesis.",,"EE- Mentored Research.",,"Letter grade.
"
