code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
EXSS 50,"  First-Year Seminar: Discrimination and Sport",3,"
This course will examine the American ethos by looking at those who have been discriminated against in sport because of race, gender, sexual orientation, or disability.",,"SS, US.",,"Letter grade.
"
EXSS 51,"  First-Year Seminar: Entrepreneurship in Human Performance and Sport",3,"
This course will provide students an introduction to the practical entrepreneurial business tools for starting a new business (or for use in an existing organization) in the human performance and/or sport industry.",,"EE- Field Work.",,"Letter grade.
"
EXSS 89,"  First-Year Seminar: Special Topics",3,"
Course content will vary each semester.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
EXSS 141,"  Personal Health",3,"
Elective, open to all students. This course examines basic wellness concepts in the areas of physical fitness, nutrition, disease prevention, mental health, drug abuse, and human sexuality. Emphasis is on the individual's responsibility for his/her own health.",,,,"Letter grade.
"
EXSS 175,"  Human Anatomy",3,"
The study of the structure of the human body with special emphasis on the musculoskeletal, articular, and nervous systems. Prosected cadaver materials are utilized to study the skeletal muscles and body viscera.",,"PL.",,"Letter grade.
"
EXSS 180,"  Physical Activity in Contemporary Society",3,"
An examination of the role of physical activity/inactivity on the health and well-being of American society.",,,,"Letter grade.
"
EXSS 181,"  Sport and Exercise Psychology",3,"
This course exposes students to psychological aspects contributing to sport/physical activity participation and psychological outcomes of participation. It explores psychological theories and research and their application to the affective, behavioral, and cognitive outcomes of sport/physical activity participants when considering key environmental factors.",,,,"Letter grade.
"
EXSS 191,"  Theory and Practice of Modern Dance Technique - Elementary-Level Elective",3,"
An introduction to modern dance technique, history, and philosophy focusing on the physical principles of movement and their choreographic application. Students will participate in a combination of lectures and studio time.",,"VP.",,"Letter grade.
"
EXSS 205,"  Analysis of Sport Skills I",3,"
A professional preparation course in the skills, knowledge, safety, and teaching progressions of basketball, track and field, and softball/baseball.",,,,"Letter grade.
"
EXSS 206,"  Analysis of Sport Skills II",3,"
A professional preparation course in the skills, knowledge, safety, and teaching progressions of soccer, tennis, and volleyball.",,,,"Letter grade.
"
EXSS 207,"  Coaching Principles",3,"
A professional preparation course for teaching and coaching. Includes basic instruction in coaching education and principles, pedagogy for coaching, conditioning for athletes, and team building.",,"EE- Field Work.",,"Letter grade.
"
EXSS 208,"  Health and Physical Education in the Elementary School",3,"
This course deals with methods and materials of health and physical education in school levels kindergarten through sixth grade. Required of elementary education majors. Does not count toward physical education major.",,,,"Letter grade.
"
EXSS 211,"  Adapted Physical Education",3,"
A study of problems related to body mechanics and the needs of the physically handicapped student.",,,,"Letter grade.
"
EXSS 220,"  Fitness Management",3,"
Students develop a working knowledge of theories, principles, and operating procedures involved in managing programs, staff, and facilities in the health/fitness industry, including management, marketing, operations, legal aspects.",,,,"Letter grade.
"
EXSS 221,"  Introduction to Sport Administration",3,"
In this course, students are introduced to the policies and problems of organizing and administering sport in public and private settings.",,,,"Letter grade.
"
EXSS 223,"  International Sport Management",3,"
Because sport cuts across all international boundaries, students must understand the global implications of the sport industry. This course introduces students to the organization, governance, business activities, and intercultural issues in international sport.",,,,"Letter grade.
"
