code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
FREN 101,"  Elementary French I",3,"
Introduces the essential elements of French structure and vocabulary and aspects of French and francophone culture. Aural comprehension, speaking, reading, and writing. Students may not receive credit for both FREN 101 and FREN 111.",,"FL.",,"Letter grade.
"
FREN 102,"  Elementary French II",3,"
 Continues the study of essential elements of French structure, vocabulary, and aspects of French and francophone culture. Aural comprehension, speaking, reading, and writing. Students may not receive credit for more than one of the following: FREN 102, 105 or 401.","Prerequisite, FREN 101.","FL.",,"Letter grade.
"
FREN 105,"  French for High Beginners",4,"
Accelerated course that covers FREN 101 and 102 for students with previous study of French.  Aural comprehension, speaking, reading, and writing. Students may not receive credit for both FREN 105 and FREN 102 or 401.",,"FL.",,"Letter grade.
"
FREN 150,"  Globalization and the French-Speaking World",3,"
Gives students the opportunity to better understand the different facets of French-speaking regions across the modern world (including Africa, the West Indies, and North America) by looking at their geography, their historical and political development, varied cultural aspects, and their links with the United States. In English.",,"SS, GL.",,"Letter grade.
"
FREN 203,"  Intermediate French I",3,"
 Develops language skills for communication. Review of elementary French with increasing emphasis on reading and writing in the context of contemporary French and francophone culture. Students may not receive credit for both FREN 203 and 402. Honors version available","Prerequisite, FREN 102, 105, or 401.","FL.",,"Letter grade.
"
FREN 204,"  Intermediate French II in Context",3,"
 Continued development of language skills for communication through reading and discussion of texts and authentic materials. Emphasis on accurate grammar in written and oral expression. Students may not receive credit for both FREN 204 and 402. Honors version available","Prerequisite, FREN 203.","FL.",,"Letter grade.
"
FREN 255,"  Conversation I",3,"
 Introductory conversation for building oral proficiency while increasing awareness of French culture. Emphasis on vocabulary and grammatical accuracy; writing activities support speaking. Honors version available","Prerequisite, FREN 204 or 402.","CI.",,"Letter grade.
"
FREN 260,"  Literature and the French-Speaking World",3,"
 Skills for literary studies through poetry, theater, and prose from the Renaissance to the present. Lectures, discussions, and written assignments. Honors version available","Prerequisite, FREN 204 or 402.","LA.",,"Letter grade.
"
FREN 262,"  Cultural and Linguistic Diversity in the French-Speaking World",3,"
 French is evolving, changing, and becoming a multifaceted language, adapting to modernity and cultural realities. This course focuses on today's French across the French-speaking world and explores the diversity of relationships that French-speakers have with this shared heritage. Previously offered as FREN 250.","Prerequisite, FREN 204 or 402.","LA, NA.",,"Letter grade.
"
FREN 280,"  French "Discoveries" of the Americas in Translation",3,"
Exploration of cultural relations between France and the Americas from early modern colonial encounters to 21st-century perspectives on diversity and multiculturalism.",,"LA, NA.",,"Letter grade.
"
FREN 285,"  Sex, Philosophy, and Politics: Revolutionary Literature in Translation",3,"
Exploration of questions related to sex and gender during the French Revolution and their reflection in literature, philosophy, and art.",,"PH, NA.",,"Letter grade.
"
FREN 286,"  Food for Thought: The Culture of Cuisine in Modern France",3,"
Exploration of French food culture in film, literature, and historical texts, examining gastronomy in relation to national and individual identity, immigration, cultural specificity, tradition and innovation, markets, sociability, and excess and lack.",,"LA, NA.",,"Letter grade.
"
FREN 300,"  French Composition and Grammar Review",3,"
 Recommended preparation, FREN 255, 260, or 262. Intensive grammar review and composition to improve accuracy and develop writing skills, using process and task-oriented approaches.","Prerequisite, FREN 204 or 402.",,,"Letter grade.
"
FREN 305,"  Healthcare in France and the Francophone World",3,"
 This course examines the evolution of the French healthcare system from its creation to today and the depiction of illnesses as well as healthcare workers in contemporary culture. Current issues related to health, illnesses, and healthcare in France and the Francophone World will be discussed.","Prerequisites, FREN 255, 260 or 262; corequisite FREN 300.",,,"Letter grade.
"
FREN 308,"  LAC Recitation",1,"
 Coregistration in a specified LAC course required.  Promotes foreign language proficiency across the curriculum. May not count toward the major or minor in French.","Prerequisite, FREN 204 or 402; permission of the instructor for students lacking the prerequisite.",,"May be repeated for credit; may be repeated in the same term for different topics; 4 total credits. 4 total completions.","Letter grade.
"
FREN 310,"  Conversation and Composition II",3,"
 Intermediate conversation to expand speaking skills through vocabulary building, discussion of selected texts, and activities that produce conversation. Ongoing development of writing skills.","Prerequisite, FREN 255, 260, or 262; pre- or corequisite, FREN 300.","CI.",,"Letter grade.
"
FREN 311,"  Communication Skills for Cultural Immersion",3,"
  Students will expand their active vocabulary, refine their mastery of grammar and hone communication skills to facilitate their cultural immersion during study abroad in Montpellier. Topics of current interest will allow students to explore French and regional culture while perfecting their written and oral expression and comprehension. Open only to students in France.","Prerequisite, FREN 300.",,,"Letter grade.
"
FREN 312,"  French University Methodology through Literature",3,"
 Open only to students in Montpellier, France. Introduction to French literature through the study of a selection of representative texts. Prepares students for the academics required at a French university. Students will also gain knowledge and experience of the intellectual culture and educational organization of France.","Prerequisite, FREN 300.",,,"Letter grade.
"
FREN 315,"  Imposteur!: Faking and False Identities in French and Francophone Drama and Film",3,"
 Examines how French-language plays and films explore questions of identity through stories of imposture, disguise, cross-dressing, and mistaken identity. Authors studied include Molière, Marivaux, De la Chenelière, and others.","Prerequisite, FREN 255, 260, or 262; Pre- or corequisite, FREN 300; permission of the instructor for students lacking the requisites.","VP, NA.",,"Letter grade.
"
FREN 320,"  Business French",3,"
 Practice of vocabulary and discourse strategies pertinent to business-related activity in French. Readings and discussions emphasize cultural awareness for interaction in cross-cultural settings.","Prerequisite, FREN 255, 260 or 262; pre- or corequisite, FREN 300; permission of the instructor for students lacking the requisites.",,,"Letter grade.
"
FREN 325,"  Crime and Literature in French and Francophone Contexts",3,"
 This course explores the depiction of crime in literature: from medieval tricksters and classical tyrants to romantic crimes of passion; from the destruction of social and ethical codes to the global victims of (civil) war.","Prerequisites, FREN 300 and one of the following: FREN 255, 260, or 262.","NA.",,"Letter grade.
"
FREN 330,"  Approaches to French and Francophone Studies",3,"
 Focuses on important aspects of the culture, society, history, geography, politics, art, and literature of France and its regions as well as the French-speaking world.","Prerequisite, FREN 300 and one of the following: FREN 255, 260, or 262.","LA, NA.",,"Letter grade.
"
FREN 350,"  Current Societal Issues: France and Beyond",3,"
 Oral communication and composition on contemporary topics in French and francophone cultures. Study of cultural texts, articles from the French press, and video documents.","Prerequisite, FREN 300 and one of the following: FREN 255, 260, or 262.","CI.",,"Letter grade.
"
FREN 353,"  Francophone Drama and Multimedia Productions",3,"
 French-language theater. Specific topics to be announced in advance by the instructor. Previously offered as FREN 380.","Prerequisites, FREN 300, and one of the following: FREN 255, 260, or 262.",,,"Letter grade.
"
FREN 354,"  Francophone Poetry and Slam",3,"
 Specific topics to be announced in advance by the instructor. Previously offered as FREN 381.","Prerequisites, FREN 300, and one of the following: FREN 255, 260, or 262.",,,"Letter grade.
"
FREN 355,"  Visual Francophone Studies",3,"
 Specific selections announced in advance by the instructor. Previously offered as FREN 382.","Prerequisites, FREN 300, or one of the following: FREN 255, 260, or 262.",,,"Letter grade.
"
FREN 365,"  Introduction to Translation",3,"
 Theory and practice of translation through a dual approach of conceptual readings and classroom discussion and workshops in interdisciplinary fields. Emphasizes cultural role of the translator as mediator.","Prerequisites, FREN 300 and one of the following: FREN 255, 260, or 262.",,,"Letter grade.
"
FREN 370,"  French and Francophone Studies to 1789",3,"
 An overview of literatures, cultures, and histories of the French-speaking world from Antiquity to 1789.","Prerequisites, FREN 300 and one of the following: FREN 255, 260, or 262.","LA, WB.",,"Letter grade.
"
FREN 372,"  French and Francophone Studies since 1789",3,"
 An overview of literatures, cultures, and histories of the French-speaking world since 1789.","Prerequisites, FREN 300 and one of the following: FREN 255, 260, or 262.","LA.",,"Letter grade.
"
FREN 375,"  Francophone Literature and Film",3,"
 Readings in francophone literatures from literary and cultural perspectives. Areas of study may vary (African, Canadian, European, etc.).","Prerequisites, FREN 300 and one of the following: FREN 255, 260, or 262.","BN.",,"Letter grade.
"
FREN 376,"  Identity and Nationhood in Québécois Literature",3,"
 The evolution of identity and nationhood in Québécois literature from the 1960s to the present. Includes the study of francophone literature of immigration in Québec.","Prerequisites, FREN 300 and one of the following: FREN 255, 260, or 262.","LA, NA.",,"Letter grade.
"
FREN 377,"  The Evolution of Frenchness since WWII",3,"
 How wars, women's movements, immigration, and globalization have influenced the notion of Frenchness.","Prerequisites, FREN 300 and one of the following: FREN 255, 260, or 262.","NA.",,"Letter grade.
"
FREN 378,"  French and European Transmigrations: Global Contexts",3,"
 Interdisciplinary studies of France's role in the construction of European identity.","Prerequisites, FREN 300 and one of the following: FREN 255, 260, or 262.","GL, NA.",,"Letter grade.
"
FREN 379,"  Special Topics in French and Francophone Studies",3,"
Possible topics include cinema, transnational francophone literatures, gender studies. In English.",,,"May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 3 total completions.","Letter grade.
"
FREN 383,"  Franco-Asian Encounters",3,"
Examines the cultural encounters between France and Vietnam and China, the socio-historical context of French colonialism in Vietnam, and the literary and cultural production to which it gave rise.",,"LA, GL.",,"Letter grade.
"
FREN 386,"  French New Wave Cinema",3,"
Films of the major directors of the French New Wave of the 1950s through the 1970s, including Jean-Luc Godard, François Truffaut, and Eric Rohmer. Examination of earlier films informing these directors. The impact of the New Wave on global cinema. In English; students may do written work in French for major/minor credit. Recommended preparation for majors/minors, FREN 300 and one of the following: FREN 255, 260, or 262; non majors, CMPL 143.",,"VP, NA.",,"Letter grade.
"
FREN 387,"  Paris/Versailles: The Court and the City in the 17th Century",3,"
 Seventeenth-century Paris and Versailles serve as the basis for considering the construction of cultural centers and peripheries; the role of style, taste, and etiquette in the fabrication of social identities; the theatricality of life at court and in the city; and the relationship between political power and aesthetics.","Prerequisites, FREN 300 and one of the following: FREN 255, 260, or 262.","LA, WB.",,"Letter grade.
"
FREN 388,"  History of French Cinema I: 1895-1950",3,"
Study of French cinema from 1895 through 1950, including early French film, silent cinema, surrealism, poetic realism, and postwar cinema. Concepts and vocabulary for film criticism. Conducted in English; students may do written work in French for major or minor credit. For French majors and minors, recommended preparation is FREN 300 and one of the following: FREN 255, 260, or 262; for all other students, recommended preparation is CMPL 143.",,"VP, NA.",,"Letter grade.
"
FREN 389,"  History of French Cinema II: 1950 to the Present",3,"
Study of French cinema from 1950 to the present, including postwar cinema, the New Wave, and the French film industry in the age of globalization. Concepts and vocabulary for film criticism. Conducted in English; students may do written work in French for major or minor credit. For French majors and minors, recommended preparation is FREN 300 and one of the following: FREN 255, 260, or 262; for all other students, recommended preparation is CMPL 143.",,"VP, NA.",,"Letter grade.
"
FREN 390,"  Special Topics in French and Francophone Studies",3,"
 Examines selected topics in French and francophone studies. Content varies by semester and instructor.","Prerequisites, FREN 300 and one of the following: FREN 255, 260, or 262.",,"May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 3 total completions.","Letter grade.
"
FREN 395,"  Research for Advanced French Students",13,"
 Research project on topic agreed upon by the student and faculty member. Includes bibliographic work and research approaches.","Prerequisite, FREN 300 and one of the following: FREN 255, 260, or 262.",,"May be repeated for credit. 9 total credits. 3 total completions.","Letter grade.
"
FREN 401,"  Beginning Accelerated French",3,"
Covers levels one and two of the basic language sequence in one semester.  Designed for highly motivated undergraduate/graduate language learners, especially those who have experienced success with learning another language. Intensive approach to developing all skills but with an emphasis on speaking. Students may not receive credit for both FREN 401 and any of the following: FREN 101, 102, 105.",,"FL.",,"Letter grade.
"
FREN 402,"  Intermediate Accelerated French",3,"
A continuation of FREN 401. Covers levels three and four in one semester. Develops all skills, with increasing emphasis on reading, writing, and cultural analysis. Designed for highly motivated undergraduate/graduate language learners, especially those who have experienced success with learning another language. Prepares students for advanced courses. Students may not receive credit for both FREN 402 and any of the following: FREN 203 and 204.",,"FL.",,"Letter grade.
"
FREN 403,"  Advanced Composition",3,"
 Review of advanced grammar. Exercises in translation from English into French of literary and critical materials. Free composition and training in the use of stylistic devices.","Prerequisite, FREN 300 and one of the following: FREN 255, 260, or 262.",,,"Letter grade.
"
FREN 405,"  French for the Health Professions",3,"
Aimed at health care professionals in a variety of fields, this class is designed to help them practice, consolidate, and improve their language skills, while encouraging students to develop a fuller understanding of health care systems in French-speaking regions of the world and to compare conditions with those in the United States. This course does not fulfill the FL requirement and does not count for the French major or minor.",,,,"Letter grade.
"
FREN 421,"  Old French",3,"
An introductory course designed to enable students to read medieval texts with rapidity and accuracy. Phonology, morphology, semantics, and syntax.",,,,"Letter grade.
"
FREN 437,"  Literary and Cultural Theory in France",3,"
 A study of structuralist and poststructuralist methods in poetics, semiotics, psychoanalysis, sociology, and philosophy.","Prerequisites, FREN 300 and one of the following: FREN 255, 260, or 262.",,"May be repeated for credit. 9 total credits. 3 total completions.","Letter grade.
"
FREN 452,"  Muslim Women in France and the United States",3,"
This class will follow Muslim women's experiences and changing roles in France and the United States from the 1970s through today.",,"GL.",,"Letter grade.
"
FREN 489,"  19th-Century Literature and Culture",3,"
 Intensive study of a single major author of the romantic or postromantic period. The subject changes from year to year among writers in the different literary genres.","Prerequisites, FREN 300 and one of the following: FREN 255, 260, or 262.",,,"Letter grade.
"
