code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
GEOG 50,"  First-Year Seminar: Mountain Environments",3,"
This course is on understanding the physical geography of mountain environments and the processes that have created them, shaped them, and sustained them. Honors version available",,"PL.",,"Letter grade.
"
GEOG 52,"  First-Year Seminar: Political Ecology of Health and Disease",3,"
This course examines the intersection of political, economic, social, and environmental systems that shape health and disease across spatial and temporal scales. A political ecological framework is used to examine such topics as how political forces and economic interests helped shape the HIV/AIDS and malaria pandemics in Africa and beyond. Honors version available",,"SS, CI, GL.",,"Letter grade.
"
GEOG 53,"  First-Year Seminar: Battle Park: Carolina's Urban Forest",3,"
An introduction to the study of urban forest landscapes through a series of field experiences in Carolina's Battle Park.",,"PL, EE- Field Work.",,"Letter grade.
"
GEOG 54,"  First-Year Seminar: Global Change and the Carolinas",3,"
An examination of the ways in which change in the global physical environment, human induced and natural, might impact the Carolinas.",,"PL.",,"Letter grade.
"
GEOG 55,"  First-Year Seminar: Landscape in Science and Art",3,"
Explores viewing landscape from the perspective of science and of art, and investigates how an integration of both leads to a better understanding and appreciation of a landscape.",,"SS.",,"Letter grade.
"
GEOG 56,"  First-Year Seminar: Local Places in a Globalizing World",3,"
An examination of the relationship between globalization and localization in order to think about how we, as individuals and groups, can make a difference in the world.",,"SS, GL.",,"Letter grade.
"
GEOG 58,"  First-Year Seminar: Making Myth-Leading Memories: Landscapes of Remembrance",3,"
This course considers memorial landscapes created to reinforce values symbolized by the person, group, or event memorialized. It looks at how disagreements and cultural changes affect memorial landscape interpretation.",,"SS.",,"Letter grade.
"
GEOG 59,"  First-Year Seminar: Space, Identity, and Power in the Middle East",3,"
This seminar examines the role traditional and modern spaces play in representations of the Middle East and how Middle Easterners engage these contested spaces to construct their cultural and political identities.",,"BN.",,"Letter grade.
"
GEOG 60,"  First-Year Seminar: Health Care Inequalities",3,"
Explores the social and spatial inequalities in health care access and use and their impacts on health. A variety of topics are examined, including health-related policies, beliefs about health and health care, modern medical practices, and health care costs.",,"SS.",,"Letter grade.
"
GEOG 61,"  First-Year Seminar: Climate Change in the American Southeast",3,"
Seminar participants, working in small groups, will run climate models and investigate current climate trends, combining the results to create scenarios of future climate for the southeast United States.",,"SS.",,"Letter grade.
"
GEOG 62,"  First-Year Seminar: The Culture of Technology",3,"
This first-year seminar uses the lens of culture to explore systems of meaning and values, and relations of social power, that are invested in technologies.",,"PH, CI.",,"Letter grade.
"
GEOG 63,"  First-Year Seminar: The Problem with Nature and Its Preservation",3,"
Alternative conceptualizations of nature in Western culture and how these meanings help create the landscapes in which we live and allow us to evaluate the implications of efforts to preserve nature.",,"PH.",,"Letter grade.
"
GEOG 64,"  First-Year Seminar: Vietnam",3,"
Explores modern Vietnam and situates the American war in broader spatial and historical context. Draws on fact, fiction, and visual media to introduce a fascinating place, rich in history, and to animate a geographic imagination students can take anywhere.",,"HS, BN.",,"Letter grade.
"
GEOG 65,"  First-Year Seminar: Climate Change and the Media",3,"
Examines the popular debate on global warming and its presentation in the media.  Covers the scientific basis of climate change, focusing on how the science is presented, distorted, and debated in the public sphere. Honors version available",,"PL, CI.",,"Letter grade.
"
GEOG 67,"  First-Year Seminar: Politics of Everyday Life",3,"
Seminar examines the ways that politics, especially contests over territory, are part of our day-to-day life. We will explore a range of cases, from immigration policy and rhetoric in the United States, to popular representations of geopolitics in film, to the politics of family planning in India.",,"SS, GL.",,"Letter grade.
"
GEOG 89,"  First Year Seminar: Special Topics",3,"
Special Topics Course.  Content will vary each semester.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
GEOG 110,"  The Blue Planet: An Introduction to Earth's Environmental Systems",3,"
Emphasizes geographic patterns and interrelationships in energy, climate, terrain, and life. Develops integrative view of how atmospheric, hydrologic, geomorphic, and biotic processes create global patterns in the environment. Incorporates influence of human activities on earth. Class will help students understand the natural environment, both globally and in North Carolina. Honors version available",,"PL.",,"Letter grade.
"
GEOG 111,"  Weather and Climate",3,"
An introduction to the nature and causes of weather variability and climate change and their impact on human activity. No laboratory. (Core)",,"PL.",,"Letter grade.
"
GEOG 115,"  Maps: Geographic Information from Babylon to Google",3,"
Introduces the science and art of map making and will lay the conceptual foundation necessary to understand how and why maps are made and used.",,,,"Letter grade.
"
GEOG 120,"  World Regional Geography",3,"
A survey of the geographic structure of human activity in major world regions and nations. Emphasizes current developments related to population, urbanization, and economic activity. (Core)",,"SS, GL.",,"Letter gradeSame as: PWAD 120.
"
GEOG 121,"  Geographies of Globalization",3,"
This course examines places and the connections between places to build critical understandings of the role of human geographies in global economic, political, social, and cultural systems. (Core)",,"SS, GL.",,"Letter grade.
"
GEOG 123,"  Cultural Geography",3,"
How population, environment, and human culture is expressed in technology and organization interact over space and time. (GHA)",,"SS.",,"Letter grade.
"
GEOG 124,"  Feminist Geographies",3,"
This course explores the relationship between gender and place and introduces feminist approaches to key geographical concepts. We will study how places that we live in shape our gender identities and how gender relations affect our worlds. Topics include bodies, home, city, migration, development, nationalism, and war.",,"SS, GL.",,"Letter grade.
"
GEOG 125,"  Cultural Landscapes",3,"
Explores how everyday culture helps create the landscapes and places in which we live and what these landscapes tell us about ourselves.",,"SS.",,"Letter grade.
"
GEOG 130,"  Development and Inequality: Global Perspectives",3,"
An introduction to historical and contemporary ideas about practices and meanings of development. Students will explore "development" in a global landscape of poverty, power, and struggles over inequality. Honors version available",,"SS, GL.",,"Letter grade.
"
GEOG 141,"  Geography for Future Leaders",3,"
In this course, students develop geographic concepts and skills and use them to navigate real-world social and environmental challenges. Co-taught by a physical and human geographer, the course provides students with essential building blocks for becoming active and engaged leaders and citizens in a rapidly changing world.",,"PL, GL.",,"Letter grade.
"
GEOG 210,"  Global Issues and Globalization",3,"
Survey of international social, political, and cultural patterns in selected societies of Africa, Asia, America, and Europe, stressing comparative analysis of conflicts and change in different historical contexts. LAC recitation sections offered in French, German, and Spanish.",,"GL.",,"Letter gradeSame as: GLBL 210, ANTH 210, HIST 210, POLI 210.
"
GEOG 212,"  Environmental Conservation and Global Change",3,"
Survey of environmental change as driven by physical processes and human activity. Problem-solving methods are explored. Focus on issues such as global warming, ozone depletion, deforestation, extinction, pollution, wetland loss. This course will provide significant background in physical geography in the context of today's most pressing environmental concerns and with reference to the societal implications and management strategies. (No lab.) (Core)",,"PL, GL.",,"Letter grade.
"
GEOG 215,"  Introduction to Spatial Data Science",3,"
This course will introduce students to data science with a focus on spatial (geographic) data, data that are referenced to a location on Earth's surface. Students will learn concepts and techniques to apply various facets of data science practice, including data collection, management, and integration, descriptive modeling, exploratory spatial data analysis, and communication via visualization and mapping. Real world examples and datasets spanning physical, social, and health sciences will be used throughout the course.",,"SS, QI.",,"Letter grade.
"
GEOG 222,"  Health and Medical Geography",3,"
Health and disease are studied by analyzing the cultural/environmental interactions that lie behind world patterns of disease distribution, diffusion, and treatment, and the ways these are being altered by development. Previously offered as GEOG 445. (GHA)",,"SS, GL.",,"Letter grade.
"
GEOG 225,"  Space, Place, and Difference",3,"
Gender, race, and class are examined in terms of the spatial patterns of everyday life, regional patterns, and global patterns. (GHA)",,"SS.",,"Letter gradeSame as: WGST 225.
"
GEOG 228,"  Urban Geography",3,"
Explores the evolution, patterns, and processes of urbanization and the development of cities and city systems. Emphasis on the origin, growth, and spatial distribution of cities and on the internal spatial organization of activities within cities. (GHA)",,"SS.",,"Letter grade.
"
GEOG 230,"  The World at Eight Billion",3,"
Approximately eight billion people live on the Earth. How did we get here? What have been the consequences for us and the planet? What will the future bring? To answer these questions, we will draw on population and human-environment geography and on an abundance of new data sources.",,"SS, GL.",,"Letter grade.
"
GEOG 232,"  Agriculture, Food, and Society",3,"
A study of environmental parameters, cultural preferences, technological developments, and spatial economic infrastructure that result in world patterns of food consumption, production, and distribution. (GHA)",,"SS.",,"Letter grade.
"
GEOG 237,"  Natural Resources",3,"
An analysis of selected biological and mineral resources of the world with particular emphasis on their distribution, utilization, and management policies and on their social and economic implications. (GHA)",,,,"Letter grade.
"
GEOG 240,"  Introduction to Environmental Justice",3,"
Environmental justice is about social equity and its relationship to the environment. This course provides an introduction to the principles, history, and scholarship of environmental justice. It traces the origins of the movement in the US and globally and its relationship to environmentalism. Students will use case studies and engagement to become familiar with environmental justice concerns related to food systems, environmental health, climate change, and economic development.",,"SS, US.",,"Letter grade.
"
GEOG 253,"  Introduction to Atmospheric Processes",4,"
 Includes one-hour laboratory. Atmospheric processes including radiation, dynamics, and thermodynamics are emphasized. Circulations across a range of temporal and spatial scales are described. Links between environmental problems and the atmosphere are explored.","Prerequisites, MATH 231 and either CHEM 102 or PHYS 114.",,,"Letter gradeSame as: ENEC 253.
"
GEOG 254,"  American Historical Geographies",3,"
A study of selected past geographies of the United States with emphasis on the significant geographic changes in population, cultural, and economic conditions through time. Previously offered as FOLK/GEOG 454. (GHA)",,,,"Letter gradeSame as: FOLK 254.
"
GEOG 259,"  Society and Environment in Latin America",3,"
This survey course examines political, cultural, and biophysical dimensions of human- environment relations across the ecologically diverse and historically rich region of Latin America. It draws on multiple data sources, perspectives, and media to explore sub-regions and their biocultural histories, including the Caribbean, Andes, Amazon, Central and North America, and their relationship with the United States.",,"SS, BN.",,"Letter grade.
"
GEOG 260,"  North America's Landscapes",3,"
A survey of the cultural and physical landscapes of the United States and Canada. Emphasis on landscape evolution, present distributions, and interactions between people and their environment. (Regional)",,"SS, NA.",,"Letter grade.
"
GEOG 261,"  The South",3,"
Present-day Southern United States, approached historically through a study of its physical, economic, and cultural environment. (Regional)",,,,"Letter grade.
"
GEOG 262,"  Geography of North Carolina",3,"
A survey of the cultural, economic, and physical diversity of North Carolina. Emphasizes regional patterns, historical changes, and the appearance of the landscape. (Regional)",,"NA.",,"Letter grade.
"
GEOG 263,"  Environmental Field Studies in Siberia",4,"
This course explores the biogeography of Siberia and gives students practical training on how to do field work in field ecology and physical geography.",,,,"Letter gradeSame as: ENEC 263.
"
GEOG 264,"  Conservation of Biodiversity in Theory and Practice",3,"
 This course will give students a multidisciplinary introduction to growing field of biodiversity preservation.","Prerequisite, ENEC 201; permission of the instructor for students lacking the prerequisite.",,,"Letter gradeSame as: ENEC 264.
"
GEOG 265,"  Eastern Asia",3,"
Spatial structure of population, urbanization, agriculture, industrialization, and regional links in China, Japan, and Korea. (Regional)",,,,"Letter gradeSame as: ASIA 265.
"
GEOG 266,"  Society and Environment in Southeast Asia",3,"
This survey integrates sociological, biophysical, and geographical elements to examine interactions of population and environment across the ecologically-diverse and historically-rich region of Southeast Asia. Draws on multiple data sources, perspectives, and media to explore Vietnam, Indonesia, Malaysia, Thailand, Burma/Myanmar, the Philippines, and neighboring countries.",,"SS, BN, GL.",,"Letter grade.
"
