code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
GEOL 70,"  First-Year Seminar: One Billion Years of Change: The Geologic Story of North Carolina",3,"
A field-based course focused on the geologic story of North Carolina. Includes local field trips and weekend trips to the coast and mountains",,"PL.",,"Letter grade.
"
GEOL 71,"  First-Year Seminar: Bones Back to Life",3,"
Get hands-on experience with the reconstruction of vertebrate fossils. Learn the paleontology of the Carolinas and beyond.",,"PL.",,"Letter grade.
"
GEOL 72H,"  First-Year Seminar: Field Geology of Eastern California",3,"
This seminar provides a hands-on introduction to active geologic and environmental processes in eastern California, including active volcanoes, earthquake-producing faults, and extreme climate change.",,"PL, EE- Field Work, EE- Mentored Research.",,"Letter grade.
"
GEOL 73,"  First-Year Seminar: Global Warming and the Future of the Planet",3,"
Global warming is the most important environmental problem of the 21st century. This seminar explores geologic history of global warming, its physical principles, and prospects for future societies.",,"PL.",,"Letter grade.
"
GEOL 74,"  First-Year Seminar: Geology of Climate Change",3,"
Examination of the problem of natural versus human-induced climate change from the perspective of the geologic record of earth history. Field trips to coast, Piedmont, and Blue Ridge.",,"PL.",,"Letter grade.
"
GEOL 75,"  First-Year Seminar: Waste in the Environment",3,"
Origins and effects of waste in the environment. Introduces natural wastes and ecosystem recycling, but focuses on case studies of generation, environmental impacts, and remediation of anthropogenic wastes.",,"PL.",,"Letter grade.
"
GEOL 76,"  First-Year Seminar: Energy Resources for a Hungry Planet",3,"
Discussions are centered on the most pressing issues of our time: environmental deterioration and construction of a sustainable (livable) world during and after the depletion of traditional energy resources.",,"PL.",,"Letter grade.
"
GEOL 77,"  First-Year Seminar: Volcanoes and Civilization: An Uneasy Coexistence",3,"
Volcanoes provide a breathable atmosphere, a habitable climate, and precious ores, but they have the potential to destroy civilization. This seminar will explore the uneasy coexistence of volcanoes and civilization.",,"PL.",,"Letter grade.
"
GEOL 79,"  First-Year Seminar: Coasts in Crisis",3,"
An investigation of the geologic evolution and function of coastal environments, the recent effects of coastal development and engineering, and an examination of existing coastal management strategies and the tensions between coastal development and the desire to preserve natural environments.",,"PL.",,"Letter grade.
"
GEOL 89,"  First-Year Seminar: Special Topics",3,"
Special topics course.  Content will vary each semester.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
GEOL 101,"  Planet Earth",3,"
Major geologic events: earthquakes, volcanic activity, mountain formation, plate tectonics, and erosion. Landscape development by glaciers, streams and groundwater, ocean currents and waves, wind. Not open to students with credit in GEOL 105, 109, or 110. Optional laboratory: GEOL 101L. PX credit for GEOL 101+101L.",,"PX.",,"Letter grade.
"
GEOL 101L,"  Planet Earth Laboratory",1,"
 Study of common minerals and rocks. Use of topographic and geologic maps to illustrate geologic processes. Two laboratory hours a week.","Pre- or corequisite, GEOL 101, 159, 200, or 201.",,,"Letter grade.
"
GEOL 103,"  The Marine Environment",3,"
Introduction to marine sciences emphasizing physical, chemical, biological, and geological phenomenon in oceanic and coastal environments. Human use of, and impact on, marine resources. Science majors should take MASC 401. Students may not receive credit for both MASC 101 and MASC 401.",,"PL.",,"Letter gradeSame as: MASC 101.
"
GEOL 108,"  Climate and Energy Transitions: Understanding the Forecasts",4,"
This course examines uncertainties in projecting future fossil fuel consumption and impact on global climate by quantifying how effectively alternative power-generation and energy-storage technologies can scale to meet needs in developing and developed nations, and by understanding past and present climates.",,"PX, GL.",,"Letter gradeSame as: MASC 108, PHYS 108.
"
GEOL 159,"  Prehistoric Life",3,"
Fossils and the origin and evolution of life, including micro- and macroevolution, mass extinctions, the evolution of dinosaurs and humans, and scientific perspectives on multicultural creationism.",,"PL.",,"Letter gradeSame as: BIOL 159.
"
GEOL 190,"  Special Topics in Geological Sciences at an Introductory Level",3,"
An undergraduate seminar course that is designed to be a participatory intellectual adventure on an advanced, emergent, and stimulating topic within a selected discipline in geological sciences. This course does not count as a credit towards geological sciences majors.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
GEOL 200,"  The Solid Earth",3,"
An introduction to the solid earth, and with GEOL 201 is an overview of earth systems for students continuing in geological, environmental, and other sciences. Topics include synthesis of the elements, formation of the solar system and earth, plate tectonics, earth materials, internal energy, magnetism, geochemical cycles, and earth resources.",,"PL.",,"Letter grade.
"
GEOL 201,"  Earth's Surface: Processes, Landforms, and History",3,"
This course focuses on the biological, chemical, and physical processes that shape the surface of the earth.  Major points of emphasis will include earth's climate, the global water cycle, geomorphic processes and the landforms they create, sedimentology and depositional environments, and elements of earth history recorded by earth surface processes.",,"PL.",,"Letter grade.
"
GEOL 202,"  Earth Systems History",3,"
Required preparation, one introductory geology course numbered below GEOL 202, except first-year seminar. History of the earth (including its oceans, atmosphere, and life forms) as deciphered from the geologic record. Birth of continents/oceans; evolution and extinction of life forms; the changing global environment.",,"PL.",,"Letter grade.
"
GEOL 221,"  Geology of North America",3,"
Required preparation, one geology course numbered below GEOL 202. General introduction to the geologic evolution of North America through intensive study of a particular region. Includes mandatory Spring Break field trip.",,"EE- Field Work.",,"Letter grade.
"
GEOL 223,"  Geology of Beaches and Coasts",3,"
Required preparation, one introductory geology course numbered below GEOL 202, except first-year seminar. Introduction to coastal processes, including waves, tidal currents, tectonics, climate, and human activity, and their influence on barrier islands, beaches, dunes, marshes, and estuaries. Involves a field trip to the Outer Banks of North Carolina.",,,,"Letter gradeSame as: MASC 223.
"
GEOL 234,"  Marine Carbonate Environments",2,"
Permission of the instructor. Chemical and biological origins of calcium carbonate, skeletal structure, and chemo-mineralogy, preservation, sedimentation, and early diagenesis are studied in deep and shallow environmental settings to understand skeletal genesis, limestone origin, and carbonate facies variability. Field trip to Florida, Bahamas, or Bermuda. Laboratory exercises; research report. Previously offered as GEOL 434.",,"PL, EE- Field Work.","May be repeated for credit; may be repeated in the same term for different topics; 4 total credits. 2 total completions.","Letter grade.
"
GEOL 301,"  Earth Materials: Minerals",4,"
 Minerals in sedimentary, igneous, and metamorphic environments: their properties, occurrence, and uses. Methods of identifying minerals, including use of optical properties. Three lecture and three laboratory hours a week.","Prerequisite, GEOL 200; pre- or corequisite, CHEM 101; permission of the instructor for students lacking the prerequisite.",,,"Letter grade.
"
GEOL 302,"  Structural Geology",4,"
 Introduction to the mechanical behavior and dynamic evolution of the earth's crust through the study of deformed rocks. Previously offered as GEOL 401.","Prerequisite, GEOL 101 or 200.",,,"Letter grade.
"
GEOL 303,"  Sedimentology and Stratigraphy",4,"
 Introduction of principles involved in description and classification of sedimentary rocks and stratigraphic units as well as stratigraphic correlation. Students will be introduced to relationships of processes, depositional environments, and sedimentary facies. Previously offered as GEOL 402.","Prerequisites, GEOL 200 and 201; permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
GEOL 304,"  Petrology and Plate Tectonics",4,"
 Studies of the origin and evolution of igneous and metamorphic rocks, including microscopic, X-ray, and field methods; volcanology; plate-tectonic interpretation of rock sequences. Three lecture and three laboratory hours a week. Previously offered as GEOL 404.","Prerequisite, GEOL 200 and 301; permission of the instructor for students lacking the prerequisite.",,,"Letter grade.
"
GEOL 305,"  Planetary Geology: Meteorites and Asteroids",3,"
 Required preparation, one introductory geology course numbered below GEOL 202, except first-year seminar. Effects and probable effects of meteorite and asteroid impacts on earth and other planets: craters, new meteorites, and tektites; giant sea waves; reduction of species and extinction of organisms.","Pre- or corequisite, CHEM 101.","PL.",,"Letter grade.
"
GEOL 310,"  Coastal Environmental Change",3,"
 An exploration of the large-scale evolution of coastal environments, including relevance of geologic setting, wave and sediment transport processes, the evolution of beach and barrier island morphology, and issues of coastal environmental management.","Prerequisite, GEOL 101 or MASC 101 or MASC 401; permission of the instructor for students lacking the prerequisite.",,,"Letter gradeSame as: ENEC 310, MASC 316.
"
GEOL 315,"  Energy Resources",3,"
Required preparation, one geology course numbered below GEOL 202 or ENEC below 203, except first-year seminar. Considers the distribution, extraction, economics, and demand for mineral resources. Treats the impact of the mineral industry on industrial and preindustrial economies, economic factors, maldistribution and depletion of resources, and the environmental impact of the mineral extraction industry. Previously offered as GEOL 215.",,"PL.",,"Letter grade.
"
GEOL 324,"  Water in Our World: Introduction to Hydrologic Science and Environmental Problems",3,"
This introductory course will cover two broad themes: the physical processes of the hydrologic cycle and how human use (and abuse) of freshwater resources can lead to major environmental problems. PX credit for ENEC/GEOL 324 + 324L. PL credit for ENEC/GEOL 324.",,"PX.",,"Letter gradeSame as: ENEC 324.
"
GEOL 324L,"  Water in Our World Laboratory",1,"
 Students will conduct laboratory and field experiments to reinforce the topics covered in ENEC/GEOL 324. PX credit for ENEC/GEOL 324 + 324L.","Pre- or corequisite, ENEC/GEOL 324.",,,"Letter gradeSame as: ENEC 324L.
"
GEOL 390,"  Special Topics in Geology",14,"
Permission of the department. Topics and instructors vary from semester to semester. Course may be repeated. Honors version available",,,"May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 4 total completions.","Letter grade.
"
GEOL 395,"  Undergraduate Research in Geology",14,"
Permission of the instructor. Research in geology under the supervision of a selected instructor. Approved learning contract required. May be repeated up to four times for a maximum of 12 credits.",,,"May be repeated for credit. 12 total credits. 4 total completions.","Letter grade.
"
GEOL 396,"  Independent Study in Geology",14,"
Permission of the instructor. Independent study under the supervision of a selected instructor. Learning contract required. May be repeated up to four times for a maximum of 12 credits.",,,"May be repeated for credit. 12 total credits. 4 total completions.","Letter grade.
"
GEOL 403,"  Oceanography",3,"
Required preparation, major in a natural science or two courses in natural sciences. Studies origin of ocean basins, seawater chemistry and dynamics, biological communities, sedimentary record, and oceanographic history. Term paper. Students lacking science background should see MASC 101. Students may not receive credit for both MASC 101 and MASC 401.",,,,"Letter gradeSame as: MASC 401, BIOL 350, ENVR 417.
"
GEOL 405,"  Geochemistry",3,"
 Required preparation, one introductory geology course. Introduction to the application of chemical principles to geological problems. Topics include thermodynamics, kinetics, and isotope geochemistry. Previously offered as GEOL 512/MASC 553.","Prerequisites, CHEM 102 and MATH 231; permission of the instructor for students lacking the prerequisites.","QI.",,"Letter gradeSame as: MASC 455.
"
GEOL 406,"  Introduction to Geophysics",3,"
 Introduction to the fundamentals of global geophysics: gravity, seismology, magnetism, heat, and plate tectonics. Both shallow and deep processes are considered. Emphasis is aimed at problem solving by applying concepts. Previously offered as GEOL 515.","Prerequisites, PHYS 114, 116, or 118, and 115, 117, or 119.",,,"Letter grade.
"
GEOL 410,"  Earth Processes in Environmental Systems",4,"
 Principles of geological and related Earth systems sciences are applied to analyses of environmental phenomena. The link between the lithosphere and other environmental compartments is explored through case studies of environmental issues. Three lecture hours and one laboratory hour a week.","Prerequisites, CHEM 102, GEOL 200, MATH 231, and PHYS 115 or 119; permission of the instructor for students lacking the prerequisites.",,,"Letter gradeSame as: ENEC 410, MASC 410.
"
GEOL 411,"  Oceanic Processes in Environmental Systems",4,"
 Principles of analysis of the ocean, coast, and estuarine environments and the processes that control these environments are applied to the analysis of environmental phenomena. Case studies of environmental issues. Three lecture hours and one laboratory hour a week.","Prerequisites, BIOL 101, CHEM 102, ENEC 222, MATH 231, PHYS 115 or 119; permission of the instructor for students lacking the prerequisites.",,,"Letter gradeSame as: ENEC 411, MASC 411.
"
GEOL 412,"  Principles and Methods of Teaching Earth Science",4,"
Required preparation, any introductory geology course. This course develops the knowledge and skills teachers need to implement inquiry-based earth science instruction: conceptual knowledge of earth sciences and mastery of inquiry instructional methods. Students study inquiry in cognitive science and learning theory. This course is a requirement for the UNC-BEST program in geological sciences.",,"EE- Service Learning.",,"Letter grade.
"
GEOL 415,"  Environmental Systems Modeling",3,"
This course explores principles and strategies for studying environmental phenomena, and presents methods for developing explanatory and predictive models of environmental systems, e.g., predator-prey, estuaries, greenhouse gases, and ecosystem material cycles.","Prerequisite, MATH 383; pre- or corequisite, PHYS 115 or 118, and COMP 116.",,,"Letter gradeSame as: ENEC 415, MASC 415.
"
GEOL 417,"  Geomorphology",3,"
 Introduction to process geomorphology with emphasis on quantitative interpretation of weathering, hill slope, fluvial, glacial, and eolian processes from topography and landscapes.","Prerequisites, GEOL 101, 200, or 201; and MATH 231; permission of the instructor for students lacking the prerequisites.",,,"Letter gradeSame as: ENEC 417.
"
GEOL 417L,"  Geomorphology Laboratory",1,"
 Two laboratory hours per week.","Pre- or corequisite, GEOL 417.",,,"Letter grade.
"
GEOL 421,"  Archaeological Geology",3,"
Permission of the instructor. The application of geological principles and techniques to the solution of archaeological problems. Studies geological processes and deposits pertinent to archaeological sites, geologic framework of archaeology in the southeastern United States, and techniques of archaeological geology. Field trips to three or more sites; written reports required.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter gradeSame as: ANTH 421.
"
GEOL 422,"  Physics of the Earth's Interior",3,"
 Origin of the solar system: the nebular hypothesis. Evolution of the earth and its accretionary history. Earthquakes: plate tectonics and the interior of the earth. The earth's magnetic field. Mantle convection.","Prerequisites, MATH 383, and either PHYS 201 and 211 or 311 and 401.",,,"Letter gradeSame as: PHYS 422.
"
GEOL 425,"  Introduction to Field Geology",3,"
 Introduction to geologic field methods. Includes making observations, mapping, identification of structures and features, and interpretation to solve basic geologic problems. Many field trips. Previously offered as GEOL 225.","Prerequisites, GEOL 302, 303, and 304; permission of the instructor for students lacking the prerequisites.","EE- Field Work.",,"Letter grade.
"
