code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
GERM 101,"  Elementary German",4,"
Develops the four language skills (speaking, listening, reading, writing) in a cultural context. In addition to mastering basic vocabulary and grammar, students will communicate in German about everyday topics. Students may not receive credit for both GERM 105 and GERM 101 or 102. Honors version available",,"FL.",,"Letter grade.
"
GERM 102,"  Advanced Elementary German",4,"
This continuation of GERM 101 emphasizes speaking, listening, reading, writing in a cultural context. Students enhance their basic vocabulary and grammar and will regularly communicate in German about everyday topics. Students may not receive credit for both GERM 105 and GERM 101 or 102. Honors version available",,"FL.",,"Letter grade.
"
GERM 105,"  Intensive Elementary German",8,"
Experience in German or fluency in another foreign language recommended. An accelerated, intensive course that essentially covers materials of GERM 101 and 102 in one semester.  Students may not receive credit for both GERM 105 and GERM 101 or 102.",,"FL.",,"Letter grade.
"
GERM 203,"  Intermediate German",3,"
Students acquire necessary materials and opportunities to develop further their language skills in a cultural context. They review and expand upon the basic grammar covered in beginning German.  Students may not receive credit for both GERM 206 and GERM 203 or GERM 204. Honors version available",,"FL.",,"Letter grade.
"
GERM 204,"  Advanced Intermediate German",3,"
 Emphasizes further development of the four language skills (speaking, reading, writing, listening) within a cultural context. Discussions focus on modern Germany, Austria, and Switzerland in literature and film. Students may not receive credit for both GERM 206 and GERM 203 or GERM 204. Honors version available","Prerequisite, GERM 203.","FL.",,"Letter grade.
"
GERM 206,"  Intensive Intermediate German",6,"
 An accelerated intensive course that covers the materials of GERM 203 and 204 in one semester. Students may not receive credit for both GERM 206 and GERM 203 or GERM 204.","Prerequisite, GERM 105; permission of the instructor for students lacking the prerequisite.","FL.",,"Letter grade.
"
GERM 210,"  Getting Medieval: Knights, Violence, and Romance",3,"
Offers a historical perspective on the portrayal of medieval culture in film from the 1920s to today. Specific topics include the ideal hero, the quest, etiquette, chivalry, rituals, and love. Readings and discussions in English.",,"VP, NA, WB.",,"Letter grade.
"
GERM 211,"  Concepts in Medieval Culture",3,"
This course examines concepts that medieval texts utilize in order to articulate an understanding of human beings, their relations to others, their social, political, and religious worlds. Readings and discussions in English.",,"LA, WB.",,"Letter grade.
"
GERM 216,"  The Viking Age",3,"
Lecture/discussion course on Viking culture, mythology, exploration, and extension of power in northern Europe (approx. 750-1050 CE) as represented in sagas, the Eddas, runic inscriptions, and chronicles. Readings and discussions in English.",,"HS, NA, WB.",,"Letter grade.
"
GERM 220,"  Women in the Middle Ages",3,"
This interdisciplinary course examines representations of women, concepts of gender, and women's participation in the economic, political, religious, and cultural life of the Middle Ages. Discussion and texts in English.",,"LA, NA, WB.",,"Letter gradeSame as: WGST 220.
"
GERM 227,"  Luther and the Bible",3,"
The Reformation was seminal for the development of the modern world.  This course will investigate Reformation literature written in the period from the end of the 15th century to the end of the 17th century, and will investigate how Reformation ideas resonate through today. Readings and discussions in English.",,"HS, WB.",,"Letter gradeSame as: RELI 227.
"
GERM 245,"  Marx, Nietzsche, and Freud",3,"
An introduction to the writings of three great German writers of the 19th century who have had enormous impact on the lives of people around the world. Readings and discussions in English.",,"PH, NA.",,"Letter grade.
"
GERM 249,"  German Literature in Translation",3,"
The idea of world literature was a German invention, proposed by Goethe to describe literature of universal importance for all of humanity. German thought, and German literature, in particular, remains an important component in this canon. This English-language literature course introduces newcomers to some highlights of German literature.",,"LA, NA.",,"Letter grade.
"
GERM 265,"  Hitler in Hollywood: Cinematic Representations of Nazi Germany",3,"
An examination of selected cinematic representations (both American and German) of Nazi Germany in terms of their aesthetic properties and propagandistic value. Films with English subtitles; readings and discussions in English.",,"VP, NA.",,"Letter grade.
"
GERM 266,"  Weimar Cinema",3,"
Explores important German films of 1919 to 1933, locating them in their artistic, cultural, and historical context. Treats the contested course of Weimar film history and culture and provides a theoretically informed introduction to the study of film and visual materials. Films with English subtitles; readings and discussions in English.",,"VP, NA.",,"Letter gradeSame as: CMPL 266.
"
GERM 267,"  Contemporary German and Austrian Cinema",3,"
Examines exciting new directions in German and Austrian cinema from the past 20 years.  By analyzing weekly films, students develop skills in film analysis and criticism; read reviews, interviews, and film-theoretical texts; write a film review; and produce a critical essay. Films with English subtitles; readings and discussions in English. Students may not receive credit for both GERM 267 and 367.",,"VP, CI, NA.",,"Letter gradeSame as: CMPL 267.
"
GERM 268,"  Auteur Cinema",3,"
We will explore the works of one German director. By watching a sample of a director's oeuvre over a significant period of time, students come to understand the director's arch, identify common threads in their films, and consider how his or her work relates to larger developments in German film history. Films with English subtitles; readings and discussions in English.",,"VP, CI, NA.",,"Letter grade.
"
GERM 271,"  Women in German Cinema",3,"
Introduction to feminist aesthetics and film theory by the examination of the representation of women in German cinema from expressionism to the present. All materials and discussions in English. Previously offered as GERM/WGST 250.",,"VP, NA.",,"Letter gradeSame as: WGST 271, CMPL 271.
"
GERM 272,"  History of German Cinema",3,"
This course explores the major developments of German cinema. All films with English subtitles. Readings and discussions in English. Previously offered as GERM 275.",,"VP, NA.",,"Letter gradeSame as: CMPL 272.
"
GERM 279,"  Once Upon A Fairy Tale: Fairy Tales and Childhood, Then and Now",3,"
Considers fairy tales from several different national traditions and historical periods against the backdrop of folklore, literature, psychoanalysis, and the socializing forces directed at children. Students may not receive credit for both GERM 279/CMPL 279 and GSLL 54.",,"LA, NA.",,"Letter gradeSame as: CMPL 279.
"
GERM 280,"  20th-Century German Philosophy and Modern Youth Cultures",3,"
This philosophical Approaches course investigates the rich European intellectual foundations on which 20th-century youth culture erected its triumvirate of sex, drugs, and rock music.",,"PH, NA.",,"Letter grade.
"
GERM 281,"  The German Idea of War: Philosophical Dialogues with the Literary and Visual Arts in WWI",3,"
This course brings into dialogue key ideas from seminal German philosophers who anticipated, experienced, or survived the Great War, with contemporary works of German literature, film, and painting. Of concern are the ways philosophy's concepts and art's themes shaped both one another and the idea of war. Readings and discussions in English.",,"PH, NA.",,"Letter grade.
"
GERM 283,"  Freedom, Terror, and Identity:  Modern Philosophy from Kant to Arendt",3,"
This course investigates how philosophical thought motivates, inspires, and generates forms of agency and identity against cultural tendencies that limit or erode freedom. Readings, lecture, and discussion in English.",,"PH, NA.",,"Letter gradeSame as: PWAD 283.
"
GERM 284,"  Translations and Adaptations of German Pop Literature",3,"
By reading a few longer novels over the course of the semester, students will learn how to hone their critical thinking and reading skills, become familiar with a foreign culture, and consider how American culture is reflected back at them in these post-1960 German texts. Readings and discussions in English.",,"LA, CI, NA.",,"Letter grade.
"
GERM 285,"  Contemporary German Literature in Translation",3,"
This class will introduce students to the latest translations of recent novels by both established and up-and-coming authors of the post-1989 German literary world.  Readings and class discussions in English.",,"LA, CI, NA.",,"Letter grade.
"
GERM 286,"  (Un)Welcomed Guests? German Reflections on Exile and Immigration",3,"
This course introduces students to philosophical, literary, and film texts engaging with the ethics of migration. How might the writings by and depictions of refugees throughout German history resonate with the current crisis? The course includes a service learning component, so that students gain experience working with local refugees and are able to use their practical experience to reflect on the theoretical discussions in class. Readings and discussions in English.",,"PH, EE- Service Learning, GL.",,"Letter grade.
"
GERM 290,"  Topics in German Studies",3,"
Examines selected themes in the history, culture, society, art, and/or literature of German-speaking countries. Readings and discussions in English.",,"LA, NA.","May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 4 total completions.","Letter grade.
"
GERM 301,"  Communicating in German",3,"
 Emphasis is on speaking and writing, with shorter readings on contemporary German life to provide subject matter for in-class discussion and regular written compositions. Further goals include improvement of pronunciation and a mastery of grammar.","Prerequisite, GERM 204; permission of the instructor for students lacking the prerequisite.","CI, NA.",,"Letter grade.
"
GERM 302,"  Contemporary German Society",3,"
 Introduction to contemporary German society from a sociological perspective.  The course emphasizes sustained reflection on family structures, class, gender, race, demography, and the political economy of present-day Germany.","Prerequisite, GERM 204; permission of the instructor for students lacking the prerequisite.","SS, CI, NA.",,"Letter grade.
"
GERM 303,"  German Literature and Culture",3,"
 Readings, discussions, and essays in German. An appropriate conclusion to GERM 101-204, it also provides the background for more advanced undergraduate literature and culture courses.","Pre- or corequisite, GERM 301 or 302; permission of the instructor for students lacking the prerequisite.","LA, CI, NA.",,"Letter grade.
"
GERM 304,"  Business German",3,"
 An introduction to the language and culture of German business, commerce, and industry. Special emphasis is given to the acquisition of advanced business-related language skills.","Prerequisite, GERM 204; permission of the instructor for students lacking the prerequisite.","NA.",,"Letter grade.
"
GERM 305,"  Business German",3,"
GERM 304 recommended but not required. As a continuation of GERM 304 the course offers a more advanced treatment of the current German economic and business debates and events while further strengthening relevant German language skills.","Prerequisite, GERM 204; permission of the instructor for students lacking the prerequisite.","NA.",,"Letter grade.
"
GERM 306,"  Introduction to German Translation",3,"
 This course provides a practical and theoretical introduction to translation from and into German. Translation practices will be discussed not only from a linguistic perspective, but also from a cultural and historical perspective.","Prerequisite, GERM 303; permission of the instructor for students lacking the prerequisite.","NA.",,"Letter grade.
"
GERM 310,"  Höfische Kultur/Courtly Culture",3,"
 Introduces students to the rich culture and exciting literature of medieval Germany. Topics include knights and ladies, castles, weaponry, clothing, food, and fantasy. All materials and discussions in German.","Prerequisite, GERM 303; permission of the instructor for students lacking the prerequisite.","LA, NA, WB.",,"Letter grade.
"
GERM 311,"  The Crusades",3,"
 Examination of the medieval notion of the crusade, conflicts and exchange between East and West, and the ambiguous portrayals of the East in Western medieval literature. Readings and discussions in German.","Prerequisite, GERM 303; permission of the instructor for students lacking the prerequisite.","HS, NA, WB.",,"Letter grade.
"
GERM 325,"  Fools and Laughter in Early Modern German Literature",3,"
 Fools are everywhere. Human folly is one of the most distinctive preoccupations of German literature of the early modern period. This course will explore the multiple meanings of the German term "fool" in works from the 15th to the 18th century. Readings and discussions in German.","Prerequisite, GERM 303; permission of the instructor for students lacking the prerequisite.","LA, NA, WB.",,"Letter grade.
"
GERM 330,"  The Age of Goethe",3,"
 German literature from the Enlightenment to Romanticism. Readings include works by Lessing, Goethe, Schiller, Kleist, and the Romantics. Readings and lectures in German.","Prerequisite, GERM 303; permission of the instructor for students lacking the prerequisite.","LA, NA.",,"Letter grade.
"
GERM 349,"  Vienna-Munich-Berlin: Revolutions in German Art c",1900,"
 Investigation of the interconnectedness of turn-of-the-century arts, philosophy, psychoanalysis with focus on Berlin and Vienna. Works by Nietzsche, Hauptmann, Schnitzler, Freud, Hesse, Hofmannsthal/Strauss, Kafka, Rilke, T. Mann. Readings and lectures in German.","Prerequisite, GERM 303; permission of the instructor for students lacking the prerequisite.","LA, NA.",,"Letter grade.
"
GERM 350,"  Modern German Literature",3,"
 Study of major works of German literature from 1890 to the present by such authors as Thomas Mann, Kafka, Brecht, Hesse, Böll, and Grass. Readings and lectures in German.","Prerequisite, GERM 303; permission of the instructor for students lacking the prerequisite.","LA, NA.",,"Letter grade.
"
GERM 367,"  Contemporary German and Austrian Cinema",3,"
 Examines exciting new directions in German and Austrian cinema from the past 20 years.  By analyzing weekly films, students develop skills in film analysis and criticism; read reviews, interviews, and film-theoretical texts; write a film review; and produce a critical essay. Readings and discussions in German. Students may not receive credit for both GERM 267 and 367.","Prerequisite, GERM 303.","VP, CI, NA.",,"Letter grade.
"
