code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
GLBL 87H,"  First Year Seminar: The Migratory Experience",3,"
The seminar will critically analyze the migrant experience in both North America and Europe. Migration is a calculated decision that individuals, families, and groups make in an effort to improve their living conditions. We will adopt an interdisciplinary approach to understanding the motivation of migrants, the nature of the migrant journey to their destination states, and their integration into their new societies.",,"BN, GL.",,"Letter grade.
"
GLBL 88,"  First-Year Seminar: Beg, Borrow, and Steal: The Political Economy of Aid, FDI, and Corruption",3,"
This seminar examines how politics and economics condition different countries' path towards and experience with foreign aid, foreign investment, and corruption. In doing so, the course will examine the effect of political conditions on economic outcomes and the effect of economic conditions on political outcomes.",,"SS, GL.",,"Letter grade.
"
GLBL 89,"  First-Year Seminar: Special Topics",3,"
Special topics course.  Content will vary each semester. Honors version available",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
GLBL 110,"  Global Policy Issues",3,"
Global issues are challenges whose sources, impacts, and solutions extend beyond the borders of any one country. This course introduces students to some of the most pressing issues facing populations around the globe and to possible policy responses. Honors version available",,"SS, GL.",,"Letter gradeSame as: PLCY 110, PWAD 110.
"
GLBL 181,"  Teaching Great Decisions",1,"
Permission of the department. This course gives credit to the Great Decisions coordinating committee for organizing the eight lectures in GLBL 381.",,,"May be repeated for credit. 3 total credits. 3 total completions.","Pass/Fail.
"
GLBL 193,"  Global Studies Internship",1,"
Internship in a sponsoring organization whose work or mission is meaningfully connected to a global studies topic.",,"EE- Academic Internship.","May be repeated for credit. 3 total credits. 3 total completions.","Pass/Fail.
"
GLBL 196,"  Independent Study",112,"
Permission of the instructor. Reading and research on special topics in global studies.",,,"May be repeated for credit. 12 total credits. 4 total completions.","Letter grade.
"
GLBL 210,"  Global Issues and Globalization",3,"
Survey of international social, political, and cultural patterns in selected societies of Africa, Asia, America, and Europe, stressing comparative analysis of conflicts and change in different historical contexts. LAC recitation sections offered in French, German, and Spanish.",,"GL.",,"Letter gradeSame as: ANTH 210, GEOG 210, HIST 210, POLI 210.
"
GLBL 281,"  Phillips Ambassadors Program",3,"
This academic course is mandatory for Phillips Ambassadors. Course open only to Phillips Ambassadors.",,"BN.",,"Letter grade.
"
GLBL 282,"  Global Gap Year Seminar",3,"
This course is mandatory for Global Gap Year Fellows and is only open to Global Gap Year Fellows.",,"EE- Service Learning.",,"Letter grade.
"
GLBL 290,"  Current Topics in Global Studies",0,"
An interdisciplinary approach to the study of the background, current status, and future prospects for one of a series of global issues such as the nuclear age, the environment, technological transition.",,,,"Letter grade.
"
