code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
GREK 101,"  Elementary Classical Greek I",4,"
Comprehensive coverage of basic grammar and syntax in two semesters, preparing students for reading Plato or Xenophon in GREK 203 (and with the instructor's permission, New Testament Greek in GREK 205).",,"FL.",,"Letter grade.
"
GREK 102,"  Elementary Classical Greek II",4,"
Comprehensive coverage of basic grammar and syntax in two semesters, preparing students for reading Plato or Xenophon in GREK 203 (and with the instructor's permission, New Testament Greek in GREK 205).",,"FL.",,"Letter grade.
"
GREK 203,"  Intermediate Greek I",3,"
 Review of fundamentals; reading primarily in selected prose texts, such as Xenophon, Plato, Lysias, or others.","Prerequisites, GREK 101 and 102; permission of the instructor for students lacking the prerequisites.","FL.",,"Letter grade.
"
GREK 204,"  Intermediate Greek II",3,"
 Reading primarily in selected poetic texts, such as Homer, Euripides, or others.","Prerequisite, GREK 203; permission of the instructor for students lacking the prerequisite.","FL.",,"Letter grade.
"
GREK 205,"  Introductory Greek New Testament",3,"
 Readings from the Greek New Testament and related texts, with particular attention to grammar and syntax and consideration of their literary and cultural context.","Prerequisite, GREK 203; permission of the instructor for students lacking the prerequisite.","FL.",,"Letter grade.
"
GREK 221,"  Advanced Greek I",3,"
 Readings from classical Greek poetry or prose, with attention to their syntax, style, and cultural and historical context.","Prerequisites, GREK 204 or 205; permission of the instructor for students lacking the prerequisite.","LA, WB.",,"Letter grade.
"
GREK 222,"  Advanced Greek II",3,"
 Readings from classical Greek poetry or prose, with attention to their syntax, style, and cultural and historical context.","Prerequisite, GREK 221; permission of the instructor for students lacking the prerequisite.","LA, NA.",,"Letter grade.
"
GREK 351,"  Classical Greek Prose",3,"
 Readings in Herodotus, Thucydides, Plato, or other authors, with attention to their style and cultural/historical context. With permission of the department, this course may be repeated for credit.","Prerequisite, GREK 221 or 222; permission of the instructor for students lacking the prerequisite.","LA, NA.","May be repeated for credit. 6 total credits. 2 total completions.","Letter grade.
"
GREK 352,"  Greek Poetry",3,"
 Readings from Homer, Greek tragedy, or other Greek poetry. With permission of the department, this course may be repeated for credit.","Prerequisite, GREK 221 or 222; permission of the instructor for students lacking the prerequisite.","LA, WB.","May be repeated for credit. 6 total credits. 2 total completions.","Letter grade.
"
GREK 395,"  Independent Research in Greek",3,"
This course allows a student to design and execute an independent research project under the supervision of a faculty member.  Although the specifics will be determined on a case-by-case basis by the student and the faculty supervisor, the project will normally involve the careful study of key primary sources and engagement with relevant scholarship, and culminate in a major research paper (around 25 pages) or a suitable equivalent in another format (e.g., website, video). Permission of the Instructor.",,"EE- Mentored Research.","May be repeated for credit. 6 total credits. 2 total completions.","Letter grade.
"
GREK 396,"  Special Readings in Greek Literature",3,"
Prerequisite, GREK 222.",,,"May be repeated for credit. 6 total credits. 2 total completions.","Letter grade.
"
GREK 409,"  Greek New Testament",3,"
Prerequisite, GREK 222; Permission of the instructor for students lacking the prerequisite.",,,,"Letter gradeSame as: RELI 409.
"
GREK 710,"  Greek Prose Composition",3,"
Review of Attic grammar and idiom, exercises in composition, introduction to stylistics.",,,,"Letter grade.
"
GREK 711,"  Readings in Early Greek Poetry",3,"
Selections from Homer, Hesiod, and/or the lyric and elegiac poets of the Archaic period, focusing on works on the M.A. and Ph.D. reading lists.",,,,"Letter grade.
"
GREK 712,"  Readings in Greek Literature of the Fifth Century",3,"
Selections from tragedy, Old Comedy, and/or historiography, focusing on works on the M.A. and Ph.D. reading lists.",,,,"Letter grade.
"
GREK 713,"  Readings in Greek Literature of the Fourth Century",3,"
Selections from philosophy, oratory, historiography, and/or New Comedy, focusing on works on the M.A. and Ph.D. reading lists.",,,,"Letter grade.
"
GREK 722,"  Greek Epigraphy",3,"
",,,,
GREK 744,"  An Introduction To Greek Law",3,"
This class has three goals: familiarizing students with Greek language, introducing them to concepts of Greek law by reading secondary literature, and directing them to current debates in the field.",,,,"Letter grade.
"
GREK 750,"  Homer",3,"
",,,,
GREK 753,"  Greek Lyric Poetry",3,"
",,,,
GREK 755,"  Greek Tragedy",3,"
",,,,
GREK 757,"  Sophocles",3,"
",,,,
GREK 759,"  Greek Comedy",3,"
",,,,
GREK 761,"  Greek Philosophical Literature",3,"
",,,,
GREK 763,"  Greek Historical Literature",3,"
",,,,
GREK 765,"  Thucydides",3,"
",,,,
GREK 767,"  Greek Rhetoric and Oratory",3,"
",,,,
GREK 769,"  Demosthenes",3,"
",,,,
GREK 771,"  Hellenistic Poetry",3,"
",,,,
GREK 775,"  Later Greek Prose",3,"
",,,,
GREK 841,"  Special Reading",3,"
With permission of the department, this course may be repeated for credit.",,,"May be repeated for credit. ","Letter grade.
"
GREK 901,"  Greek Seminiars",3,"
Topics vary from year to year.",,,"May be repeated for credit; may be repeated in the same term for different topics.","Letter grade.
"
GREK 993,"  Master's Research and Thesis",3,"
Fall and spring. Staff.",,,"May be repeated for credit. 
",
GREK 994,"  Doctoral Research and Dissertation",3,"
Fall and spring. Staff.",,,"May be repeated for credit. 
",
