code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
GSLL 50,"  First-Year Seminar: Literary Fantasy and Historical Reality",3,"
The intersection of literary fantasy with historical reality considered in two ways: (1) fantastic-looking tales based on historical reality; and (2) stories describing fantastic situations that actually came true. Previously offered as GERM 50.",,"LA, CI, NA.",,"Letter grade.
"
GSLL 51,"  First-Year Seminar: Stalin and Hitler: Historical Issues in Cultural and Other Perspectives",3,"
Critical issues that dominated the 20th century: WWI and Bolshevik Revolution; rise of fascism, Lenin, Stalin, Hitler and their roles; origins and evolution of Cold War; collapse of Eastern Bloc. Previously offered as GERM 51.",,"HS, GL.",,"Letter grade.
"
GSLL 52,"  First-Year Seminar: Nature and Death: Ecological Crises in German Literature and Film",3,"
This seminar explores ecological crises and their depiction in German literature and film. We will focus on the central themes of nature and death. The texts and films we will discuss will range from early Romantic fairy tales to present-day documentaries and climate-change literature (cli-fi). We will encounter (human) animals in crisis. Together, we will face nuclear catastrophes, flooding, landslides, mass extinction, and climate change. Films with English subtitles; readings and discussions in English.",,"LA, NA.",,"Letter grade.
"
GSLL 53,"  First-Year Seminar: Early Germanic Culture: Myth, Magic, Murder, and Mayhem",3,"
Introduction to pre-Christian culture of Germany, Anglo-Saxon England, and Scandinavia from the late Roman Empire through the Viking Age, as preserved in myths, sagas, charms, inscriptions, and historical documents. Previously offered as GERM 53.",,"HS, NA, WB.",,"Letter grade.
"
GSLL 54,"  First-Year Seminar: Once upon a Fairy Tale: Fairy Tales and Childhood, Then and Now",3,"
Fairy tales from different national traditions and historical periods read through various critical lenses, against a backdrop of changing historical conceptions of the child. Works from Grimm, Anderson, Brontë, Disney, etc. Students may not receive credit for both GSLL 54 and GERM 279/CMPL 279. Previously offered as GERM 54.",,"LA, NA.",,"Letter grade.
"
GSLL 55,"  First-Year Seminar: Fantasies of Rome: Gladiators, Senators, Soothsayers, and Caesars",3,"
Introduces students to study of humanities by examining how the idea of Rome evolved through poetry, history, philosophy, opera, even forgery into a concept that has long outlasted the Romans. Previously offered as GERM 55.",,"HS, CI, WB.",,"Letter grade.
"
GSLL 56,"  First-Year Seminar: Germans, Jews, and the History of Anti-Semitism",3,"
This course seeks to explore the historically difficult position of minorities in the modern world, using the situation of Jews in Germany from the 18th century to the Holocaust as a case study. Previously offered as GERM 56.",,"HS, CI, NA.",,"Letter gradeSame as: JWST 56.
"
GSLL 58,"  First-Year Seminar: Love in the Middle Ages",3,"
Examines development of notion of love from antiquity through Middle Ages to today. Discusses marriage, adultery, violence, power, gender roles. Introduces the study of humanities through reading, analysis, and research. Previously offered as GERM 58.",,"HS, CI, WB.",,"Letter grade.
"
GSLL 59,"  First-Year Seminar: Moscow 1937: Dictatorships and Their Defenders",3,"
Stalinist Soviet Union serves as a case study to examine how dictatorships develop and how they tend to be enveloped in justifications and kept in existence by outside observers. Previously offered as GERM 59.",,"HS, GL.",,"Letter grade.
"
GSLL 60,"  First-Year Seminar: Avant-Garde Cinema: History, Themes, Textures",3,"
Students explore the international history, filmic techniques and cultural meanings of non-narrative cinema of the 20th century. Students also transform in-class discussions and individual essays into video projects. Previously offered as GERM 60.",,"VP.",,"Letter grade.
"
GSLL 63,"  First-Year Seminar: Performing America",3,"
The intersection of performance in a theater space and in everyday life will serve as a springboard to investigating the diversity of contemporary America. Examines how race, class, religion, sexuality, sexual orientation, history, and death are performed in America today. Previously offered as GERM 63.",,"VP.",,"Letter grade.
"
GSLL 65,"  First-Year Seminar: German Heroes? Knights, Tricksters, and Magicians",3,"
This course seeks to explore literary heroes in European literature from the Middle Ages to the Enlightenment. We will discuss concepts of heroism and how those ideas have changed over time. Previously offered as GERM 65.",,"LA, NA.",,"Letter grade.
"
GSLL 67,"  First-Year Seminar: Blackness in the European Imaginary, Europe in the Black Imaginary",3,"
This seminar deals with how encounters between Europe and the African Diaspora have changed notions of race, nation, identity, and belonging in the 20th century. Through engaging with diverse texts--literary, nonliterary, and visual--we will explore the construction of blackness in various national and historical contexts. Previously offered as GERM 67.",,"GL, NA.",,"Letter grade.
"
GSLL 68,"  First-Year Seminar: Intensity, Vitality, Ecstasy: Affects in Literature, Film, and Philosophy",3,"
This course focuses on three powerful affective states that challenge the conception of humans as autonomous, independent beings: intensity, vitality, and ecstasy. We will examine both philosophical and artistic representations of these particular states, focusing on the way in which they both endanger and enrich our experience of the world. Previously offered as GERM 68. Honors version available",,"PH, NA.",,"Letter grade.
"
GSLL 69,"  First-Year Seminar: Laughing and Crying at the Movies: Film and Experience",3,"
Why is it that we cry at the movies? We will focus on the melodrama but also look at comedy and horror to think about emotional responses to films. Students will learn the basics of film analysis, gain an overview of genre cinema, and study approaches to emotion, affect, and the body.",,"VP.",,"Letter grade.
"
GSLL 70,"  First-Year Seminar: Teenage Kicks: Race, Class, and Gender in Postwar Youth Cultures",3,"
This seminar investigates youth cultures from the 1940s to the present in the United States and around the world.  It offers students a history of how different youth cultures developed over time, and consideration of how the constitution of youth cultures has been influenced by factors like race, class, and gender.",,"LA, EE- Mentored Research, GL.",,"Letter grade.
"
GSLL 75,"  First-Year Seminar: The Book of Books: Literature and the Bible",3,"
This seminar examines the influence the Bible had on great works of Western literature and traces this powerful literary tradition through different cultures and historical periods. Readings and discussions in English.",,"LA, NA.",,"Letter grade.
"
GSLL 80,"  Not Just Dogs: Animals in Russian Literature",3,"
This course explores the question of the animal in the works of major Russian writers (Gogol, Dostoevsky, Tolstoy, Turgenev, Chekhov, Platonov).  Among the topics to be discussed are:  The animal as the other; animal and human natures: dominance and submission, ethics of human/animal relations, and the trope of "talking" animals.  Readings and discussions in English.",,"LA, BN.",,"Letter grade.
"
GSLL 81,"  First-Year Seminar: Metaphor and the Body",3,"
All human beings inhabit a physical body, with inherent oppositions of inside/outside, up/down, and left/right. This course examines bodily experience as the wellspring of meaning. Previously offered as SLAV 81.",,"LA.",,"Letter grade.
"
GSLL 82,"  First-Year Seminar: Doctor Stories",3,"
Explores and reflects on the experience and significance of being a doctor in Russia and the United States, analyzing "doctors' stories" presented in fiction, nonfiction, film, and other media. Previously offered as SLAV 82.",,"LA.",,"Letter grade.
"
GSLL 83,"  First-Year Seminar: We, Robots: Identifying with our Automated Others in Fiction and Film",3,"
The word "robot" was invented by Czech author Karel Capek in 1920. Science fiction has had a long-running obsession with robots. Fiction and film dream up robots who have mastered and often surpassed the strange art that is being human. In this class, we will read and watch stories about robots from East and Central Europe, with occasional detours into American culture. Films with English subtitles; readings and discussions in English.",,"LA, BN.",,"Letter grade.
"
GSLL 84,"  First-Year Seminar: Terror for the People: Terrorism in Russian Literature and History",3,"
Terror was used as a political weapon in 19th-century Russia. This seminar introduces the terrorists through their own writings and fictional representations in novels by Fyodor Dostoevsky and Joseph Conrad. Previously offered as SLAV 84.",,"LA, BN, CI.",,"Letter grade.
"
GSLL 85,"  First-Year Seminar: Children and War",3,"
Readings for this seminar include children's wartime diaries, adult memoirs of child survivors, and fiction from Central and Eastern Europe. Previously offered as SLAV 85.",,"LA, GL.",,"Letter grade.
"
GSLL 87,"  First-Year Seminar: Literature Confronting Totalitarianism",3,"
What is totalitarianism?  Can a portrayal of suffering, even death, under a totalitarian state, have artistic value, or must it remain only a political pamphlet? This seminar studies authors who reveal the crimes of totalitarianism, while also showing the moral strength and/or weaknesses of humans victimized by the totalitarian state.",,"LA.",,"Letter grade.
"
