code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
HBEH 396,"  Independent Study in Health Behavior",16,"
Advanced course for undergraduates who wish to pursue a topic or research study in health behavior. To be arranged with faculty. An approved work plan is required.",,,"May be repeated for credit. 6 total credits. 6 total completions.","Letter grade.
"
HBEH 600,"  Social and Behavioral Sciences in Public Health",3,"
This course focuses on social and behavioral science theories, research and interventions aimed at promoting health of individuals, groups, communities and populations. Two lecture hours per week. Enrollment is restricted to junior, senior, graduate, and certificate students in programs or majors within the School of Public Health.",,,,"Letter grade.
"
HBEH 601,"  Principles of Statistical Inference for Health Behavior",3,"
Required preparation, knowledge of basic descriptive statistics. Majors only. Major topics include elementary probability theory, probability distributions, estimation, tests of hypotheses, paired and independent samples t-tests, ANOVA, linear and logistic regression, correlation and chi-squared procedures. SAS, a statistical software package, is used in the course.",,,,"Letter grade.
"
HBEH 609,"  Leadership for Alternative Breaks",2,"
This experiential service-learning course will focus on interpersonal leadership theories, skill development, and application, with an in-depth emphasis on leadership as a behavior (i.e., self in relation to others). Students in this course serve as alternative break leaders through the APPLES Service-Learning Program. Leadership practices learned in this course will be directly applied to their experience as a break leader and to long-term leadership growth and development.",,"EE- Service Learning.",,"Letter grade.
"
HBEH 610,"  Alternative Spring Break",2,"
This course will explore issues, theories, and experiences relevant to social action, coalition building, and social change. The content of this course will be examined by confronting the possibilities and limitations of service and service-learning as it relates to APPLES Alternative Spring Break experiences.",,"EE- Service Learning.",,"Pass/Fail.
"
HBEH 611,"  Philanthropy as a Tool for Social Change",3,"
In this course students learn about and experience the process of awarding grants to local agencies. In addition to participating in the grant-making process, students learn about the nonprofit sector and the philosophy and practice of philanthropy through readings, class exercises, and guest speakers.",,"EE- Service Learning.",,"Letter grade.
"
HBEH 625,"  Injury as a Public Health Problem",3,"
 This course examines unintentional injuries from a public health perspective. The course covers core concepts in injury prevention and control, including the epidemiology of unintentional injury, prevention strategies, behavioral models, child and adolescent injury, messaging framing, the Haddon matrix, and injury surveillance.","Corequisite, EPID 600.",,,"Letter gradeSame as: EPID 625, MHCH 625.
"
HBEH 626,"  Violence as a Public Health Problem",3,"
 This course covers core concepts in violence prevention and control, including the epidemiology of violence, prevention strategies for inter-personal and intra-personal violence, behavioral models that describe power structures that reinforce personal and societal factors affecting self-harm and violence towards others, and violence directed towards children and adolescents.","Prerequisite, EPID 625.",,,"Letter gradeSame as: EPID 626, MHCH 626.
"
HBEH 660,"  Environmental and Science Journalism",3,"
Prepare students to work as environmental and science journalists. The course emphasizes writing skills in all delivery formats and interpreting environmental, science, and medical information for consumers. Honors version available",,,,"Letter gradeSame as: MEJO 560, HPM 550.
"
HBEH 690,"  Special Topics in Health Behavior",13,"
Special topics in health behavior. An experimental course designed for faculty who wish to offer a new course. Content will vary from semester to semester.",,,"May be repeated for credit. 6 total credits. 6 total completions.","Letter grade.
"
HBEH 700,"  Foundations of Health Equity, Social Justice and Human Rights",3,"
This is a required course for masters' students in the EQUITY concentration. The course will expose students to the broad context through which public health practitioners and researchers understand and address public health issues in regards to health equity, social justice and human rights. This course will provide students with an overview of the field, as well as an introduction to concepts and topics that are relevant across the MPH curriculum",,,,"Letter grade.
"
HBEH 703,"  Professional Development Part I",1,"
Topics included in the fall semester focus on knowledge and skills to manage programs. Specific topics include leadership, followership, emotional intelligence, communication, conflict management, negotiation, and participatory decision making. The primary assignment involves a self-assessment and identification of a self-development plan.",,,,"Letter grade.
"
HBEH 704,"  MPH Professional Development Part II",1,"
The spring semester will focus on knowledge and skills to manage programs with an emphasis on personnel and resources management. Specific topics include: supervision, interviewing, salary negotiation, non-profit management, organizational culture, budgeting, and proposal development. Majors only.",,,,"Letter grade.
"
HBEH 705,"  Lesbian, Gay, Bisexual, and Transgender Health: A Population Perspective",3,"
This seminar course explores health challenges faced by LGBT populations. Discussions will span a variety of health behaviors and outcomes, determinants of health, developmental stages, identities, and settings. Students will be able to identify conceptual frameworks and considerations relevant in LGBT health research and practice.",,,,"Letter grade.
"
HBEH 706,"  Effective Training for Global Health",1,"
Students are introduced to adult learning principles, effective training methods, course design and evaluation for international audiences and settings, and characteristics of culturally-competent trainers. Students work in teams to: design a course and activity; facilitate the activity; and provide and incorporate feedback to foster peer sharing and learning.",,,,"Letter grade.
"
HBEH 709,"  U",,"
This course explores the various structural forces that impact the health status and health behaviors of populations of color in the United States.",,,,"Letter grade.
"
HBEH 710,"  Community Capacity, Competence, and Power",3,"
The nature and delineation of participatory action research and its relevance to concepts, principles, and practices of community empowerment. Students learn methods (such as photovoice) through learning projects.",,,,"Letter grade.
"
HBEH 715,"  Communication for Health-Related Decision Making",2,"
Course provides foundation and skills to understand and improve decision making that affects people's health. It teaches theoretical basis and evidence-based applications of health-related decision making.",,,,"Letter grade.
"
HBEH 720,"  Leading for Racial Equity: Examining Structural Issues of Race and Class",2,"
This multidisciplinary seminar prepares participants from graduate programs and communities to address the challenges of racial, ethnic, and tribal equity. Co-instructors promote applied leadership through: a firm definition and analysis of racism, power, and privilege; historic and current structures that sustain inequities; and anti-racism tools and resources for system change.",,,,"Letter grade.
"
HBEH 725,"  Injury as a Public Health Problem",3,"
 This course considers the causes and consequences of traumatic injury within developmental, social, and economic contexts, and dilemma in injury prevention. Injuries associated with transportation, violence, and the home and occupational environments are included. Three lecture hours per week.","Prerequisite, EPID 600.",,,"Letter gradeSame as: MHCH 725.
"
HBEH 726,"  Adolescent Health",3,"
Topics covered include the epidemiology of health problems, developmental issues, health services, and psychosocial influences on adolescent problem behaviors. Course materials are useful for research generation and practical application. Three seminar hours per week.",,,,"Letter gradeSame as: MHCH 726.
"
HBEH 727,"  Patient Advocacy",3,"
Explore competing definitions of patient advocacy. Topics related to ethics, policy, and law will be covered in the context of what have often been termed patient rights and responsibilities. Three lectures hours per week.",,,,"Letter grade.
"
HBEH 730,"  Theoretical Foundations of Health Behavior",3,"
This course will provide an overview of social and behavioral science theories and frameworks that are currently used to: 1) understand health related behaviors; and 2) guide development of interventions and policies designed to prevent, reduce or eliminate major public health problems. We will use an ecological framework to examine theories at multiple levels of the social ecology, focusing on applications that will impact health at the population level.",,,,"Letter grade.
"
