code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
HIST 50,"  First-Year Seminar: Time and the Medieval Cosmos",3,"
This course introduces first-year students to the basic motions of the solar system as viewed from the Earth along with the mechanical and mathematical models used to reproduce them, while exploring the history of medieval and early modern education, theology, and natural philosophy.",,"HS.",,"Letter gradeSame as: PHYS 50.
"
HIST 51,"  First-Year Seminar: Latin American Revolutions",3,"
This course explores the problem of revolutionary upheaval in Latin American history, from the revolutionary wars of the independence era (1810-1825) to revolutionary episodes of the 20th century.",,"HS, BN.",,"Letter grade.
"
HIST 52,"  First-Year Seminar: Conflicts over Israel/Palestine",3,"
This course will familiarize students with the background of this ongoing conflict. It will begin with the growth of political Zionism in Europe, continue through early Zionist settlement, the United Nations partition and resulting war, and the history of the conflict through the present.",,"HS, BN.",,"Letter grade.
"
HIST 53,"  First-Year Seminar: Traveling to European Cities: American Writers/Cultural Identities, 1830-1930",3,"
This course examines the experiences of American writers who traveled and lived in European cities during the era between 1830 and 1930 with the goal of developing historical insights into these writers' fascination with famous European cities and the experience of travel.",,"HS, NA.",,"Letter grade.
"
HIST 55,"  First-Year Seminar: Preventing Broken Hearts in North Carolina: History and Health Care in the South",3,"
How do scientists and humanists approach complex problems and work together to solve them? Team-taught by a doctor and a historian, this class explores how our state's health care system changed over the last fifty years, how those changes have affected people, and how history shapes both doctors and patients.",,"HS, EE- Mentored Research.",,"Letter grade.
"
HIST 59,"  First-Year Seminar: Rebuilding the American South: Work and Identity in Modern History",3,"
This course examines how class experiences and debates over the meaning of work have shaped the postbellum Southern United States. Students will analyze how the South's technological innovation, politics, urban planning, consumer economy, and social movements have impacted the racial, gender, and sexual identities of its people.",,"HS, US.",,"Letter grade.
"
HIST 62,"  First-Year Seminar: Nations, Borders, and Identities",3,"
This seminar will explore the ways people have identified themselves in relation to specific places, nation-states, and foreign "others." Examples may include the Kurdish nationalists, Islamist political parties, the Eritrean independence movement, and the Basque separatists.",,"HS, BN.",,"Letter grade.
"
HIST 63,"  First-Year Seminar: Water, Conflict, and Connection: the Middle East and Ottoman Lands",3,"
Water has played pivotal roles in the histories, societies, and politics of Middle Eastern peoples. This course will survey the role of water in religious and cultural practices, technological innovations that facilitate agriculture, public health issues arising from water-borne diseases, and the contribution of water scarcity to cross-border political conflicts. Honors version available",,"BN, GL.",,"Letter grade.
"
HIST 64,"  First-Year Seminar: Gorbachev: The Collapse of the Soviet Empire and the Rise of the New Russia",3,"
Examines Mikhail Gorbachev and the astonishing transformations that occurred while he governed the Soviet Union between 1985 and 1991. Students will explore post-Soviet Russia's efforts at negotiating a new set of relations with the rest of the world and how Russia continues to shape our own destiny.",,"HS, BN.",,"Letter grade.
"
HIST 66,"  First-Year Seminar: Film and History in Europe and the United States, 1908-1968",3,"
This course will examine major films in Europe and America from 1908 to 1968 in terms of how they shaped the medium and reflected important social trends.",,"HS, GL, NA.",,"Letter grade.
"
HIST 70,"  First-Year Seminar: Seeing History in Everyday Places: Chapel Hill as a Case Study",3,"
Our homes, our workplaces, our towns, our natural areas-all are products of history, shaped by people, rich with meaning and full of surprises. Using Chapel Hill as our living laboratory, we will explore new ways of understanding the past and how it shapes the world we live in now.",,"HS, CI, EE- Field Work.",,"Letter grade.
"
HIST 72,"  First-Year Seminar: Women's Voices: 20th-Century European History in Female Memory",3,"
The course examines 20th-century European history through the lenses of women's autobiographical writings. It explores women's voices from different generational, social, and national backgrounds and asks what formed their memories. Honors version available",,"HS, CI, NA.",,"Letter grade.
"
HIST 74,"  First-Year Seminar: Emperors, Courts, and Consumption: The Mughals of India",3,"
Through a study of autobiographical texts, contemporary accounts, objects, architecture and later representations in scholarly works, films and novels, we will undertake a thematic investigation of the Mughal Empire (1526-1858), focusing on the period of the first six Mughal rulers of India.",,"HS, BN.",,"Letter grade.
"
HIST 76,"  First-Year Seminar: Understanding 1492",3,"
This seminar will examine one of the most challenging topics in American and Latin American history:  how to understand the conquest (la conquista) of Latin America by the Spaniards after the arrival of Columbus after 1492.",,"HS, WB.",,"Letter grade.
"
HIST 79,"  First-Year Seminar: Coming of Age in 20th Century America",3,"
We will employ coming of age autobiographies to explore developments in the US during the 20th century.  In these autobiographies the authors focus primarily on the periods of childhood and adolescence into young adulthood.  We will consider many issues including:  race, racism, immigration, religion, social class, and gender.",,"HS, NA, US.",,"Letter grade.
"
HIST 81,"  First-Year Seminar: Diaries, Memoirs, and Testimonies of the Holocaust",3,"
In ghettos and hiding places during the Holocaust, European Jews and other victims of Nazism recorded their experiences in diaries and other chronicles. Students will read diaries and memoirs as well as listen to testimonies to understand Holocaust history through life narratives, exploring tensions between history and memory.",,"HS, NA.",,"Letter grade.
"
HIST 83,"  First-Year Seminar: African History through Popular Music",3,"
Examines popular music as a way of understanding African history from the 1930s to the present. We will read background materials on African historical developments and musical styles, do a lot of listening, and try to learn what African musicians tell us about their societies.",,"HS, BN.",,"Letter grade.
"
HIST 84,"  First-Year Seminar: Monsters, Murders, and Mayhem in Microhistorical Analysis: French Case Studies",3,"
Explores the distinctive features of microhistorical approaches to the past and the attractions of microhistory for the practicing historian. Students will read a rich sampling of recent work (much of it featuring monsters, murder, and mayhem) and try their hand at writing their own microhistories. Honors version available",,"HS, NA.",,"Letter grade.
"
HIST 85,"  First-Year Seminar: What Concentration Camp Survivors Tell Us",3,"
This is a seminar about reading so as to learn as much as we can from individuals expressing the inexpressible. It asks what (if anything) only camp survivors can tell us about the experience and what we can learn by exploring the effects of this experience on survivors. Honors version available",,"HS, NA.",,"Letter grade.
"
HIST 89,"  First Year Seminar:  Special Topics",3,"
Special topics course.  Content will vary each semester. Honors version available",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
HIST 101,"  A History of Lies, Conspiracies, and Misinformation",3,"
This course, geared towards undergraduate students at the beginning of their college careers, will give students the tools needed to critically evaluate information. Texts from different historical periods, newsreels and propaganda movies, and a variety of different websites will be examined and deconstructed to understand how content can be presented or manipulated.",,"HS, CI.",,"Letter grade.
"
HIST 102,"  Introduction to Major Problems in U",,"
This course explores major events and trends in U.S. history from the pre-colonial period to the 21st century. It offers students an introduction to some of the most important developments in the nation's past and the tools to understand them. We will examine the evolution of political participation and discourse, fundamental changes and continuities in economic life, and the rise and fall of numerous social movements.",,"HS, NA.",,"Letter grade.
"
HIST 103,"  Introduction to Major Problems in Modern World History",3,"
This survey course explores major events and trends in global history from 1200 to the present. We will examine societies across six continents while focusing on several key themes and developments, including social and economic diversity and transformation; exchange, conflict, and evolution within and between societies; the rise and fall of imperial projects; and the parameters and consequences of global interconnectedness across time.",,"BN, GL.",,"Letter grade.
"
HIST 104,"  Introduction to Major Problems in European History",3,"
This course explores major events and themes in European history from the Early Modern period through the present. We will focus our attention on several key religious, social, and political developments, including the growth of the modern state and economy, the history and legacy of European imperialism, the rise and fall of various intellectual and social movements and their effects on society, and the making and unmaking of identities based on culture, nation, and region.",,"GL, NA.",,"Letter grade.
"
HIST 105,"  Empires in World History",3,"
This course explores and compares premodern and/or modern empires on a global scale, inquiring into rulers' strategies and subject peoples' experiences. Empires studied will depend on instructor's area of expertise, but may include Greeks, Romans, Chinese, Incas, West Africans, Mughals, and Ottomans, among others. Previously offered as HIST 345.",,"HS, WB.",,"Letter grade.
"
HIST 106,"  Ancient History",3,"
A topical survey of the ancient world, especially the civilization of the Near East, Greece, and Rome.",,"HS, NA, WB.",,"Letter grade.
"
HIST 107,"  Medieval History",3,"
A survey of Western Europe and the Mediterranean World, 300-1500.",,"HS, NA, WB.",,"Letter grade.
"
HIST 108,"  Introduction to Early Medieval History 500-1050",3,"
An introductory-level survey of early medieval political, cultural, religious and social history between ca.500 and ca.1050 with a geographical focus on Europe. This course also considers eastern Christianity and Islam, as well as parts of Asia, for comparison. Throughout the course students will closely analyze the evidence for the period.",,"HS, WB.",,"Letter grade.
"
HIST 110,"  Introduction to the Cultures and Histories of Native North America",3,"
An interdisciplinary introduction to Native American history and studies. The course uses history, literature, art, and cultural studies to study the Native American experience.",,"HS, NA, US.",,"Letter gradeSame as: AMST 110.
"
HIST 111,"  Global Food History",3,"
This course is designed to be a thematic introduction to the study of global food history, from ancient times to the present, with particular emphasis on the food-ways of non-Western regions, such as Afro-Caribbean, Chinese, Indian, Japanese, and Mexican.",,"HS, BN.",,"Letter grade.
"
HIST 120,"  Sport and American History",3,"
A survey of American sport history, from the colonial era to the present. Course will explore how sports have reflected larger trends in American life and analyze the different ways sports have influenced American history and shaped the world we occupy today.",,"HS, US.",,"Letter grade.
"
HIST 121,"  History of Religion in North America",3,"
Surveys religious thought and practice in the United States and Canada from the colonial era to the present day. Themes include continuities and changes in expressing ancient faiths; the relationship between religion and politics; the intersection of theology with everyday life; and evolving notions of religious truth and toleration.",,"HS, US.",,"Letter grade.
"
HIST 124,"  United States History through Film",3,"
Explores the history of the United States through films made about various historical eras. For each film, the instructor will lecture on the time period(s), the class will read relevant primary and secondary sources, and then the class will watch and discuss the film.",,"HS, NA.",,"Letter grade.
"
HIST 125,"  The Social History of Popular Music in 20th-Century America",3,"
Explores the relationship between popular music and major developments in 20th-century America. The course's overarching focus is how popular music has simultaneously unified and divided the nation.",,"HS, NA.",,"Letter grade.
"
HIST 127,"  American History to 1865",3,"
A survey of various aspects of American development during the colonial, revolutionary, and national periods, with stress upon major themes and interpretations.",,"HS, NA, US.",,"Letter grade.
"
HIST 128,"  American History since 1865",3,"
A survey of various aspects of American development during a century of rapid industrial, social, political, and international change, with stress upon major themes and interpretations.",,"HS, NA.",,"Letter grade.
"
HIST 129,"  Modern America, 1980-2020",3,"
This course explores the history of the United States in the very recent past. Through a sustained analysis of key political, cultural, economic, and social developments, students will gain a deeper understanding of the complex issues and problems that shape American life today.",,"NA, US.",,"Letter grade.
"
HIST 130,"  Modern African History",3,"
An overview of major developments in sub-Saharan African history since the late 19th century, focusing on colonialism, nationalism and decolonization, social change, and current issues, and drawing upon fiction, film, and primary sources.",,"HS, BN.",,"Letter grade.
"
HIST 131,"  Southeast Asia to the Early 19th Century",3,"
The history of Southeast Asia from prehistory to "high imperialism." Long-term political, economic, social, and religious developments, including Indianization, the impact of China, and the first contacts with Europeans.",,"HS, BN, WB.",,"Letter gradeSame as: ASIA 131.
"
HIST 133,"  Introduction to Chinese History",3,"
Chinese history from its beginnings to the present, organized around the central theme of how the identity of China and 'Chineseness' was created.",,"HS, BN.",,"Letter gradeSame as: ASIA 133.
"
HIST 134,"  Modern East Asia",3,"
Comparative and interdisciplinary introduction to China and Japan in the 19th and 20th centuries, focusing on impact of the West, nation building, industrialization, and evolution of mass society.",,"HS, BN.",,"Letter gradeSame as: ASIA 134, PWAD 134.
"
HIST 135,"  History of the Indian Subcontinent to 1750",3,"
An introduction to major political, religious, social, and cultural events from 3500 BCE to 1750 CE with a focus on Hindu, Muslim, and Buddhist groups before British colonial rule.",,"HS, BN, WB.",,"Letter gradeSame as: ASIA 135.
"
HIST 136,"  History of India, Pakistan, and Bangladesh: South Asia since 1750",3,"
This course is an introduction to modern India, Pakistan, and Bangladesh. We will investigate major political, social, economic, and cultural issues from 1750 to the present.",,"HS, BN.",,"Letter gradeSame as: ASIA 136.
"
HIST 137,"  Muhammad to Malcolm X: Islam, Politics, Race, and Gender",3,"
This course provides an introduction to the history of the Islamic world from the time of the Prophet Muhammad to the present day. It seeks to expose students to key themes, individuals, and movements that have represented Islamic thought and practice, and enable students to engage directly with intra-Islamic debates.",,"HS, GL.",,"Letter grade.
"
HIST 138,"  History of Muslim Societies to 1500",3,"
A broad, comprehensive, and interdisciplinary introduction to the traditional civilization of the Muslim world. Students may not receive credit for both HIST 138/ASIA 138 and ASIA 180/RELI 180.",,"HS, BN, WB.",,"Letter gradeSame as: ASIA 138.
"
HIST 139,"  HIstory of Muslim Societies since 1500",3,"
A broad interdisciplinary survey of the later Islamic empires since the 15th century and their successor societies in the modern Muslim world. Students may not receive credit for both ASIA 139/HIST 139 and ASIA 181/RELI 181",,"HS, BN.",,"Letter gradeSame as: ASIA 139.
"
HIST 140,"  The World since 1945",3,"
This introduction to the contemporary world examines the Cold War and its international aftermath, decolonization, national development across a variety of cases, and trends in the global economy.",,"HS, BN, GL.",,"Letter grade.
"
HIST 141,"  Globalization Since 1500",3,"
Course explores how commodities have connected people and places around the world since 1500. Lectures, readings, and recitations focus on tracing the histories of specific commodities (e.g., sugar, opium, and uranium) across different contexts. Significant sub-themes include the history of business, international human rights, and science and technology.",,"HS, BN.",,"Letter grade.
"
HIST 142,"  Latin America under Colonial Rule",3,"
Social and economic development under colonial rule, especially in Mexico and Peru.",,"HS, BN.",,"Letter grade.
"
HIST 143,"  Latin America since Independence",3,"
A general introduction to Latin American society, culture, politics, and economics from a historical perspective. Focus will be on the events of the past two centuries.",,"HS, BN.",,"Letter grade.
"
HIST 144,"  Women in the United States from Settlement to Present",3,"
This course will survey the history of women, gender relations, and notions of sex difference in the United States from the colonial era to present times, with a special emphasis on women's varied experiences and expectations across divisions of class, race, and region. Key themes will include work, politics, citizenship, reproduction, sociability, and sexuality.",,"HS, US.",,"Letter gradeSame as: WGST 144.
"
HIST 145,"  Latin American Indigenous Peoples",3,"
This course surveys the history of Latin American indigenous peoples from the conquest to the present. Focus is on indigenous struggles and survival strategies. Previously offered as HIST 527.",,"HS, BN.",,"Letter grade.
"
HIST 151,"  European History to 1650",3,"
European history from Greek antiquity to the mid-17th century.",,"HS, WB.",,"Letter grade.
"
HIST 152,"  European History since 1650",3,"
European history from the middle of the 17th century to the present.",,"HS, NA.",,"Letter grade.
"
HIST 153,"  From the Bible to Broadway: Jewish History to Modern Times",3,"
This class surveys the history of the Jews from ancient to modern times. It focuses on the development of Jewish religion, culture identity, and politics in Jewish communities in the Western, Atlantic and Middle Eastern Worlds. It also explores the development of antisemitism and anti-Jewish violence.",,"HS, WB.",,"Letter gradeSame as: JWST 153.
"
HIST 156,"  The British Empire, 1815-1994",3,"
This course explores the modern empire from slavery and abolition, through Independence and the Cold War. Focusing on parts of Africa, Asia, the Caribbean, and the British Isles, we will consider issues of race, gender, religion, wealth inequality, war, and anti-colonialism.",,"HS, BN.",,"Letter grade.
"
HIST 158,"  Early Modern European History, 1450-1815",3,"
Intellectual and social structures, dynamics of social and political change, principles of authority, and bases of revolution from the Reformation to the French Revolutionary and Napoleonic period.",,"HS, NA, WB.",,"Letter grade.
"
HIST 159,"  From War to Prosperity: 20th-Century Europe",3,"
A critical overview of 20th-century European history, with particular attention to the constant ethnic, religious, social, economic, and cultural struggles (including Holocaust, Cold War) in various subunits of the old continent.",,"HS, NA.",,"Letter gradeSame as: EURO 159.
"
HIST 161,"  Russia Becomes an Empire",3,"
Between 862 and 1861 Russia expanded from agrarian settlements into Europe's most formidable empire. Subjugated by Mongols in 1240, it recovered and absorbed territories from Poland to Alaska. Conquest came on the backs of an enserfed peasantry, whose emancipation began the next chapter in Russia's history.",,"BN, WB.",,"Letter grade.
"
HIST 162,"  Russia under the Last Tsars and Soviet Commissars",3,"
This course surveys fundamental issues affecting the Russian/Soviet/post-Soviet multinational empire in the last century and a half, emphasizing regime failures, revolutions, wars, and ethnic challenges.",,"HS, BN.",,"Letter grade.
"
HIST 163,"  Modern Central Asia",3,"
Provides an understanding of significant contemporary developments in Central Asia--9/11, the Taliban, oil and gas geopolitics, Communism and its collapse, the rise of China, Islamism, and global terrorism--through an analysis of themes in the region's history, with a focus on the 19th and 20th centuries.",,"HS, BN.",,"Letter grade.
"
HIST 164,"  Victorian Britain: From Slavery to South African War",3,"
This course explores political, social, and cultural history from the Napoleonic Wars through the South African War. Surveys the history of the United Kingdom in the context of Britain's imperial expansion, including slavery, reform, women's suffrage, social movements, and Victorian wealth and poverty.",,"HS, NA.",,"Letter grade.
"
HIST 165,"  20th Century Britain: from the Great War to Brexit",3,"
This course explores political, social, and cultural history from 1900 to the present: the two world wars, the declining empire, the extension of parliamentary democracy, the new welfare state, and a deeply diverse racial, ethnic, and religious society where social and economic differences remain. Who is British?",,"HS, NA.",,"Letter grade.
"
HIST 166,"  History of Afghanistan",3,"
The American occupation of Afghanistan after 9/11/2001, the longest war in United States history, continues a long pattern of great empires attempting to control the country. This course asks why it has been challenging for Afghanistan's rulers, both foreign and domestic, to build a centralized state in an historically decentralized society.",,"HS, BN.",,"Letter grade.
"
HIST 174H,"  Honors Seminar in African, Asian, and Middle Eastern History",3,"
Examines selected themes in the history of Africa, Asia, and/or the Middle East. Theme(s) chosen by the instructor. Possible subjects: colonialism, resistance movements, religion, gender, economic transformations.",,"HS, BN.",,"Letter grade.
"
HIST 175H,"  Honors Seminar in Latin American History",3,"
Examines selected themes in the history of Latin America. Theme(s) chosen by the instructor. Possible subjects: indigenous societies, colonialism, religion, the family, economic transformations.",,"HS, BN.",,"Letter grade.
"
HIST 176H,"  Honors Seminar in Russian, Eurasian, and Eastern European History",3,"
Examines selected themes in the history of Russia, Eurasia, and/or Eastern Europe. Theme(s) chosen by the instructor. Possible subjects: imperialism, revolution, the Soviet Union, war and society.",,"HS, BN.",,"Letter grade.
"
HIST 177H,"  Honors Seminar in Early European History",3,"
Examines selected themes in the history of Europe from ancient to early modern times. Theme(s) chosen by the instructor. Possible subjects: legacies of antiquity, philosophy and religion, feudal society, gender, and power.",,"HS, NA, WB.",,"Letter grade.
"
HIST 178H,"  Honors Seminar in Modern European History",3,"
Examines selected themes in the history of modern Europe. Theme(s) chosen by the instructor. Possible subjects: effects of industrialism, nationalism, history of ideas, consumer society, modern revolutions, imperialism.",,"HS, NA.",,"Letter grade.
"
