code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
HNUR 101,"  Elementary Hindi-Urdu I",4,"
Introduction to modern spoken and written Hindi-Urdu. Speaking and listening practice, basic sentence pattern exercises, grammar fundamentals, the writing system, and creative applications exploring South Asian culture are included.",,"FL.",,"Letter grade.
"
HNUR 102,"  Elementary Hindi-Urdu II",4,"
 Continued instruction in modern spoken and written Hindi-Urdu. Sessions include speaking and listening drills, skits, role-play, and discussion of video and audio materials.","Prerequisite, HNUR 101.","FL.",,"Letter grade.
"
HNUR 203,"  Intermediate Hindi-Urdu I",4,"
 Second year of instruction in modern spoken and written Hindi-Urdu, including situational speaking and listening practice, complex sentence pattern exercises and idioms, vocabulary building, intermediate grammar topics, and reading exercises.","Prerequisite, HNUR 102.","FL.",,"Letter grade.
"
HNUR 204,"  Intermediate Hindi-Urdu II",4,"
 Continued second year of instruction in modern spoken and written Hindi-Urdu. Students practice writing short essays and letters and continue to develop mature oral competency in Hindi-Urdu.","Prerequisite, HNUR 203.","FL.",,"Letter grade.
"
HNUR 220,"  Introduction to the Hindi Script (Devanagari)",1,"
In this course, students will master the Hindi alphabet, the Sanskrit-based Devanagari writing system. This course complements the regular Hindi-Urdu language sequence. Prior knowledge of spoken Hindi or Urdu is required; entry to this class is by placement only.",,,,"Letter grade.
"
HNUR 221,"  Introduction to the Urdu Script (Nastaliq)",1,"
This course introduces the Urdu alphabet (Nastaliq). Prior knowledge of spoken Urdu or Hindi is required; entry to this class is by placement only.",,,,"Letter grade.
"
HNUR 305,"  Advanced Hindi-Urdu I",3,"
 Third year of instruction in spoken and written Hindi-Urdu with an emphasis on the reading and discussion of short stories, prose articles, and interviews.","Prerequisite, HNUR 204.","LA, BN.",,"Letter grade.
"
HNUR 306,"  Advanced Hindi-Urdu II",3,"
 Third year of instruction in spoken and written Hindi-Urdu with an emphasis on the reading and analysis of poetry.","Prerequisite, HNUR 204.","LA, BN.",,"Letter grade.
"
HNUR 407,"  South Asian Society and Culture",3,"
 Advanced language course introducing authentic readings on cultural and social topics relating to modern South Asian society. Texts are supplemented by case studies and interviews. Course is taught in Hindi-Urdu and provides further training in speaking and writing. Participation in extracurricular activities is encouraged.","Prerequisites, HNUR 305 and 306.","BN.",,"Letter grade.
"
HNUR 408,"  South Asian Media and Film",3,"
 This advanced language course introduces students to authentic film and visual and print media from modern South Asia, analyzed within historical, social, and aesthetic contexts. Course is taught in Hindi-Urdu with further training in speaking and writing. Participation in relevant extracurricular activities is encouraged.","Prerequisites, HNUR 305 and 306.","BN.",,"Letter grade.
"
HNUR 409,"  Sex and Social Justice in South Asia",3,"
 This seminar explores the issues of gender, sexuality, and social justice in modern India and Pakistan. The course uses a variety of media sources, including monographs, films, television shows, documentaries, newspapers, and magazines.","Prerequisites, HNUR 305 and 306.","SS, BN.",,"Letter grade.
"
HNUR 410,"  Seminar on the Urdu-Hindi Ghazal",3,"
 Ghazal is the most important genre of Urdu-Hindi poetry from the 18th century to the present. This course, taught in Hindi-Urdu, concerns the analysis and interpretation of ghazals.","Prerequisite, HNUR 305 and 306.","LA, BN.",,"Letter grade.
"
HNUR 411,"  Health and Medicine in South Asia",3,"
 This seminar explores approaches to health and medicine in India and Pakistan, and contemporary public health challenges in South Asia and diaspora communities in North Carolina. Also addresses "alternative" systems of medical thought in South Asia including Ayurveda, Unani Medicine, Yoga, Naturopathy, and Homeopathy.","Prerequisites, HNUR 305 and 306.","SS, BN.",,"Letter grade.
"
HNUR 490,"  Topics in Hindi-Urdu Literature and Language",3,"
 Course may be repeated for credit as topic changes. Possible areas of study include Indian film and literature, Hindi-English translations, the Indian diaspora, Hindi journalism, and readings in comparative religions.","Prerequisites, HNUR 305 and 306.",,"May be repeated for credit. 12 total credits. 4 total completions.","Letter grade.
"
HNUR 496,"  Independent Readings in Hindi-Urdu",13,"
Permission of the department. For the student who wishes to create and pursue an independent project in Hindi-Urdu under the supervision of a selected instructor. Maximum three credit hours per semester.",,,"May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 4 total completions.","Letter grade.
"
HNUR 592,"  Religious Conflict and Literature in India",3,"
Historical causes of violence between Hindus and Muslims in modern India. Short stories, poetry, and novels in translation are used to explore how conflicts over religious sites, religious conversion, image worship, and language contributed to a sense of conflicting religious identity.",,"LA, BN.",,"Letter gradeSame as: RELI 592.
"
