code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
HPM 310,"  Introduction to Law and Ethics in Health Management",3,"
 An introduction to health law and ethics for health administration undergraduate seniors.","Prerequisite, HPM 350.",,,"Letter grade.
"
HPM 320,"  Introduction to Strategic Planning and Marketing",3,"
An introduction to the development and implementation of strategic planning and marketing processes in health care organizations.",,,,"Letter grade.
"
HPM 330,"  Introduction to Health Organization Leadership, Management, and Behavior",3,"
Team-based service learning in a hospital, health center, or other organization to facilitate learning about leading teams, organizations, partnerships, and global initiatives. Change, conflict, human resources, and other topics are addressed through readings, cases, reflections, and guest practitioners.",,,,"Letter grade.
"
HPM 340,"  Foundations of Health Care Financial Management",3,"
Basic methods and techniques in financial management of health care programs, including financial statement analysis, cost determination and allocation, pricing of services, and budgeting.",,,,"Letter grade.
"
HPM 341,"  Information Systems, Technology, and Tools",3,"
The purpose of this course is to enhance students' understanding of information systems and technology in health care, specifically focusing on the limitations of such technology.  Students will be introduced to MS Excel and MS Access and shown how tools within these programs can help to mitigate some of the limitations.",,,,"Letter grade.
"
HPM 350,"  Introduction to Health Services Systems",3,"
HPM 350 and 352 provide an overview of the United States health system. HPM 350 reviews the organization, management, and financing of the United States health system and the resources required to provide health services. Both courses introduce students to careers in the field of health policy and management.",,"US.",,"Letter grade.
"
HPM 351,"  Politics, Public Health, and Health Policy",3,"
This course explores the politics of public health and health care policy in the United States, with a focus on current issues and controversies.",,,,"Letter grade.
"
HPM 352,"  Introduction to Health Services Systems II",3,"
HPM 352, in conjunction with HPM 350, provides an overview of the United States health services system, including such topics as quality of care and managed care. The course also introduces students to careers in the field of health policy and management and helps students develop necessary communication skills.","Prerequisite, HPM 350.",,,"Letter grade.
"
HPM 393,"  Field Training in Health Policy and Management",2,"
Restricted to HPM B.S.P.H. students. Required of all B.S.P.H. students in HPM. The first six weeks of a supervised 12-week administrative internship in a health care organization.",,"EE- Field Work.","May be repeated for credit; may be repeated in the same term for different topics; 4 total credits. 2 total completions.","Letter grade.
"
HPM 420,"  Community and Public Health Security: Disasters, Terrorism, and Emergency Management",3,"
This course examines systems for emergency management at federal, state, and local levels. The roles of emergency management, health services, and public health in disaster management are also reviewed. Every other week, evening online sessions required with instructors.",,,,"Letter grade.
"
HPM 422,"  Emergency Management I: Analytic Methods",3,"
Introduction of analytical tools to assess, evaluate, map, and investigate disasters (including biological outbreaks). These tools will be used to improve planning and evaluation of disaster management programs. Every other week, evening online sessions required with instructors.",,,,"Letter grade.
"
HPM 423,"  Emergency Management II: Disaster Management",3,"
Explores issues of preparedness, response, recovery, mitigation, and research in disaster management. Students will participate in evacuation decision making, volunteer management, and the development of a disaster exercise. Every other week, evening online sessions required with instructors.",,,,"Letter grade.
"
HPM 435,"  Marketing for Not-for-Profit Organizations",3,"
Permission of the instructor. Application of basic principles of marketing and marketing decision models to problems in health care and other not-for-profit organizations.",,,,"Letter grade.
"
HPM 472,"  Program Evaluation",3,"
Concepts and methods of the program evaluation paradigm as applied in health administration.",,,,"Letter grade.
"
HPM 496,"  Readings in Health Policy and Management",0,"
Directed readings or research. Written reports are required.",,,"May be repeated for credit. 6 total credits. 2 total completions.","Letter grade.
"
HPM 550,"  Environmental and Science Journalism",3,"
Prepare students to work as environmental and science journalists. The course emphasizes writing skills in all delivery formats and interpreting environmental, science, and medical information for consumers. Honors version available",,,,"Letter gradeSame as: MEJO 560, HBEH 660.
"
HPM 560,"  Media and Health Policy",3,"
Introduces students to news media organizations and their role in health policy development. Students will learn how to evaluate media content and strategies and to effectively communicate via mass media.",,,,"Letter grade.
"
HPM 563,"  Advanced Health Policy Analysis",3,"
The course is for master's and doctoral students interested in health policy. The course is intended to go beyond an introduction to policy analysis to a discussion and exploration of theories of policy analysis in a context of competing democratic ethics and values.",,,,"Letter grade.
"
HPM 565,"  Global Health Policy",3,"
Coursework will focus on public policy approaches to global health, employing interdisciplinary methodologies to understand selected public health policies, programs, and interventions. For students who have a basic understanding of public health.",,"GL.",,"Letter gradeSame as: PLCY 565.
"
HPM 571,"  Health and Human Rights",3,"
Course focuses on rights-based approaches to health, applying a human rights perspective to selected public health policies, programs, and interventions. Students will apply a formalistic human rights framework to critical public health issues, exploring human rights as both a safeguard against harm and a catalyst for health promotion.",,"PH, GL.",,"Letter gradeSame as: PLCY 570.
"
HPM 600,"  Introduction to Health Policy and Management",3,"
This course provides an overview of the United States health care system. Students will explore the system's organization, financing, management, resources, and performance. For each topic, they will analyze relevant legislation and discuss current issues. Students will develop skills in policy research and analysis, health care system evaluation, and basic financial literacy.",,,,"Letter grade.
"
HPM 601,"  Issues in Health Care",1,"
Lectures on current topics in health care.",,,,"Letter grade.
"
HPM 602,"  Concurrent Practice",13,"
Permission of the program director. Supervised activities in an approved health organization, to include one or more specific projects, approved by HPM faculty member and directed by an approved preceptor/mentor in the organization.",,,,"Letter grade.
"
HPM 605,"  Practice Application Journaling I",0,"
This course is the first of six field-based Journal Practica in which students monitor their learning processes, identify where knowledge and skills learned in courses are helpful and relevant to areas of their professional responsibility, and apply that knowledge and those skills to actual work situations.",,,"May be repeated for credit. 1 total credits. 2 total completions.","Letter grade.
"
HPM 606,"  Practice Application Journaling II",0,"
 This course is the second of six field-based journal practica in which students monitor their learning processes, identify where knowledge and skills learned in courses are helpful and relevant to areas of their professional responsibility, and apply that knowledge and those skills to actual work situations.","Prerequisite, HPM 605.",,"May be repeated for credit. 1 total credits. 2 total completions.","Letter grade.
"
HPM 607,"  Practice Application Journaling III",0,"
This course is the third of six field-based journal practica in which students monitor their learning processes, identify where knowledge and skills learned in courses are helpful and relevant to areas of their professional responsibility, and apply that knowledge and those skills to actual work situations.",,,"May be repeated for credit. 1 total credits. 2 total completions.","Letter grade.
"
HPM 608,"  Practice Application Journaling IV",0,"
This course is the fourth of six field-based journal practica in which students monitor their learning processes, identify where knowledge and skills learned in courses are helpful and relevant to areas of their professional responsibility, and apply that knowledge and those skills to actual work situations.",,,"May be repeated for credit. 1 total credits. 2 total completions.","Letter grade.
"
HPM 609,"  Practice Application Journaling V",0,"
This course is the fifth of six field-based journal practica in which students monitor their learning processes, identify where knowledge and skills learned in courses are helpful and relevant to areas of their professional responsibility, and apply that knowledge and those skills to actual work situations.",,,"May be repeated for credit. 1 total credits. 2 total completions.","Letter grade.
"
HPM 610,"  Practice Application Journaling VI",0,"
This course is the sixth and final of six field-based journal practica in which students monitor their learning processes, identify where knowledge and skills learned in courses are helpful and relevant to areas of their professional responsibility, and apply that knowledge and those skills to actual work situations.",,,"May be repeated for credit. 1 total credits. 2 total completions.","Letter grade.
"
HPM 611,"  Public Health Concepts in a Systems Context",3,"
This course develops systems reasoning in health policy and management students through the application of systems techniques and systems thinking to core public health concepts in health policy and management, environmental health, epidemiology, and health behavior and health education.",,,,"Letter grade.
"
HPM 620,"  Implementing Health Informatics Initiatives",3,"
Focuses on implementing informatics programs and projects in health organizations. Informatics initiatives aim to facilitate effective information use for the purpose of improving the quality of health services and/or efficiency of processes. Therefore, these initiatives have implications for various stakeholder groups, including consumers, practitioners, administrators, and policy makers.",,,"May be repeated for credit. 6 total credits. 2 total completions.","Letter grade.
"
HPM 630,"  IHI Course in Healthcare Quality Improvement",1,"
The IHI Certificate demonstrates an investment in further education and a strong knowledge base in quality improvement. Upon completion of this course, students will have met the requirements for the IHI Open School Certificate and participated in two in-person sessions.",,,,"Letter grade.
"
HPM 634,"  Public Health Issues in Community Preparedness and Disaster Management",3,"
Examines conventional public health constructs of community preparedness and disaster management. Includes a review of traditional and emerging literature. Emphasizes conceptual development and application of adaptive leadership strategies.",,,,"Letter gradeSame as: PWAD 634.
"
HPM 640,"  LEAN/Six Sigma I for Health Policy and Management",1,"
This course is an introduction to Lean Six-Sigma. Students will be exposed to continuous quality improvement (CQI) methods based on Toyota Production System (TPS or Lean) and Six-Sigma philosophy, methods, and tools.",,,,"Letter grade.
"
