code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
INLS 73,"  First-Year Seminar: Smart Cities",3,"
Topics and trends in sustainable and smart cities. Role of information in the design of network resources and impact on urban design, development, and urban living will be explored.",,,,"Letter grade.
"
INLS 89,"  First-Year Seminar: Special Topics",3,"
Special topics course; content will vary each semester.",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
INLS 151,"  Retrieving and Analyzing Information",3,"
Introduction to and application of the processes that can be used in seeking information, evaluating the quality of the information retrieved, and synthesizing the information into a useful form.",,"SS.",,"Letter grade.
"
INLS 161,"  Tools for Information Literacy",3,"
Tools and concepts for information literacy. Includes software use and maintenance, computer applications, and networked information systems.",,,,"Letter grade.
"
INLS 201,"  Foundations of Information Science",3,"
Examines the evolution of information science; information representation, organization and management; search and retrieval; human information seeking and interaction; organizational behavior and communication; policy, ethics and scholarly communication.",,"SS.",,"Letter grade.
"
INLS 202,"  Retrieval and Organizing Systems",3,"
 Introduction to foundational core concepts and core techniques in information organization, information retrieval, and data mining.","Prerequisite, INLS 201.",,,"Letter grade.
"
INLS 203,"  Human Information Behavior",3,"
 Introduces key areas and concepts in information science, to include task modeling, information-seeking behavior, search behavior, human-computer interaction, usability, user interfaces, social media, and social media analysis.","Prerequisite, INLS 201.",,,"Letter grade.
"
INLS 318,"  Human Computer Interaction",3,"
 Design, implementation, and evaluation of interfaces for computer systems. User-based techniques, usability issues, and human factors.","Prerequisite, INLS 382.",,,"Letter grade.
"
INLS 382,"  Information Systems Analysis and Design",3,"
 Analysis of organizational problems and how information systems can be designed to solve those problems. Application of database and interface design principles to the implementation of information systems.","Pre- or corequisite, INLS 161.",,,"Letter grade.
"
INLS 384,"  Information and Computer Ethics",3,"
 Overview of ethical reasoning, followed by examination of ethical issues relevant to information science, including access to information and technology, societal impacts of technology, information privacy, surveillance and security, intellectual property, and professional ethics.","Prerequisite, INLS 201.","PH, CI.",,"Letter grade.
"
