code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
PLAN 50,"  First-Year Seminar: This Land Is Your Land",3,"
An issue encountered in managing urban communities and environmental quality concerns rights to land ownership. Environmental regulations limit people's rights to use land as they see fit. This seminar explores processes whereby rights to land, water, and environmental resources of the United States have been acquired, reserved, distributed, and regulated.",,,,"Letter grade.
"
PLAN 51,"  First-Year Seminar: Envisioning Community",3,"
How is "community" understood as a concept used to describe towns, universities, and other forms of social interaction? This seminar introduces students to urban planning, higher education, and social capital and provides students with opportunities to explore and document local leaders' views concerning the towns' futures and the University's growth.",,"SS.",,"Letter grade.
"
PLAN 52,"  First-Year Seminar: Race, Sex, and Place in America",3,"
This first-year seminar will expose students to the complex dynamics of race, ethnicity, and gender and how these have shaped the American city since 1945.",,"SS.",,"Letter gradeSame as: WGST 51.
"
PLAN 53,"  First-Year Seminar: The Changing American Job",3,"
Explores the changing nature of the American job and the transformative forces from global trade and outsourcing to corporate restructuring and new skill demands that have influenced this change.",,"CI, NA.",,"Letter grade.
"
PLAN 54,"  First-Year Seminar: Bringing Life Back to Downtown: Commercial Redevelopment of Cities and Towns",3,"
The seminar seeks to understand the current realities of North Carolina's inner-city communities in the context of their historical evolution and the current proposals for revitalization. Each student selects one city or town for a case study.",,"SS.",,"Letter grade.
"
PLAN 55,"  First-Year Seminar: Sustainable Cities",3,"
How can the sustainability of cities and their ability to meet the needs of disadvantaged groups be improved? In this seminar students will look at the evolution of cities throughout history to find out how they have coped with threats to sustainability.",,"SS.",,"Letter grade.
"
PLAN 57,"  First-Year Seminar: What Is a Good City?",3,"
After studying the forces that have produced the American urban landscape, we will explore the city from the normative perspectives of urban historians, planners and architects, social scientists, social critics, and futurists, as a way for each student to develop her/his own perspective about what a "good city" might be. Honors version available",,"SS.",,"Letter grade.
"
PLAN 58,"  First-Year Seminar: Globalization and the Transformation of Local Economies",3,"
Using directed readings, participative class exercises, and cases that cut across developed and developing countries, this seminar will focus on how global pressures and economic integration is changing local economies.",,"SS, GL.",,"Letter grade.
"
PLAN 59,"  World's Fairs",3,"
This first-year seminar focuses on the constructed images of the modern American city. We have selected six U.S. World's Fairs between 1893 and 1965 (1884 World Cotton Centennial, New Orleans; 1893 World's Colombian Exposition, Chicago; 1904 Louisiana Purchase Exposition, Saint Louis; 1939 New York World's Fair, New York City; 1962 Seattle World's Fair; 1964/1965 New York World's Fair). By examining them in detail, we can follow shifts in conceptions of cities (and the world).",,,,"Letter gradeSame as: ARTH 59.
"
PLAN 89,"  First-Year Seminar: Special Topics",3,"
Special topics conent vary each semester",,,"May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.","Letter grade.
"
PLAN 101,"  Cities and Urban Life",3,"
This course will introduce students to the topic of cities and urban life. Over 80% of the United States' population lives in cities or their suburbs, and over half of the world's population lives in urban areas. Studying cities and urban life is important to understanding how human societies have developed, how our households live and function, how our economies grow and innovate, how our culture develops and influences, and an array of other topics.",,"SS, US.",,"Letter grade.
"
PLAN 246,"  Cities of the Past, Present, and Future: Introduction to Planning",3,"
Introduction to the evolution of cities in history, to the concept of urban morphology or form, and to the different elements or subsystems of the urban system and how they have changed over time.",,"SS.",,"Letter grade.
"
PLAN 247,"  Solving Urban Problems",3,"
Introduction to methods used for solving urban problems. Covers methods employed in subfields of planning to develop an ability to critically evaluate different techniques and approaches used within these disciplines.",,"SS.",,"Letter grade.
"
PLAN 317,"  Introduction to Site Planning and Urban Design",3,"
This course examines site planning as a process of creating the built environment. A site planner considers many things, including site hydrology, topography, building form, access, and regulation. Students will review the theories of urban design that guide site planning, conduct a site analysis and propose a site plan.",,,,"Letter grade.
"
PLAN 326,"  Social Entrepreneurship",3,"
Examines students' knowledge and understanding of social entrepreneurship as an innovative approach to addressing complex social needs. Affords students the opportunity to engage in a business planning exercise designed to assist them in establishing and launching a social purpose entrepreneurial venture. Honors version available",,,,"Letter gradeSame as: PLCY 326, ECON 326.
"
PLAN 330,"  Principles of Sustainability",3,"
This course introduces students to theories, principles, and measurement of sustainability. It also provides an overview of sustainability in national and international contexts.",,"SS, GL.",,"Letter gradeSame as: ENEC 330.
"
PLAN 363,"  Personal Finance, Wealth Building, and Public Policy",3,"
This course examines the skills to make important financial decisions such as buying a car, a house, paying for college, and managing credit and debt. Students will also learn about the fundamentals of investment and retirement planning to prepare them for a lifetime of wealth building. Finally, students will learn about public policy initiatives aimed at increasing the wealth building opportunities of low-income and minority households and communities.",,,,"Letter grade.
"
PLAN 375,"  Real Estate Development",3,"
Rigorous examination of real estate development from the entrepreneurial and public perspectives. Emphasis on risk management and the inherent uncertainties of development. The four dimensions of real estate are addressed: economic/market, legal/institutional, physical, and financial. Previously offered as PLAN 575.",,"EE- Field Work.",,"Letter grade.
"
PLAN 390,"  Undergraduate Special Topics in Urban and Regional Studies",13,"
This course examines selected urban and regional issues under guidance of a member of the faculty.",,,"May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 4 total completions.","Letter grade.
"
PLAN 420,"  Community Design and Green Architecture",3,"
The impact of building on the environment and health will be examined by looking at the major areas of: land use planning, water resource use, energy, materials and indoor environment.",,,,"Letter gradeSame as: ENEC 420.
"
PLAN 428,"  Global Cities: Space, Power, and Identity in the Built Environment",3,"
This course addresses questions of power, politics, and identity in the urban environment, with a focus on the emergence of key selected global cities and the processes that both created them historically and which are currently transforming them locally and globally.",,,"May be repeated for credit. 6 total credits. 2 total completions.","Letter gradeSame as: GEOG 428.
"
PLAN 491,"  Introduction to GIS",3,"
 Stresses the spatial analysis and modeling capabilities of organizing data within a geographic information system. (GISci)","Prerequisite, GEOG 370; permission of the instructor for students lacking the prerequisite.",,,"Letter gradeSame as: GEOG 491.
"
PLAN 526,"  Principles of Public Finance for Public Policy and Planning",1,"
Provides the foundation of state and local government finance necessary to understand new developments in the provision of infrastructure for economic development.",,,,"Letter grade.
"
PLAN 547,"  Energy, Transportation, and Land Use",3,"
This course explores the reciprocal connections between energy (production/conversion, distribution, and use), land use, environment, and transportation. Evaluation of federal, state, and local policies on energy conservation and alternative energy sources are emphasized. Students gain skills to analyze impacts, interdependencies, and uncertainties of various energy conservation measures and production technologies.",,,,"Letter gradeSame as: ENEC 547.
"
PLAN 550,"  Evolution of the American City",3,"
Examines shaping the urban built environments of the United States from the colonial era to present day. Critically examines forces that shaped our cities, and studies the values, ideals, and motivations underlying efforts to plan and direct physical development of American cities.",,"SS.",,"Letter grade.
"
PLAN 574,"  Political Economy of Poverty and Inequality",3,"
Introduces students to the political economy of poverty alleviation programs. Uses comparative cases to explore what types of projects, tasks, and environments lead to effective and equitable outcomes, and why.",,,,"Letter grade.
"
PLAN 585,"  American Environmental Policy",3,"
Intensive introduction to environmental management and policy, including environmental and health risks; policy institutions, processes, and instruments; policy analysis; and major elements of American environmental policy. Lectures and case studies. Three lecture hours per week.",,"HS, NA.",,"Letter gradeSame as: ENVR 585, ENEC 585, PLCY 585.
"
PLAN 590,"  Special Topics Seminar",19,"
Original research, fieldwork, readings, or discussion of selected planning issues under guidance of a member of the faculty.",,,"May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 3 total completions.","Letter grade.
"
PLAN 591,"  Applied Issues in Geographic Information Systems",3,"
 Applied issues in the use of geographic information systems in terrain analysis, medical geography, biophysical analysis, and population geography.","Prerequisite, GEOG 370 or 491.",,,"Letter grade.
"
PLAN 596,"  Independent Study",19,"
This course permits full-time undergraduate students enrolled in the Department of City and Regional Planning who wish to pursue independent research or an independent project to do so under the direction of a member of the department faculty.",,,"May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 3 total completions.","Letter grade.
"
PLAN 636,"  Urban Transportation Planning",3,"
Fundamental characteristics of the urban transportation system as a component of urban structure. Methodologies for the analysis of transportation problems, planning urban transportation, and the evaluation of plans.",,,,"Letter grade.
"
PLAN 637,"  Public Transportation",3,"
Alternative public urban transportation systems including mass transit, innovative transit services, and paratransit, examined from economic, land use, social, technical, and policy perspectives.",,,,"Letter grade.
"
PLAN 638,"  Pedestrian and Bike Transportation",3,"
This graduate-level course examines the importance of multimodal transportation planning and provides a comprehensive overview of best planning practices to support increased walking and bicycling.",,,,"Letter grade.
"
PLAN 639,"  Complete, Safe, Equitable Streets",3,"
This course will interrogate the role of streets in communities paying particular attention to how streets contribute to mobility, accessibility, economic vibrancy, social cohesion, and safety from crime and traffic danger. We will consider how different people are affected by streets and transport policy.",,,,"Letter grade.
"
PLAN 641,"  Watershed Planning",3,"
This course explores the functions of ecosystems, land development activities that impact such functions, and the land use management tools to create strategies for mitigating and restoring environmental damage.  Course goals include understanding the ecological context of planning and how ecological principles may inform planning decisions. Prepares planners to engage effectively with biologists, natural resource managers, park managers, and other professionals from the natural sciences.",,,,"Letter gradeSame as: ENEC 641.
"
PLAN 651,"  Urban Form and the Design of Cities",3,"
Lecture course on comparative urbanism and the global evolution of the city form. Examines values and ideals embedded in urban landscapes, seeking to understand how social, economic, and political forces have influenced the development of cities through history.",,,,"Letter grade.
"
PLAN 652,"  Site Planning and Urban Design",3,"
This course examines site planning as a means of addressing concerns related to urban development including hydrology, vegetation, land use, urban form, access, regulation, and community priorities. Students conduct an analysis of a site and propose a plan for a hypothetical mixed-use development. Students learn the basics of the 3D modeling software, SketchUp.",,,,"Letter grade.
"
PLAN 662,"  Gender Issues in Planning and Development",3,"
Permission of the instructor required for undergraduates. Examination of the environmental and health risks, policy institutions, processes, instruments, policy analysis, and major elements of American environmental policy. Lectures and case studies.",,,,"Letter gradeSame as: WGST 662.
"
PLAN 663,"  Diversity and Inequality in Cities",3,"
Permission of instructor needed for undergraduates. Introduces students in planning to issues related to diversity and inequality. Different aspects of diversity (e.g., gender, class, race, ethnicity, sexuality, nationality/citizenship) will be explored. Examines the relationship between diversity and the unequal distribution of resources and life trajectories.",,"SS.",,"Letter grade.
"
PLAN 672,"  Urban Data Analytics",3,"
This is a survey course about different techniques used in assembling, managing, analyzing, and predicting using heterogeneous data sets in urban environments. These include point, polygon, raster, vector, text, image, and network data; data sets with high cadence and high spatial resolution;  and data sets that are inherently messy and incomplete. The emphasis is on practical urban analytics.",,,,"Letter grade.
"
